Job_Number,Job_Title,Prime_Contractor,Placements,Submissions_2025,Interviews,Status,Priority,Notes
#8513,All Source Intel Analyst,Northrop Grumman,7,50+,15+,Evergreen,HIGH,Flagship program
#9213,Full Stack Developer,Northrop Grumman,2,28,4,Active,HIGH,High volume low conversion
#8878,FSE,SAIC,5,28,12,Active,HIGH,Core SAIC program
#8575,INFOSEC,SAIC,3,17,3,Active,HIGH,Security cleared
#8535,Sr Network Engineer,Cisco Systems,0,16,8,Active,CRITICAL,No placements - needs fix
#8407,Electrical Engineer,SAIC,4,14,4,Active,MEDIUM,Steady program
#8842,System Administrator,Northrop Grumman,0,11,4,Active,MEDIUM,Growing pipeline
#8520,Systems Engineer,Northrop Grumman,0,12,3,Active,HIGH,Hot interviews
#8251,Windows Systems Administrator,Lockheed Martin,3,7,2,Active,MEDIUM,Established
#9173,ISSO,Northrop Grumman,1,5,3,Active,MEDIUM,Security focus
#9364,Sys Admin,Northrop Grumman,0,5,1,HOT,HIGH,Interview 01/16
#9196,Model Based System Engineer,Northrop Grumman,0,5,2,HOT,HIGH,Multiple interviews
#9194,Systems Engineer,Northrop Grumman,2,8,2,Active,HIGH,Recent placements
#8557,Community Engagement Specialist,GDIT,2,6,2,Active,MEDIUM,Established
#9178,Help Desk,Northrop Grumman,0,6,0,Pipeline,LOW,Needs interviews
#8376,Devops Engineer,Northrop Grumman,1,4,2,Active,MEDIUM,Established
#8544,Devops Engineer,Northrop Grumman,1,4,2,Active,MEDIUM,Established
#6627,BICES Senior Network Engineer,GDIT,0,8,1,Historical,LOW,TS/SCI Norfolk
#9192,SSR,SAIC,1,3,1,Complete,LOW,Placement made
#9067,Systems Engineer,Northrop Grumman,0,3,1,Active,MEDIUM,Interview pending
#9157,Software Engineer,Northrop Grumman,0,3,0,Pipeline,MEDIUM,Needs push
#8322,Datacenter Technician,Vision Technologies,2,9,2,Active,LOW,Maintenance
#8334,AV Field Engineer,Vision Technologies,0,2,0,Pipeline,LOW,Limited activity
#8291,Firmware Engineer,Leidos,1,1,1,Complete,LOW,Historical
#8388,FPGA Engineer,Leidos,0,2,0,Pipeline,LOW,Limited activity
#8596,Policy Analyst,SAIC,0,2,0,Pipeline,LOW,New
#8680,ESL Systems Engineer,Northrop Grumman,1,1,1,Complete,LOW,Placement made
#8529,Systems Engineer,Northrop Grumman,1,1,1,Complete,LOW,Placement made
#8809,Systems Engineer,Northrop Grumman,0,1,0,Pipeline,LOW,New
#8822,Systems Engineer,Modern Technology Solutions,0,1,0,Pipeline,LOW,New prime
#9172,Software Engineer,Northrop Grumman,0,1,0,Pipeline,LOW,New
#9197,Devops Engineer,Northrop Grumman,0,1,0,Pipeline,LOW,New
#9284,Software Engineer,Northrop Grumman,0,2,0,Pipeline,LOW,New
#7621,Network Administrator Mid,GDIT,0,3,0,Historical,LOW,BICES program
#8514,SCI Specialist,SAIC,0,1,0,Historical,LOW,One-off
#8521,Specialist Security Representative,SAIC,0,4,0,Historical,LOW,Limited
