piid,program_name,program_description,acronym,prime_contractor,prime_uei,prime_legal_name,total_contract_value,obligated_amount,base_and_options,agency,department,agency_code,department_code,office_name,funding_office,award_date,pop_start,pop_current_end,pop_ultimate_end,recompete_date,city,state,performance_location,key_locations,task_order_locations,functional_locations,naics_code,naics_description,psc_code,psc_description,set_aside,is_dod,is_it_naics,clearance_requirements,functional_areas,typical_roles,job_titles,required_skills,tech_stack,keywords_signals,labor_rate_min,labor_rate_max,labor_rate_avg,education_requirement,experience_requirement,annual_salary_range,sub_count,sub_total_amount,staffing_firms_present,solicitation_id,parent_idv_piid,contract_vehicle,fiscal_year,discovery_strategy,prime_contact_count_crm,contact_files,key_contacts,contact_coverage,bd_score,bd_status,has_pts_jobs,pts_job_count,job_titles_matched,job_match_count,bd_priority,confidence_level,pts_involvement,prime_poc_name,prime_poc_email,prime_poc_phone,govt_poc_name,govt_poc_email,data_sources_matched,enrichment_date,greenfield_type
SAQMMA11F0233,TASK ORDER TO PROVIDE PROJECT MANAGEMENT,"TASK ORDER TO PROVIDE PROJECT MANAGEMENT SUPPORT, TRANSITION SUPPORT, ENGINEERING AND DESIGN SUPPORT, SECURING THE INFRA",,"LEIDOS, INC.",P1DHVE8PH2Q3,,"$2,087,211,598",2087211597.560001,171716907.0,,,,,,,,,,,,,,"WASHINGTON, DISTRICT OF COLUMBIA","WASHINGTON, DISTRICT OF COLUMBIA",,,541512,Computer Systems Design Services,D399,Other IT and Telecommunications,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,776,799943142.85,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,68,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
75N91020F00003,NCI OPERATIONAL TASK ORDER,NCI OPERATIONAL TASK ORDER,,LEIDOS BIOMEDICAL RESEARC,HV8BH9BPG8Y9,,"$1,775,391,302",1775391302.47,434192756.0,National Institutes,,,,,,,,,,,,,"FREDERICK, MARYLAND","FREDERICK, MARYLAND",,,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",M1HA,,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,103.2M in subawards,,,,,,,142,104906209.45,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,65,WARM LEAD,True,91,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,Medium,High,,,,,,,"discovery, master, gap_analysis, strategy3",2026-02-17,WARM
28321322FDS030130,ITSSC TASK ORDER FOR SYSTEMS,ITSSC TASK ORDER FOR SYSTEMS,,"LEIDOS, INC.",MYKLJHTX3MM7,,"$1,062,905,628",1062905628.31,15516.16,Social Security Admi,,,,,,,,,,,,,"BALTIMORE, MARYLAND","BALTIMORE, MARYLAND",,,541519,Other Computer Related Services,DF01,,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,145.4M in subawards,,,,,,,85,276743216.28,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,62,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,Medium,High,,,,,,,"discovery, master, gap_analysis, strategy3",2026-02-17,WARM
47QFCA19F0006,IGF::OT::IGF,IGF::OT::IGF,,"CACI, INC. - FEDERAL",N3PBJAVNKF61,,"$921,461,749",921461749.11,116337411.0,Federal Acquisition,General Services Administration,4732,47.0,GSA FAS AAS FEDSIM,,2019-04-25,2019-05-20,2026-05-19,2026-05-19,,FORT BELVOIR,VIRGINIA,"FORT BELVOIR, VIRGINIA","FORT BELVOIR, VIRGINIA",,,541512.0,Computer Systems Design Services,D399,Other IT and Telecommunications,,False,True,,IT Services,,,,,,,,,,,,1062,732416428.26,,,47QTCK18D0009,,2019.0,S4_EXPIRING,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,83,HOT TARGET,True,13,Microsoft Copilot Studio AI SME,1,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFCA21F0051,AWARD OF TASK ORDER 47QFCA210051-NAWCAD,AWARD OF TASK ORDER 47QFCA210051-NAWCAD WOLF SHIP AND AIR C5ISR SYSTEMS SUPPORT,AWARD,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,,"$805,003,439",805003438.6999999,161132418.0,Federal Acquisition,General Services Administration,4732,47.0,GSA FAS AAS FEDSIM,,2021-06-29,2021-07-01,2026-06-30,2026-06-30,,SAINT INIGOES,MARYLAND,"SAINT INIGOES, MARYLAND","SAINT INIGOES, MARYLAND",,,541330.0,Engineering Services,K058,,,False,True,Secret,Cybersecurity / IA; Data / Analytics; Engineering Services; Software Development,,,,,,,,,,,,420,498884022.61,,47QFCA21R0060,GS00Q14OADU317,,2021.0,S4_EXPIRING,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,77,HOT TARGET,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
N0003024C1005,CONSOLIDATION AND FOLLOW-ON TO 22C1003 A,CONSOLIDATION AND FOLLOW-ON TO 22C1003 AND 22C1005. FY24 FIRE CONTROL OMNIBUS.,,GENERAL DYNAMICS MISSION,LKMMNBMPUNH7,,"$795,960,454",795960453.72,274193567.0,Department of the Na,,,,,,,,,,,,,"PITTSFIELD, MASSACHUSETTS","PITTSFIELD, MASSACHUSETTS",,,541330,Engineering Services,1230,,,True,True,,Engineering Services,,,,,,,,,,,,193,48546269.9,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,66,WARM LEAD,True,1,,,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HC102820F0032,OPERATION AND SUSTAINMENT OF THE DODIN/D,OPERATION AND SUSTAINMENT OF THE DODIN/DISN INFRASTRUCTURE,OPERATION,"LEIDOS, INC.",UE9QJD4KK1L6,,"$775,976,292",775976291.9800001,65419413.71,Defense Information,Department of Defense,97AK,97.0,IT CONTRACTING DIVISION - PL83,,2019-12-17,2020-11-19,2025-11-18,2025-11-18,,FORT GEORGE G MEADE,MARYLAND,"FORT GEORGE G MEADE, MARYLAND","FORT GEORGE G MEADE, MARYLAND",,,541513.0,Computer Facilities Management Services,D316,IT Network Management Services,,True,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Logistics / Supply Chain; Network Engineering; Program Management; Software Development,,,,,,,,,,,,347,132739881.38,AEROTEK; TEKSYSTEMS,HC102818R0024,HC102820D0001,,2020.0,S2_STAFFING_FIRM,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,73,HOT TARGET,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HQ000603C0003,200301!000025!9700!ZD60  !MISSILE DEFENS,200301!000025!9700!ZD60  !MISSILE DEFENSE AGENCY          !HQ000603C0003  !A!N! !N!                   !20021021!20041017,,GENERAL DYNAMICS INFORMAT,Z2L7LVNEAPC3,,"$766,015,483",766015482.53,179184611.0,,,,,,,,,,,,,,"nan, VIRGINIA","nan, VIRGINIA",,,541330,Engineering Services,AD93,,,False,True,Secret,Cybersecurity / IA; Data / Analytics; Engineering Services; Software Development,,,,,,,,,,,,0,0.0,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,53,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFCA21F0087,SPECIAL OPERATIONS FORCES EMERGING THREA,SPECIAL OPERATIONS FORCES EMERGING THREATS OPERATIONS AND PLANNING SUPPORT,SPECIAL,"CACI NSS, LLC",GS59ABNVD6N7,,"$729,021,489",729021488.68,146364398.0,Federal Acquisition,General Services Administration,4732,47.0,GSA FAS AAS FEDSIM,,2021-09-03,2021-09-30,2026-09-29,2026-09-29,,FORT BRAGG,NORTH CAROLINA,"FORT BRAGG, NORTH CAROLINA","FORT BRAGG, NORTH CAROLINA",,,541330.0,Engineering Services,R499,Other Professional Services,,False,True,,Engineering Services,,,,,,,,,,,,364,385444731.67,,47QFCA21R0103,GS00Q14OADU121,,2021.0,S4_EXPIRING,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,74,HOT TARGET,True,4,,,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFCA22F0051,THE PURPOSE OF THIS TO IS TO PROVIDE RES,"THE PURPOSE OF THIS TO IS TO PROVIDE RESEARCH, DESIGN, DEVELOPMENT, INTEGRATION, T&E, INITIAL FIELDING AND OPERATION, LOGISTICS, MAINTENANCE, SUSTAINMENT, AND TRAINING FOR APPLICABLE C5ISR SYSTEMS.",PURPOSE,"Leidos, Inc.",MDSWM6MB1BH7,,"$715,729,612",715729612.06,273269705.0,Federal Acquisition,General Services Administration,4732,47.0,GSA FAS AAS FEDSIM,,2022-09-14,2022-09-14,2026-09-13,2027-09-13,,RESTON,VIRGINIA,"RESTON, VIRGINIA","RESTON, VIRGINIA",,,541330.0,Engineering Services,R499,Other Professional Services,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Engineering Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,554,625003323.3,,47QFCA22R0060,GS00Q14OADU122,,2022.0,S4_EXPIRING,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,70,HOT TARGET,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
