acronym,program_name,piid,prime_contractor,total_contract_value,obligated,agency,department,clearance,city,state,locations,typical_roles,functional_areas,naics_code,naics_description,psc_code,pop_start,pop_end,bd_score,bd_status,contact_coverage,sub_count,staffing_firms_present,greenfield_type,discovery_strategy,data_sources
CONSTRUCTION,CONSTRUCTION OF LCS FLIGHT 0+ SHIP,N0002418C2300,LOCKHEED MARTIN CORPORATION,2193872285,1619436558,Department of the Navy,Department of Defense,,MIDDLE RIVER,MARYLAND,,,,336611,,1905,10/6/2017,6/30/2026,97,HOT TARGET,DEEP,1014,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
UKRAINE,"UKRAINE LETTER CONTRACT FOR SIXTEEN AN/TPQ-53 RADAR SYSTEMS, TWO DDREX SYSTEM MODIFICATIONS, AND RELATED SUPPLIES AND SERVICES.",W56KGY23F0001,Lockheed Martin Corporation,379103724.8,379103724.8,Department of the Army,Department of Defense,,LIVERPOOL,NEW YORK,,,,334511,,5840,10/27/2022,5/31/2026,88,HOT TARGET,DEEP,952,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
AEGIS,AEGIS BMD 6.0 WS DEVELOPMENT,HQ027619C0001,LOCKHEED MARTIN CORPORATION,365059774.2,331825243.2,Missile Defense Agency,Department of Defense,,MOORESTOWN,NEW JERSEY,,,,541715,,AC24,9/1/2019,9/1/2026,88,HOT TARGET,DEEP,660,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
USN,USN P-8A FRP II LONG LEAD MATERIAL,N0001914C0067,THE BOEING COMPANY,18129749822,18129749822,Department of the Navy,Department of Defense,,TUKWILA,WASHINGTON,,,,336411,,1510,8/14/2014,6/30/2026,87,HOT TARGET,DEEP,1553,,,S4_EXPIRING,DISCOVERY
C-130J,"C-130J, FIVE YEAR ORDERING CONTRACT, MYP3 AP",FA862518F7027,LOCKHEED MARTIN CORP,3549531454,3809704361,Department of the Air Force,Department of Defense,,MARIETTA,GEORGIA,,,,336411,,1510,7/19/2018,4/30/2026,87,HOT TARGET,DEEP,4545,,,S4_EXPIRING,DISCOVERY
AEGIS,AEGIS BASELINE 5.4.1 (BMD 4.2),HQ085121C0002,LOCKHEED MARTIN CORPORATION,1404606554,1396580801,Missile Defense Agency,Department of Defense,,MOORESTOWN,NEW JERSEY,,,,541715,,AC24,11/1/2020,12/31/2027,87,HOT TARGET,DEEP,925,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
SCOPE,THE SCOPE OF THE TO IS TO PROVIDE ENTERPRISE IT SERVICES FOR THE USACE.,47QFCA21F0001,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1398126540,1106981054,Federal Acquisition Service,General Services Administration,,RESTON,VIRGINIA,,,,541512,,DA01,11/30/2020,6/27/2026,86,HOT TARGET,PRIME ONLY,1011,,,S4_EXPIRING,DISCOVERY
PURPOSE,THE PURPOSE OF THIS LETTER CONTRACT W56KGY-21-C-0010 TO PROCURE 6 AN/TPQ-53 RADARS FOR THE GOV. OF ROMANIA.,W56KGY21C0010,Lockheed Martin Corporation,144943712.4,144943712.4,Department of the Army,Department of Defense,,LIVERPOOL,NEW YORK,,,,334511,,5840,8/12/2021,8/10/2026,85,HOT TARGET,DEEP,163,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
SP201,SP201 SYSTEMS ENGINEERING & INTEGRATION SUPPORT SERVICES,N0003022C6001,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,59933114,442471249.4,Department of the Navy,Department of Defense,,WASHINGTON NAVY YARD,DISTRICT OF COLUMBIA,,,,541330,,L099,10/1/2021,9/30/2026,85,HOT TARGET,DEEP,218,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
BASIC,BASIC AWARD,N0002411C2300,LOCKHEED MARTIN CORPORATION,5825866872,4981515210,Department of the Navy,Department of Defense,,MIDDLE RIVER,MARYLAND,,,,336611,,1905,12/29/2010,12/31/2026,84,HOT TARGET,DEEP,1192,,,S4_EXPIRING,DISCOVERY
