piid,program_name,program_description,acronym,prime_contractor,prime_uei,prime_legal_name,total_contract_value,obligated_amount,base_and_options,agency,department,agency_code,department_code,office_name,funding_office,award_date,pop_start,pop_current_end,pop_ultimate_end,recompete_date,city,state,performance_location,key_locations,task_order_locations,functional_locations,naics_code,naics_description,psc_code,psc_description,set_aside,is_dod,is_it_naics,clearance_requirements,functional_areas,typical_roles,job_titles,required_skills,tech_stack,keywords_signals,labor_rate_min,labor_rate_max,labor_rate_avg,education_requirement,experience_requirement,annual_salary_range,sub_count,sub_total_amount,staffing_firms_present,solicitation_id,parent_idv_piid,contract_vehicle,fiscal_year,discovery_strategy,prime_contact_count_crm,contact_files,key_contacts,contact_coverage,bd_score,bd_status,has_pts_jobs,pts_job_count,job_titles_matched,job_match_count,bd_priority,confidence_level,pts_involvement,prime_poc_name,prime_poc_email,prime_poc_phone,govt_poc_name,govt_poc_email,data_sources_matched,enrichment_date,greenfield_type
SAQMMA11F0233,TASK ORDER TO PROVIDE PROJECT MANAGEMENT,"TASK ORDER TO PROVIDE PROJECT MANAGEMENT SUPPORT, TRANSITION SUPPORT, ENGINEERING AND DESIGN SUPPORT, SECURING THE INFRA",Leidos PMO,"LEIDOS, INC.",P1DHVE8PH2Q3,"LEIDOS, INC.","$2,087,211,598",2087211597.560001,171716907.0,,,,,,,,,,,,Washington,District Of Columbia,"WASHINGTON, DISTRICT OF COLUMBIA","WASHINGTON, DISTRICT OF COLUMBIA",,"WASHINGTON, DISTRICT OF COLUMBIA",541512,Computer Systems Design Services,D399,Other IT and Telecommunications,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,A&A Analyst; ACAS Admin; ACAS Administrator; ACAS/HBSS Engineer; AFNCR - Help Desk Specialist; Action Officer; Action Officer - GSMO - Meade; Active Directory Administrator; Active Directory Specialist; Active Directory Specialist Mid,RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,TS/SCI w/ Poly; mega-contract (>$500M); WARM LEAD,$29.00/hr,$147.05/hr,$62.55/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",5-10+ years with active TS/SCI w/ Poly,"$57,824 - $93,600",776,799943142.85,Likely (large sub base suggests staffing firm participation),,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,68,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,High,Medium,"Active (13 jobs, 165 title matches)",Russell  spear; Fred Fritz; Chris Port | Top CRM contacts: Mini Elmore (640 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
75N91020F00003,NCI OPERATIONAL TASK ORDER,NCI OPERATIONAL TASK ORDER,NCI,LEIDOS BIOMEDICAL RESEARC,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARC,"$1,775,391,302",1775391302.47,434192756.0,National Institutes,Department of Health and Human Services,,75,,,,,,,,Frederick,Maryland,"FREDERICK, MARYLAND","FREDERICK, MARYLAND",,"FREDERICK, MARYLAND",541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",M1HA,Operation of Government-Owned Contractor-Operated (GOCO) R&D Facilities,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,A&A Analyst; ACAS Admin; ACAS Administrator; ACAS/HBSS Engineer; AFNCR - Help Desk Specialist; Action Officer; Action Officer - GSMO - Meade; Active Directory Administrator; Active Directory Specialist; Active Directory Specialist Mid,RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,103.2M in subawards,$29.00/hr,$147.05/hr,$62.55/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",5-10+ years with active TS/SCI w/ Poly,"$57,824 - $93,600",142,104906209.45,Likely (large sub base suggests staffing firm participation),,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,65,WARM LEAD,True,91,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,Medium,High,"Active (91 jobs, 165 title matches)",Russell  spear; Fred Fritz; Chris Port | Top CRM contacts: Mini Elmore (640 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, master, gap_analysis, strategy3",2026-02-17,WARM
28321322FDS030130,ITSSC TASK ORDER FOR SYSTEMS,ITSSC TASK ORDER FOR SYSTEMS,ITSSC,"LEIDOS, INC.",MYKLJHTX3MM7,"LEIDOS, INC.","$1,062,905,628",1062905628.31,15516.16,Social Security Admi,Social Security Administration,,28,,,,,,,,Baltimore,Maryland,"BALTIMORE, MARYLAND","BALTIMORE, MARYLAND",,"BALTIMORE, MARYLAND",541519,Other Computer Related Services,DF01,,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,A&A Analyst; ACAS Admin; ACAS Administrator; ACAS/HBSS Engineer; AFNCR - Help Desk Specialist; Action Officer; Action Officer - GSMO - Meade; Active Directory Administrator; Active Directory Specialist; Active Directory Specialist Mid,RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,145.4M in subawards,$29.00/hr,$147.05/hr,$62.55/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",5-10+ years with active TS/SCI w/ Poly,"$57,824 - $93,600",85,276743216.28,Likely (large sub base suggests staffing firm participation),,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,62,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,Medium,High,"Active (13 jobs, 165 title matches)",Russell  spear; Fred Fritz; Chris Port | Top CRM contacts: Mini Elmore (640 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, master, gap_analysis, strategy3",2026-02-17,WARM
47QFCA19F0006,IGF::OT::IGF,IGF::OT::IGF,,"CACI, INC. - FEDERAL",N3PBJAVNKF61,"CACI, INC. - FEDERAL","$921,461,749",921461749.11,116337411.0,Federal Acquisition,General Services Administration,4732,47.0,GSA FAS AAS FEDSIM,,2019-04-25,2019-05-20,2026-05-19,2026-05-19,2026-05-19,FORT BELVOIR,VIRGINIA,"FORT BELVOIR, VIRGINIA","FORT BELVOIR, VIRGINIA",,"FORT BELVOIR, VIRGINIA",541512.0,Computer Systems Design Services,D399,Other IT and Telecommunications,,False,True,,IT Services,Systems Administrator; Network Engineer; Help Desk Analyst; Cloud Engineer; IT Project Manager; DevOps Engineer; Database Administrator,BIM TO3 - DC Power Electrician - Secret - TRAVEL,"Active Directory; Windows Server; Linux; VMware; AWS/Azure; ITIL; ServiceNow; Networking (TCP/IP, DNS, DHCP)",Windows Server; Linux (RHEL/CentOS); VMware vSphere; AWS; Azure; ServiceNow; Splunk; Cisco; Palo Alto,mega-contract (>$500M); HOT TARGET,$95.00/hr,$125.00/hr,$111.67/hr,Bachelor's degree in relevant discipline (or equivalent experience),3-5+ years relevant experience,"$114,400 - $150,010",1062,732416428.26,Likely (large sub base suggests staffing firm participation),,47QTCK18D0009,GSA Alliant 2,2019.0,S4_EXPIRING,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,83,HOT TARGET,True,13,Microsoft Copilot Studio AI SME,1,Critical,High,"Active (13 jobs, 1 title matches)",Chris Williams | Top CRM contacts: Teresa Boshears (264 mentions); Francisco Torres (220 mentions); Brian  Schone (132 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFCA21F0051,AWARD OF TASK ORDER 47QFCA210051-NAWCAD,AWARD OF TASK ORDER 47QFCA210051-NAWCAD WOLF SHIP AND AIR C5ISR SYSTEMS SUPPORT,C5ISR,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,GENERAL DYNAMICS INFORMAT,"$805,003,439",805003438.6999999,161132418.0,Federal Acquisition,General Services Administration,4732,47.0,GSA FAS AAS FEDSIM,,2021-06-29,2021-07-01,2026-06-30,2026-06-30,2026-06-30,SAINT INIGOES,MARYLAND,"SAINT INIGOES, MARYLAND","SAINT INIGOES, MARYLAND",,"SAINT INIGOES, MARYLAND",541330.0,Engineering Services,K058,Modification of Equipment - Misc Special Industry Machinery,,False,True,Secret,Cybersecurity / IA; Data / Analytics; Engineering Services; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,"DS (Distribution Systems) Engineer; ISSM II - GDIT - JUSTIFIED - Eglin AFB, FL; ISSO II; ISSO lll; Lead ServiceNow Developer; Network Engineer; Network/Systems Administrator; Program Security Representative (PSR) II - GDIT - JUSTIFIED - Langley AFB, VA; Traveling Fiber Technician; VDI Engineer (ISEE GDIT)",RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,C5ISR; Secret; mega-contract (>$500M); HOT TARGET,$27.05/hr,$274.06/hr,$80.26/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",3-7+ years with active Secret clearance,"$70,720 - $124,800",420,498884022.61,Likely (large sub base suggests staffing firm participation),47QFCA21R0060,GS00Q14OADU317,GSA ALLIANT GWAC,2021.0,S4_EXPIRING,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,77,HOT TARGET,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,Critical,High,Minimal (1 jobs),Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak | Top CRM contacts: Amy Brown (580 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
N0003024C1005,CONSOLIDATION AND FOLLOW-ON TO 22C1003 A,CONSOLIDATION AND FOLLOW-ON TO 22C1003 AND 22C1005. FY24 FIRE CONTROL OMNIBUS.,FCO,GENERAL DYNAMICS MISSION,LKMMNBMPUNH7,GENERAL DYNAMICS MISSION,"$795,960,454",795960453.72,274193567.0,Department of the Na,Department of Defense,,97,Department of the Navy,,2023-10-01,2023-10-01,2024-12-31,2024-12-31,2024-12-31,Pittsfield,Massachusetts,"PITTSFIELD, MASSACHUSETTS","PITTSFIELD, MASSACHUSETTS",,"PITTSFIELD, MASSACHUSETTS",541330,Engineering Services,1230,Fire Control Systems,,True,True,Secret,Engineering Services,Systems Engineer; Test Engineer; Requirements Analyst; Configuration Manager; Technical Writer; Integration Engineer; Logistics Analyst,"DS (Distribution Systems) Engineer; ISSM II - GDIT - JUSTIFIED - Eglin AFB, FL; ISSO II; ISSO lll; Lead ServiceNow Developer; Network Engineer; Network/Systems Administrator; Program Security Representative (PSR) II - GDIT - JUSTIFIED - Langley AFB, VA; Traveling Fiber Technician; VDI Engineer (ISEE GDIT)",Systems Engineering (INCOSE); Requirements Management; DOORS; Model-Based Systems Engineering; Test Planning; Configuration Management,DOORS; Jira; Confluence; MATLAB; Cameo/MagicDraw; Rational; Windchill; ServiceNow,Secret; mega-contract (>$500M); WARM LEAD,$27.05/hr,$274.06/hr,$80.26/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",3-7+ years with active Secret clearance,"$70,720 - $124,800",193,48546269.9,Likely (large sub base suggests staffing firm participation),,,,2023,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,66,WARM LEAD,True,1,,,High,High,Minimal (1 jobs),Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak | Top CRM contacts: Amy Brown (580 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HC102820F0032,OPERATION AND SUSTAINMENT OF THE DODIN/D,OPERATION AND SUSTAINMENT OF THE DODIN/DISN INFRASTRUCTURE,DODIN/DISN,"LEIDOS, INC.",UE9QJD4KK1L6,"LEIDOS, INC.","$775,976,292",775976291.9800001,65419413.71,Defense Information,Department of Defense,97AK,97.0,IT CONTRACTING DIVISION - PL83,,2019-12-17,2020-11-19,2025-11-18,2025-11-18,2025-11-18,FORT GEORGE G MEADE,MARYLAND,"FORT GEORGE G MEADE, MARYLAND","FORT GEORGE G MEADE, MARYLAND",,"FORT GEORGE G MEADE, MARYLAND",541513.0,Computer Facilities Management Services,D316,IT Network Management Services,,True,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Logistics / Supply Chain; Network Engineering; Program Management; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,A&A Analyst; ACAS Admin; ACAS Administrator; ACAS/HBSS Engineer; AFNCR - Help Desk Specialist; Action Officer; Action Officer - GSMO - Meade; Active Directory Administrator; Active Directory Specialist; Active Directory Specialist Mid,RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,sustainment; TS/SCI w/ Poly; mega-contract (>$500M); HOT TARGET,$29.00/hr,$147.05/hr,$62.55/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",5-10+ years with active TS/SCI w/ Poly,"$57,824 - $93,600",347,132739881.38,AEROTEK; TEKSYSTEMS,HC102818R0024,HC102820D0001,DISA GSM-O,2020.0,S2_STAFFING_FIRM,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,73,HOT TARGET,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,High,High,"Active (13 jobs, 165 title matches)",Russell  spear; Fred Fritz; Chris Port | Top CRM contacts: Mini Elmore (640 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HQ000603C0003,200301!000025!9700!ZD60  !MISSILE DEFENS,200301!000025!9700!ZD60  !MISSILE DEFENSE AGENCY          !HQ000603C0003  !A!N! !N!                   !20021021!20041017,MDA,GENERAL DYNAMICS INFORMAT,Z2L7LVNEAPC3,GENERAL DYNAMICS INFORMAT,"$766,015,483",766015482.53,179184611.0,,,,,Defense Contract Management Agency,,2002-10-21,2002-10-21,2014-06-30,2014-06-30,2014-06-30,,Virginia,"nan, VIRGINIA","nan, VIRGINIA",,"nan, VIRGINIA",541330,Engineering Services,AD93,R&D - Defense - Other,,False,True,Secret,Cybersecurity / IA; Data / Analytics; Engineering Services; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,"DS (Distribution Systems) Engineer; ISSM II - GDIT - JUSTIFIED - Eglin AFB, FL; ISSO II; ISSO lll; Lead ServiceNow Developer; Network Engineer; Network/Systems Administrator; Program Security Representative (PSR) II - GDIT - JUSTIFIED - Langley AFB, VA; Traveling Fiber Technician; VDI Engineer (ISEE GDIT)",RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,Secret; mega-contract (>$500M); WARM LEAD,$27.05/hr,$274.06/hr,$80.26/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",3-7+ years with active Secret clearance,"$70,720 - $124,800",0,0.0,,,,,2002,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,53,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,Medium,High,Minimal (1 jobs),Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak | Top CRM contacts: Amy Brown (580 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFCA21F0087,SPECIAL OPERATIONS FORCES EMERGING THREA,SPECIAL OPERATIONS FORCES EMERGING THREATS OPERATIONS AND PLANNING SUPPORT,SOF ETOPS,"CACI NSS, LLC",GS59ABNVD6N7,"CACI NSS, LLC","$729,021,489",729021488.68,146364398.0,Federal Acquisition,General Services Administration,4732,47.0,GSA FAS AAS FEDSIM,,2021-09-03,2021-09-30,2026-09-29,2026-09-29,2026-09-29,FORT BRAGG,NORTH CAROLINA,"FORT BRAGG, NORTH CAROLINA","FORT BRAGG, NORTH CAROLINA",,"FORT BRAGG, NORTH CAROLINA",541330.0,Engineering Services,R499,Other Professional Services,,False,True,,Engineering Services,Systems Engineer; Test Engineer; Requirements Analyst; Configuration Manager; Technical Writer; Integration Engineer; Logistics Analyst,BIM TO3 - DC Power Electrician - Secret - TRAVEL,Systems Engineering (INCOSE); Requirements Management; DOORS; Model-Based Systems Engineering; Test Planning; Configuration Management,DOORS; Jira; Confluence; MATLAB; Cameo/MagicDraw; Rational; Windchill; ServiceNow,mega-contract (>$500M); HOT TARGET,$95.00/hr,$125.00/hr,$111.67/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",3-5+ years relevant experience,"$114,400 - $150,010",364,385444731.67,Likely (large sub base suggests staffing firm participation),47QFCA21R0103,GS00Q14OADU121,GSA ALLIANT GWAC,2021.0,S4_EXPIRING,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,74,HOT TARGET,True,4,,,High,High,Minimal (4 jobs),Chris Williams | Top CRM contacts: Teresa Boshears (264 mentions); Francisco Torres (220 mentions); Brian  Schone (132 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFCA22F0051,THE PURPOSE OF THIS TO IS TO PROVIDE RES,"THE PURPOSE OF THIS TO IS TO PROVIDE RESEARCH, DESIGN, DEVELOPMENT, INTEGRATION, T&E, INITIAL FIELDING AND OPERATION, LOGISTICS, MAINTENANCE, SUSTAINMENT, AND TRAINING FOR APPLICABLE C5ISR SYSTEMS.",C5ISR,"Leidos, Inc.",MDSWM6MB1BH7,"Leidos, Inc.","$715,729,612",715729612.06,273269705.0,Federal Acquisition,General Services Administration,4732,47.0,GSA FAS AAS FEDSIM,,2022-09-14,2022-09-14,2026-09-13,2027-09-13,2027-09-13,RESTON,VIRGINIA,"RESTON, VIRGINIA","RESTON, VIRGINIA",,"RESTON, VIRGINIA",541330.0,Engineering Services,R499,Other Professional Services,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Engineering Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,A&A Analyst; ACAS Admin; ACAS Administrator; ACAS/HBSS Engineer; AFNCR - Help Desk Specialist; Action Officer; Action Officer - GSMO - Meade; Active Directory Administrator; Active Directory Specialist; Active Directory Specialist Mid,RMF/NIST 800-53; ACAS/Nessus; STIG compliance; Splunk; SIEM; Incident Response; STIGs; eMASS; PKI; Python; SQL; Tableau/Power BI; ETL; Machine Learning; Data Warehousing,Splunk; ACAS/Nessus/Tenable; eMASS; HBSS/Trellix; Palo Alto; CrowdStrike; Elastic; Wireshark; Python; SQL Server; PostgreSQL; Tableau; Power BI; Snowflake; Databricks,sustainment; C5ISR; logistics; TS/SCI w/ Poly; mega-contract (>$500M); HOT TARGET,$29.00/hr,$147.05/hr,$62.55/hr,"Bachelor's in Computer Science, Engineering, or related STEM field (Master's preferred)",5-10+ years with active TS/SCI w/ Poly,"$57,824 - $93,600",554,625003323.3,Likely (large sub base suggests staffing firm participation),47QFCA22R0060,GS00Q14OADU122,GSA ALLIANT GWAC,2022.0,S4_EXPIRING,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,70,HOT TARGET,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,High,High,"Active (13 jobs, 165 title matches)",Russell  spear; Fred Fritz; Chris Port | Top CRM contacts: Mini Elmore (640 mentions); Roman Vitkovitsky (473 mentions); Ed Alsip (350 mentions),,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
