acronym,count,contexts,possible_meaning
GDIT,534,"['ve 550 ALIS admins and 59 IMIS admins. Used Apex, GDIT, and Viper in the past for Subs, but only in dire', ' Desk Support Service Specialist - Intermediate - GDIT/I2TS4 - Ft. Meade, MD scheduled call at 2:30 pm', 'Army National Guard is combining task orders - 1) GDIT - GCOS program 2) CACI - EITEMMS (Training Mgmt.)']",
JUSTIFIED,239,"['GDIT - East Regional Manager - JUSTIFIED - Meeting w/ Mark to discuss the following items:', 'GDIT - East Regional Manager - JUSTIFIED - Meeting w/ Mark to discuss the following items:', 'GDIT - NCR Lead - JUSTIFIED - Meeting w/ Jon to discuss the following items:']",
NGC,234,"['Northrop Grumman (NGC) - Ground Solutions and Mission Support (GSMS) So', 'NGC: inSITE want to move forward with Jeremy from las', 'NGC: inSITE offer for Jarred.']",Northrop Grumman Corporation
RTB,222,"['sday to take his daughter to Ole Miss University. RTB - is in need of 5 System Engineers (6-15 years of', 'ty and mission success in the aerospace program.) RTB - They are moving forward with Purchase Services ', ""hat Rachael Villarreal is the Lead for the NDT's. RTB- They need 3-4 Nondestructive Technicians level 2""]",Reason to Believe / Return to Business
RTP,204,"['ing - Weapons System Program - Berkeley, Missouri RTP- Next week he is taking off Monday-Wednesday to t', 'Boeing - SLS Program - Huntsville RTP - Casey was taking her kid back to school last we', 'Boeing - VC25B - NDT - 8/19/2025 RTP- Rene has been with Boeing for 30 years and is th']",Reason to Phone
LMCO,201,"['software side. All staffing is done internally by LMCO and the have no contractors on the program. less ', 'past performance -- Andrew Caldera (recently left LMCO) and Good friends with Chris Northrup. Part of hi', 'LMCO James is the Director of Digital Sustainment and ']",
MCEN,161,"[' be expected on NMCI side. She does not think so. MCEN was anticipating this shake up for a little while', ""'t sound like NMCI will have similar changes like MCEN."", 'Leidos, MCEN: met with Mini on Monday morning, she let me know']",
AFNCR,145,"['Leidos-AFNCR-Working with Bobby and Hardie on the Operations W', 'Leidos-AFNCR- Hardie is moving forward with Rocquel for the De', 'Leidos-AFNCR-monthly performance check in. Team is doing well.']",
NGEN,118,"['Leidos - NGEN Requalified the tools admin with Melissa. She can', 'Leidos - NGEN Josh is still waiting on funding to be able to bu', 'Leidos - NGEN/DES Damian is transitioning from DES to NGEN over']",
SAIC,115,"['IN, M2C2, DOMino Also supporting Boeing’s SLS and SAIC’s Horizon 2 SDVOSB, Top Secret FCL, FOCI Approved', 'rom their neighbor companies Northrop Grumman and SAIC - SIGINT and Systems in Space positions - said he', 'SAIC: IBCS offer for Hernandez but can only be with us']",Science Applications International Corporation
SCI,102,"['total technical Staff. All of his position are TS/SCI. They work both Beeline and Purchase Services. Th', 'on experience Electro Optic Systems experience TS/SCI Early Program Dev. Experience Controls Engineer -', 'or Denver. Requirements: *** NSA Sponsorship & TS/SCI - Can possibly do remote - Software dev with an o']",
INSCOM,72,"['GDIT - Program Analyst/Operations Manager - INSCOM I2TS4 - Meeting w/ Laura discuss the following it', 'GDIT - Program Analyst/Operations Manager - INSCOM I2TS4 - Meeting w/ Laura discuss the following it', 'GDIT - Program Analyst/Operations Manager - INSCOM I2TS4 - Meeting w/ Laura discuss the following it']",
DES,69,"['Leidos - DES Sarah is the PM for the DLA and MDA dafas. Set me', 'Leidos - DES Matt is moving to an RFP position on DES. Still going to keep in touch with him every othe', 'Leidos - DES Chris gave me the heads up that Matt is moving po']",
BAE,66,"['BAE SSP - met with Jeff. Still working on doing every', 'BAE- Deputy PM- Scheduled tag up with Jason, no curre', 'BAE- Director- HPC Portfolio- tag up with Jeff, he re']",
GSMO,59,"['Leidos - GSMO - meeting with Dipa regarding Data Visualization ', 'Leidos - GSMO TN01 - Jumped on tag up meeting to introduce myse', 'Leidos - GSMO - TN01 - met about the Journeyman NetOps Engineer']",
RFP,53,"[""ting up a meeting with her entire team on BIM TO4 RFP opportunity. Asked for a F/U tomorrow if it isn't"", 'CACI - BIM TO3 & COMPMOD COMPMOD RFP had some urgent techincal questions. KK indicated', ' C-UAS IDIQ Teaming agreemnt with C-UAS. Expected RFP by Christmas. Supports DHS The Contractor shall p']",
IBCS,50,"['VMOD (GDIT had that CACI won), Northrop Grumman - IBCS', 'SAIC: IBCS offer for Hernandez but can only be with us for 2', 'SAIC: IBCS tag up with John. sending nava to guam on 14th. n']",
