Record_Type,Date,Client,Job_ID,Job_Title,Candidate,Status,Recruiter,Salesperson,Department,Contact_Name,Notes
Submission,01/09/2025,,#8575,INFOSEC,Contract To Hire,Placed,,Colton Scurry,Atlanta,,
Submission,02/25/2025,,#8680,ESL Systems Engineer,Contract To Hire,Placed,,Colton Scurry,Atlanta,,
Submission,05/13/2025,,#8878,FSE,Contract To Hire,Placed,,Colton Scurry,Atlanta,,
Submission,09/09/2025,,#9173,ISSO,Contract To Hire,Placed,,Colton Scurry,Atlanta,,
Submission,09/18/2025,,#9194,Systems Engineer,Contract To Hire,Placed,,Colton Scurry,Atlanta,,
Submission,09/30/2025,,#9213,Full Stack Developer,Contract To Hire,Placed,,Colton Scurry,Atlanta,,
Submission,01/02/2025,Northrop Grumman,#8513,All Source Intel Analyst,JAXON ROMINE,Client Submission,Vince Casey,Colton Scurry,Atlanta,,
Submission,01/07/2025,GDIT,#8557,community engagement specialist,Valerie Winrow,Placed,Garrison Pirkle,Colton Scurry,Atlanta,,
Submission,01/07/2025,GDIT,#8557,community engagement specialist,Alexandria Favors,Placed,Jacob Burke,Colton Scurry,Atlanta,,
Submission,01/12/2025,Northrop Grumman,#8513,All Source Intel Analyst,Matthew Palmer,Client Submission,Vince Casey,Colton Scurry,Atlanta,,
Submission,01/12/2025,Northrop Grumman,#8513,All Source Intel Analyst,EVAN KNIGHT,Client Submission,Vince Casey,Colton Scurry,Atlanta,,
Submission,01/13/2025,Northrop Grumman,#8513,All Source Intel Analyst,Justin Pennella,Client Submission,Vince Casey,Colton Scurry,Atlanta,,
Submission,01/14/2025,Northrop Grumman,#8513,All Source Intel Analyst,Joshua Taggart,Interview Scheduled,Vince Casey,Colton Scurry,Atlanta,,
Submission,01/14/2025,Northrop Grumman,#8520,Systems Engineer,SEAN MILLER,Client Submission,Jackson Buice,Colton Scurry,Atlanta,,
Submission,01/14/2025,Northrop Grumman,#8513,All Source Intel Analyst,Jay Ritchie,Client Submission,Vince Casey,Colton Scurry,Atlanta,,
Submission,01/15/2025,SAIC,#8575,INFOSEC,Earl Brightbill,Client Submission,Jackson Buice,Colton Scurry,Atlanta,,
Submission,01/16/2025,Northrop Grumman,#8513,All Source Intel Analyst,Joseph Rotherham,Interview Scheduled,Vince Casey,Colton Scurry,Atlanta,,
Submission,01/16/2025,SAIC,#8596,Policy Analyst,Laura Sellers,Client Submission,Jackson Buice,Colton Scurry,Atlanta,,
Submission,01/17/2025,Northrop Grumman,#8544,Devops Engineer,Joseph Luster,Interview Scheduled,Vince Casey,Colton Scurry,Atlanta,,
Submission,01/17/2025,Northrop Grumman,#8513,All Source Intel Analyst,Dante Grimes,Client Submission,Vince Casey,Colton Scurry,Atlanta,,
Submission,01/17/2025,Northrop Grumman,#8513,All Source Intel Analyst,Jovan Ferrell,Client Submission,Vince Casey,Colton Scurry,Atlanta,,
Submission,01/21/2025,SAIC,#8596,Policy Analyst,Alyson Washington,Client Submission,Jackson Buice,Colton Scurry,Atlanta,,
