acronym,program_name,piid,prime_contractor,total_contract_value,agency,pop_end,bd_score,bd_status,_match_type,_confidence,_matched_to,_matched_acronym,_matched_program
FY21-23,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,N0001921C0020,LOCKHEED MARTIN CORPORATION,8130462916.0,Department of the Navy,2027-12-30,77,HOT TARGET,PROGRAM_FAMILY,75,Trevor W,F-35 CYBER,F-35
PURPOSE,THE PURPOSE OF THIS TASK ORDER IS TO PROCURE SMIT ENTERPRISE IT SUPPORT SERVICES FOR BASE YEAR 5.,M6785425F4200,"LEIDOS, INC.",208875289.34,Department of the Navy,2026-04-30,69,WARM LEAD,PROGRAM_FAMILY,75,Kevin,NGEN,SMIT
,SMIT BASE YEAR 2 (BY2) ENTERPRISE SUPPORT SERVICES,M6785422F4205,"LEIDOS, INC.",172703209.98,,,63,WARM LEAD,PROGRAM_FAMILY,75,Kevin,NGEN,SMIT
,NMCI SERVICES - SMIT 9/22- NEW ORDERS,N6883622FJS0H,"LEIDOS, INC.",159857952.98,,,63,WARM LEAD,PROGRAM_FAMILY,75,Kevin,NGEN,SMIT
F-35,F-35 LIGHTNING II COMMON SPARES PARTS,N0001918F0584,LOCKHEED MARTIN CORPORATION,589661129.25,Department of the Navy,2027-08-13,62,WARM LEAD,PROGRAM_FAMILY,75,Trevor W,F-35 CYBER,F-35
INTEGRATION,"INTEGRATION EFFORTS FOR AN F-35 FOREIGN MILITARY SALES (FMS) CUSTOMER INCLUDING PROGRAM MANAGEMENT, NON-RECURRING UNIQUE REQUIREMENTS, AND TRAINING.",N0001923C0058,LOCKHEED MARTIN CORPORATION,635797370.0,Department of the Navy,2027-12-31,59,WARM LEAD,PROGRAM_FAMILY,75,Trevor W,F-35 CYBER,F-35
PROVIDE,PROVIDE MOD AND RETROFIT SUPPORT FOR F-35 PROGRAM FOR CY19,N0001919F2512,LOCKHEED MARTIN CORPORATION,318334345.78,Department of the Navy,2027-12-31,56,WARM LEAD,PROGRAM_FAMILY,75,Trevor W,F-35 CYBER,F-35
,THE PURPOSE OF THIS TASK ORDER IS TO PROCURE SMIT ENTERPRISE SUPPORT SERVICES FOR BASE YEAR 3.,M6785423F4201,"LEIDOS, INC.",207046800.06,,,54,WARM LEAD,PROGRAM_FAMILY,75,Kevin,NGEN,SMIT
,THE PURPOSE OF THIS TASK ORDER IS TO PROCURE SMIT ENTERPRISE IT SUPPORT SERVICES FOR BASE YEAR 4.,M6785424F4204,"LEIDOS, INC.",203226997.46,,,54,WARM LEAD,PROGRAM_FAMILY,75,Kevin,NGEN,SMIT
F-35,F-35 BLOCK 4 PROPULSION DEVELOPMENT FLIGHT TEST SUPPORT,N0001919C0007,RTX CORPORATION,342288727.0,Department of the Navy,2026-12-31,36,PROSPECT,PROGRAM_FAMILY,75,Trevor W,F-35 CYBER,F-35
