Job Number,Job Title,Job Location,Matched Programs,Prime Contractors,Program Locations,Target Titles (Bullhorn),Match Score
3012968,Software Developer Advisor,"Bossier City, LA",DTRA IAC-MAC Research & Analysis; NARSIL – Advanced Research for System Intelligence & Learning,Peraton; CACI,"HERNDON, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",4
3013041,Information Systems Security Officer,"Tyndall Air Force Base, FL",AFCENT SCORPION Cyber Task (ISSO/ISSM Support); DIA Information Systems Engineering Office; Intelligence Systems Enterprise Operations,Leidos; CACI,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",6
3013125,Security Control Assessor,"Arlington, VA",Army IT Enterprise Mgmt Systems Solution; CISA Enterprise Support (CACI); DIA Battlefield Information Networks / BICES-X,CACI,"ARLINGTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",12
3014010,EVMS Lead Program Control Consultant,"Herndon, VA",Air Force Advanced Battle Management System; NASA SENSE (Space Comms & Tracking); NGA Enterprise Engineering,"Peraton; Multiple: SAIC, Leidos, Booz Allen Hamilton; Peraton (Perspecta heritage)","HERNDON, VIRGINIA","Director, VP, Senior Manager, Program Director",10
3014247,Project Management Consultant-Level 3 - Senior (11 - 15 Years),"Juno Beach, FL","SITEC III – Enterprise Operations & Maintenance; Command and Control, Battle Management & Communications (MDA); Command and Control, Battle Management, Communications",Peraton; Lockheed Martin; Northrop Grumman,"TAMPA, FLORIDA; CHANDLER, ARIZONA","Hiring Manager, Program Manager, Team Lead, Recruiter",5
3013295,.NET Developer - Placement,"Washington, VA",Integrated Base Defense Security System; Justified SAP Security Contract (Hanscom/Bolling); Mission Partner Environment (Field Ops / MPCO),Booz Allen Hamilton; GDIT; Leidos,"WASHINGTON, DISTRICT OF COLUMBIA; SPRINGFIELD, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
3015483,Sr Business Systems Analyst (PPBE),"Washington, VA",HHS Advanced Secure Data Repository; Justified SAP Security Contract (Hanscom/Bolling); Mission Partner Environment (Field Ops / MPCO),Booz Allen Hamilton; GDIT; GDIT / SAIC (indicative),"WASHINGTON, DISTRICT OF COLUMBIA; SPRINGFIELD, VIRGINIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager",7
3014403,Ops Tech II,"St. Louis, MO","NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Business Operations & Analytics; DIA Battlefield Information Networks / BICES-X",Northrop Grumman; CACI; Leidos,"ROY, UTAH; ARLINGTON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
3015532,Sr Systems Administrator,"Reston, VA",Integrated Base Defense Security System; DTRA Integrated IT Support Services; DTRA Integrated IT Support Services,Leidos,"RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",12
3016673,Communications Network Engineer Mid (Norfolk),"Norfolk, VA",Integrated Base Defense Security System; Army Integrated Battle Command System Support; Army IT Enterprise Mgmt Systems Solution,Northrop Grumman (prime); CACI (support); CACI; Leidos,"CHANTILLY, VIRGINIA; ARLINGTON, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",9
3016779,Network Security Engineer,"Arlington, VA",Data Center & Cloud Optimization; DIA SITE III IDIQ; Army IT Enterprise Mgmt Systems Solution,"Peraton / Leidos (indicative); Leidos, CACI, others; CACI","MC LEAN, VIRGINIA; ARLINGTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",11
3017458,Siemens OpsCenter Solutions Architect,"Norfolk, VA",Integrated Base Defense Security System; Air Force Advanced Battle Management System; Army Integrated Battle Command System Support,"Northrop Grumman (prime); CACI (support); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","HERNDON, VIRGINIA; CHANTILLY, VIRGINIA; RESTON, VIRGINIA","Chief Architect, Technical Director, Engineering VP, CTO",9
3017552,Network Switching Design Engineer Sr-Camp Lejeune,"Jacksonville, NC","Integrated Base Defense Security System; DIA Information Systems Engineering Office; EDIS – Engineering, Development, Integration & Sustainment",SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
3018016,Microsoft Systems Engineer,"North Charleston, SC",Defense Enterprise Office Solutions; Intelligence Systems Enterprise Operations; Advanced Battle Management System,Multi (SAIC supports parts); Leidos; CSRA / Leidos (team),"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
