search_keyword,piid,recipient_name,award_amount,description,start_date,end_date,agency,pop_city,pop_state,internal_id
SATCOM,0005,CPI SATCOM & ANTENNA TECHNOLOGIES INC.,486176574.59,WWSS WINT 0014,2007-08-21,2020-12-31,Department of Defense,,,CONT_AWD_0005_9700_W15P7T06DL219_9700
SATCOM,FA880820C0049,NORTHROP GRUMMAN SYSTEMS CORPORATION,425294427.82,EVOLVED STRATEGIC SATCOM SATELLITE PAYLOAD DEVELOPING HARDWARE AND SOFTWARE,2020-09-16,2025-07-15,Department of Defense,,,CONT_AWD_FA880820C0049_9700_-NONE-_-NONE-
SATCOM,FA445210C0002,"BOEING AEROSPACE OPERATIONS, INC.",259455608.69,SLC3S-A AIRBORNE BROADBAND SATCOM SVCS,2010-03-01,2015-05-31,Department of Defense,,,CONT_AWD_FA445210C0002_9700_-NONE-_-NONE-
SATCOM,W52P1J19C0034,"IAP WORLD SERVICES, INC.",221157259.85,AWARD OF SATELLITE COMMUNICATION (SATCOM) SUPPORT SERVICES,2019-06-26,2026-09-30,Department of Defense,,,CONT_AWD_W52P1J19C0034_9700_-NONE-_-NONE-
SATCOM,0006,TELECOMMUNICATION SYSTEMS INC,215253195.12,"IGF::OT::IGF THE PURPOSE OF THIS TASK ORDER (0006) IS AS FOLLOWS:  1.  TO PROVIDE HARDWARE, MATERIALS, AND SERVICES, AS DELINEATED IN SECTION B, IN THE AMOUNT OF $9,383,052.47 TO SUPPORT PROGRAM MANAGER (PM) WARFIGHTER INFORMATION NETWORK-TACTICAL (WIN-T)/PRODUCT MANAGER SATELLITE COMMUNICATIONS (PDM SATCOM).",2015-09-28,2021-01-08,Department of Defense,,,CONT_AWD_0006_9700_W15P7T13D0018_9700
SATCOM,H9241524F0076,"GLOBAL ENTERPRISE SOLUTIONS, INC.",166785889.64,SATCOM 2024-018 J6 MAIN,2024-07-01,2026-06-30,Department of Defense,,,CONT_AWD_H9241524F0076_9700_H9240019A0002_9700
SATCOM,W9126019C0001,"L3HARRIS TECHNOLOGIES, INC.",152539249.6,"THIS PERFORMANCE WORK STATEMENT (PWS) FOR WIDEBAND SATELLITE COMMUNICATIONS (SATCOM) OPERATIONS AND TECHNICAL SUPPORT II (WSOTS II) DEFINES THE REQUIREMENTS TO PROVIDE U.S. ARMY SPACE AND MISSILE DEFENSE COMMAND/ARMY FORCES STRATEGIC COMMAND (USASMDC/ARSTRAT) WITH SITE SUPPORT AND SERVICES IN SUPPORT OF THE WIDEBAND SATCOM MISSIONS OF THE ORGANIZATIONS IDENTIFIED IN THIS PWS AND THE WIDEBAND SATCOM OPERATIONAL MANAGEMENT SYSTEM (WSOMS).  THE WSOMS SUPPORTS PLANNING, MANAGEMENT, AND CONTROL OPERA",2018-12-01,2027-07-31,Department of Defense,,,CONT_AWD_W9126019C0001_9700_-NONE-_-NONE-
SATCOM,W9126012C0001,"L3HARRIS TECHNOLOGIES, INC.",133722094.77,WIDEBAND SATELLITE COMMUNICATIONS (SATCOM) OPERATIONS AND TECHNICAL SUPPORT (WSOTS) AWARD,2011-11-28,2019-01-31,Department of Defense,,,CONT_AWD_W9126012C0001_9700_-NONE-_-NONE-
SATCOM,0062,NORTHROP GRUMMAN SYSTEMS CORP,111829744.68,"ACAT 1C, B-2 PROGRAM, EHF SATCOM INCREMENT I PRODUCTION LRIP/FRP",2012-09-21,2016-07-30,Department of Defense,,,CONT_AWD_0062_9700_F3365799D0028_9700
SATCOM,W912HV14C0007,"PRIME PROJECTS INTERNATIONAL JAPAN CO.,LTD",89848289.85,"IGF::OT::IGF FY 13 MILITARY CONSTRUCTION ARMY (MCA) PROJECT NUMBER 62783, SATELLITTE COMMUNICATIONS (SATCOM) COMPLEX/NETWORK ENTERPRISE CENTER (NEC), FORT BUCKNER AND TORII STATION, OKINAWA, JAPAN",2014-09-16,2026-07-03,Department of Defense,,,CONT_AWD_W912HV14C0007_9700_-NONE-_-NONE-
