program_name,full_name,agency,piid,recipient_name,award_amount,description,start_date,end_date,awarding_agency,awarding_sub_agency,source
INSCOM,Intelligence and Security Command,DoD,47QFCA19F0040,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,202870538.71,AWARD OF THE ARMY OPEN SOURCE INTELLIGENCE CAPABILITIES TASK ORDER IN SUPPORT OF US ARMY INSCOM.,2019-08-01,2025-01-31,General Services Administration,Federal Acquisition Service,USAspending
INSCOM,Intelligence and Security Command,DoD,W912DR16C0004,MANHATTAN CONSTRUCTION COMPANY LLC,154669003.0,CONSTRUCTION OF INSCOM FACILITY IGF::OT::IGF,2016-02-23,2020-03-18,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,0001,"CACI, INC. - FEDERAL",78324936.24,GENESIS III SUPPLIES AND SERVICES AND ENGINEERING FOR LOGISTICS REQUIREMENTS TO INSCOM ASSETS,2009-03-27,2011-03-27,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,0002,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,53634366.68,IGF::CT::IGF  INSCOM G3 GEOINT SUPPORT,2016-04-08,2019-04-30,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W912DR13C0035,HENSEL PHELPS CONSTRUCTION CO,44925813.5,IGF::OT::IGF INSCOM - NOLAN BUILDING PARKING GARAGE,2013-07-22,2016-06-30,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W911W413C0007,INVERTIX CORPORATION,44149429.44,THIS REQUIREMENT PROVIDES FOR CAPABILITIES INTEGRATION SUPPORT PROJECT THROUGHPUT CAPABILITY BY PROVIDING INTEGRATION OF EMERGING AND TECHNOLOGY BASED CAPABILITIES INTO INSCOM SOFTWARE INTEGRATION LAB (SIL) ENVIRONMENTS AND INSCOM ENTERPRISE PLATFORM TO ENHANCE INTELLIGENCE CAPABILITIES.,2013-08-20,2015-05-20,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W911W417C0009,"LEIDOS, INC.",30582917.12,HQ INSCOM LABOR IGF::CT::IGF,2017-08-22,2018-06-30,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,0517,BOOZ ALLEN HAMILTON INC,28101833.76,"IGF::CL,CT::IGF SV 12-0486 US ARMY INTELLIGENCE AND SECURITY COMMAND (INSCOM) FORCE MANAGEMENT, TRANSFORMATION DEVELOPMENT, STRATEGIC PLANNING, OPERATIONS, AND ALL-SOURCE INTELLIGENCE ANALYSIS",2013-08-27,2015-07-08,Department of Defense,Defense Contract Management Agency,USAspending
INSCOM,Intelligence and Security Command,DoD,HHSP233201700138G,"LYNXNET, LLC",24480367.66,IGF::OT::IGF SAS-2017-0687 DEPT OF ARMY INSCOM C2IO SUPPORT SERVICES,2018-09-17,2019-09-18,Department of Health and Human Services,Office of the Assistant Secretary for Administration,USAspending
INSCOM,Intelligence and Security Command,DoD,0003,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,22896980.0,"IGF::CL::IGF  THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE TECHNICAL, FUNCTIONAL, AND GENERAL SUPPORT SERVICES TO INSCOM'S 116TH MILITARY INTELLIGENCE BRIGADE AND ITS SUBORDINATE UNITS AS WELL AS INSCOM'S OTHER SUBORDINATE OUTSIDE THE CONTINENTAL UNITED STATES UNITS FOR PED OPERATIONS. THIS ACTION INCLUDES ONE 12 MONTH BASE PERIOD AND THREE 12 MONTH OPTION PERIODS.",2017-05-17,2022-05-18,Department of Defense,Department of the Army,USAspending
