program,contract_count,total_value,top_recipients,latest_end,bullhorn_mentions,is_fair_game,opportunity_score
MDA,50,92324962266.68,"HUMANA GOVERNMENT BUSINESS INC; TRIWEST HEALTHCARE ALLIANCE CORP; HEALTH NET FEDERAL SERVICES, LLC",2027-02-08,2,True,923.2496226668
V-22,50,13226488798.57,"BELL BOEING JOINT PROJECT OFFICE; DEFENSE SYSTEMS AND SOLUTIONS; HARPER CONSTRUCTION COMPANY, INC.",2030-06-30,0,True,132.2648879857
Orion,42,22096022675.83,"LOCKHEED MARTIN CORP; DRAGADOS/HAWAIIAN DREDGING/ORION JV; AMENTUM TECHNOLOGY, INC.",2028-06-19,4,True,110.48011337915001
CH-53K,29,10937860725.85,SIKORSKY AIRCRAFT CORPORATION; LOCKHEED MARTIN CORPORATION; RAYTHEON COMPANY,2034-02-28,2,True,109.37860725850001
GBSD,51,11636220988.640001,NORTHROP GRUMMAN SYSTEMS CORP; KORTE CONSTRUCTION COMPANY; M. A. MORTENSON COMPANY,2029-03-10,3,True,58.18110494320001
NASA,49,46580459806.51,THE BOEING COMPANY; SPACE EXPLORATION TECHNOLOGIES CORP.; CALIFORNIA INSTITUTE OF TECHNOLOGY,2031-03-31,42,False,46.58045980651
EUCOM,55,4093446368.6000004,"KBR SERVICES, LLC; VECTRUS SYSTEMS LLC; PARSONS GOVERNMENT SERVICES INC.",2027-05-14,0,True,40.934463686
F-35,37,37293313063.59,"LOCKHEED MARTIN CORPORATION; GE ROLLS-ROYCE FIGHTER ENGINE TEAM, LLC; BOOZ ALLEN HAMILTON INC",2100-12-31,14,False,37.29331306359
DARPA,59,3726974466.75,"LOCKHEED MARTIN CORPORATION; AGILE DEFENSE, LLC; THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC",2027-04-30,2,True,37.2697446675
ITES,58,21771124864.58,BELL BOEING JOINT PROJECT OFFICE; SIKORSKY AIRCRAFT CORPORATION; LOCKHEED MARTIN CORPORATION,2039-06-25,832,False,21.771124864580003
AEGIS,57,18487946325.79,LOCKHEED MARTIN CORPORATION; RAYTHEON COMPANY; AEGIS AEROSPACE INC,2029-12-31,117,False,18.487946325790002
E-7,20,1844002603.85,"SCIENCE APPLICATIONS INTERNATIONAL CORPORATION; NORTHROP GRUMMAN SYSTEMS CORPORATION; GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",2030-12-25,0,True,18.4400260385
NRO,47,1781248905.31,"UNITED LAUNCH SERVICES, LLC; ORBITAL SCIENCES LLC; LEIDOS, INC.",2028-05-31,1,True,17.812489053100002
DISA,60,15762185741.74,RAPID DEPLOYMENT INC; QTC MEDICAL SERVICES INC; LOYAL SOURCE GOVERNMENT SERVICES LLC,2027-09-29,201,False,15.76218574174
