piid,recipient,is_our_prime,matched_prime,bullhorn_mentions,obligated_amount,base_value,agency,sub_agency,pop_end_date,description,naics,pop_state
47QFWA26F0006,,Yes,ACCENTURE FEDERAL,51,0,0,,,,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,541512,
6982AF26C000012,,Yes,ACCENTURE FEDERAL,51,0,0,,,,UT FLAP WEB 10(1) CAUSEY RESERVOIR ACCESS CONTRACT FOR 3R AND 4R ROAD CONSTRUCTION IMPROVEMENTS TO CAUSEY RESERVOIR,237310,
121NTB26C0007,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"COMMODITIES FOR USG FOOD DONATIONS: 2000011135/4210007478/WHEAT, HARD RED WINTER BULK",311999,
121NTB26C0006,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"COMMODITIES FOR USG FOOD DONATIONS: 2000011135/4210007477/WHEAT, HARD RED WINTER BULK",311999,
121NTB26C0009,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"COMMODITIES FOR USG FOOD DONATIONS: 2000011135/4210007480/WHEAT, HARD RED WINTER BULK",311999,
121NTB26C0004,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"COMMODITIES FOR USG FOOD DONATIONS: 2000011135/4210007475/WHEAT, HARD RED WINTER BULK",311999,
19AQMM26F0083,,Yes,ACCENTURE FEDERAL,51,0,0,,,,SALLYPORT AND COMPOUND UPGRADES - U.S. EMBASSY PORTUGAL,236220,
75FCMC26F0030,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"THE INNOVATION SUPPORT PLATFORM (ISP) 2.0 WILL SUPPORT THREE (3) SYSTEMS. THE THREE (3) SYSTEMS INCLUDE: EDFT, CDX AND HDR. THE CONTRACTOR IS TO ACQUIRE AN IT CAPABILITY FOR AN INNOVATION SUPPORT PLAT",541519,
123J1426C0499,,Yes,ACCENTURE FEDERAL,51,0,0,,,,COMMODITIES FOR USG FOOD DONATIONS: 2000011115/4100033575/CHICKEN LARGE CHILLED -BULK,311615,
47QFCA26F0004,,Yes,ACCENTURE FEDERAL,51,0,0,,,,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,541512,
70CDCR26FR0000002,,Yes,ACCENTURE FEDERAL,51,0,0,,,,THE PURPOSE OF THIS AWARD IS TO PROVIDE GROUND TRANSPORTATION SERVICES IN SUPPORT OF ENFORCEMENT AND REMOVAL OPERATIONS (ERO) IN THE SALT LAKE CITY (SLC) AREA OF RESPONSIBILITY (AOR).,561612,
86614526F00007,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FIELD SERVICE MANAGEMENT AREA 6A/7A,531311,
693KA726F00008,,Yes,ACCENTURE FEDERAL,51,0,0,,,,THIS NEEDS PACKAGE IS FOR START UP ACTIVITIES CAPTURED BELOW:  ESTABLISH AND MANAGE PROGRAM AND INTEGRATION MANAGEMENT ESTABLISH AND MANAGE PROGRAM START-UP MANAGEMENT ESTABLISH AND MANAGE COMMUNICATI,541512,
123J1426C0483,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"COMMODITIES FOR USG FOOD DONATIONS: 2000011102/4100033559/BEEF 100% PTY 85/15 FRZ 2.0MMA CTN-40 LB,BEEF FINE GROUND FRZ CTN-40 LB,BEEF FINE GROUND FRZ PKG-40/1 LB",311611,
36C77626C0021,,Yes,ACCENTURE FEDERAL,51,0,0,,,,636-502 CONSTRUCT STERILE PROCESSING SERVICE - OMAHA VAMC,236220,
1333BJ26F00050002,,Yes,ACCENTURE FEDERAL,51,0,0,,,,ARMED SECURITY GUARD SERVICE,561612,
86614526F00011,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FIELD SERVICE MANAGEMENT AREA 2D,531311,
2032H526C00005,,Yes,ACCENTURE FEDERAL,51,0,0,,,,PROCUREMENT OF LICENSES AND SUPPORT SERVICES FOR THE DATABRICKS PLATFORM IN SUPPORT OF THE DATA MODERNIZATION EFFORT.,518210,
36C77626C0019,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"THE CONTRACTOR SHALL PROVIDE ALL TOOLS, EQUIPMENT, MATERIALS, LABOR, SUPERVISION, PERSONNEL, AND SHALL DO ALL THINGS NECESSARY THAT WILL RESULT IN THE CONSTRUCTION OF THE EHRM INFRASTRUCTURE UPGRADES ",236220,
697DCK26C00038,,Yes,ACCENTURE FEDERAL,51,0,0,,,,ATCBI-6M5 SUSTAINMENT WITH CONDOR MK3,334511,
28321326FA0010016,,Yes,ACCENTURE FEDERAL,51,0,0,,,,MICROSOFT ENTERPRISE AGREEMENT (EA) BPA -- CALL ORDER FOR MICROSOFT RENEWAL QUANTITIES OF SUBSCRIPTION AND MAINTENANCE.,511210,
693C7326F00015N,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"PROJECT NC NP BLRI 2K13; NC NP BLRI 2K14  THE PROJECT CONSISTS OF HURRICANE DAMAGE REPAIRS AT MP 316.4, 325.8 AND 325.9. THE WORK INCLUDES BRIDGE RAIL REPLACEMENT CONCRETE REPAIR, RIPRAP PLACEMENT, PA",237310,
89233126PNA000208,,Yes,ACCENTURE FEDERAL,51,0,0,,,,AWS GENESIS DEMONSTRATOR,518210,
2032L226F00012,,Yes,ACCENTURE FEDERAL,51,0,0,,,,ORDER FOR IDENTITY VERIFICATION AND AUTHENTICATION PRODUCTS AND SERVICES (ID.ME).,541519,
70B02C26C00000007,,Yes,ACCENTURE FEDERAL,51,0,0,,,,IST SUSTAINMENT,811210,
19AQMM26F0044,,Yes,ACCENTURE FEDERAL,51,0,0,,,,AM:MFT FLIR FOR UKRAINIAN COUNTERPARTS,541614,
47QSWC26F0018,,Yes,ACCENTURE FEDERAL,51,0,0,,,,BPA CALL ORDER EALS KITS,333924,
36C10X26N0045,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,621111,
36C10X26N0043,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,621111,
69056726C000004,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"CONSTRUCTION SERVICE FOR PROJECT AK PRA DENA 10(36) REPLACE GHIGLIONE BRIDGE. WORK CONSISTS STRUCTURE, GRADING, DRAINAGE, BASE AND EROSION CONTROL.",237310,
70RFP426FRE700005,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"ARMED PROTECTIVE SECURITY OFFICER SERVICES THROUGHOUT DALLAS, TX",561612,
36C10X26N0044,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,621111,
36C10X26N0046,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,621111,
36C10X26N0036,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,621111,
36C10X26N0031,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,621111,
36C10X26N0037,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,621111,
36C10X26N0032,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,621111,
36C10X26N0035,,Yes,ACCENTURE FEDERAL,51,0,0,,,,"OPTION 1 TASK ORDER (JANUARY 1, 2026 - DECEMBER 31, 2026) FOR DEPARTMENT OF VETERANS AFFAIRS (VA) VETERANS BENEFITS ADMINISTRATION (VBA) MEDICAL DISABILITY EXAMINATION OFFICE (MDEO)""",621111,
36C10X26N0038,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,621111,
36C10X26N0033,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,621111,
12314426F0031,,Yes,ACCENTURE FEDERAL,51,0,0,,,,THE PRINCIPAL OBJECTIVE FOR THIS PROCUREMENT IS TO SECURE ONGOING SECURE PRODUCT SUPPORT FOR LARGE ENTERPRISES (SPSLE) FOR THE DEPARTMENT'S SAP BASED SOLUTIONS.,541519,
36C10X26N0034,,Yes,ACCENTURE FEDERAL,51,0,0,,,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,621111,
36C10X26N0042,,Yes,ACCENTURE FEDERAL,51,0,0,,,,MEDICAL DISABILITY EXAMINATIONS - TO FY26 FUNDING,621111,
