naics_code,naics_description,dod_spending,contract_count,is_it_related
336411,Aircraft Manufacturing,808856507063.57,0,No
541330,Engineering Services,554982217461.28,0,Yes
336611,Ship Building and Repairing,349259833794.62,0,No
236220,Commercial and Institutional Building Construction,287775688792.13,0,No
336414,Guided Missile and Space Vehicle Manufacturing,268423524640.04,0,No
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,247322876514.48,0,No
541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",240554112865.79,0,No
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",215811759608.89,0,No
524114,Direct Health and Medical Insurance Carriers,209509024928.84,0,No
324110,Petroleum Refineries,180101955709.16,0,No
561210,Facilities Support Services,179238949279.37,0,No
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",167973427397.88,0,Yes
336412,Aircraft Engine and Engine Parts Manufacturing,137606156891.81,0,No
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",125549370544.34,0,No
541519,Other Computer Related Services,108498541330.02,0,Yes
237990,Other Heavy and Civil Engineering Construction,106064168176.59,0,No
541512,Computer Systems Design Services,98048872999.25,0,Yes
488190,Other Support Activities for Air Transportation,91105889787.3,0,No
541710,"Research and Development in the Physical, Engineering, and Life Sciences",79886609685.58,0,No
541990,"All Other Professional, Scientific, and Technical Services",75178777068.97,0,No
332993,Ammunition (except Small Arms) Manufacturing,73756685316.24,0,No
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,71615639634.3,0,No
541611,Administrative Management and General Management Consulting Services,68227902266.81,0,No
541511,Custom Computer Programming Services,56213224783.29,0,Yes
517110,Wired Telecommunications Carriers,50559481771.52,0,No
325411,Medicinal and Botanical Manufacturing,43013849603.24,0,No
325412,Pharmaceutical Preparation Manufacturing,41172254593.95,0,No
424210,Drugs and Druggists' Sundries Merchant Wholesalers,38999199606.27,0,No
334111,Electronic Computer Manufacturing,38163914617.08,0,No
481212,Nonscheduled Chartered Freight Air Transportation,37079898505.16,0,No
483111,Deep Sea Freight Transportation,36106094362.82,0,No
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,35820797610.31,0,No
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,35407632374.52,0,No
481211,Nonscheduled Chartered Passenger Air Transportation,34910879124.06,0,No
334290,Other Communications Equipment Manufacturing,34619813184.62,0,No
562910,Remediation Services,33917815336.75,0,No
237310,"Highway, Street, and Bridge Construction",32293824526.78,0,No
336212,Truck Trailer Manufacturing,30318650763.54,0,No
332410,Power Boiler and Heat Exchanger Manufacturing,29921413135.39,0,No
511210,Software Publishers,28358443281.92,0,No
339999,All Other Miscellaneous Manufacturing,27256247939.93,0,No
561990,All Other Support Services,26143903538.53,0,No
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",23700389817.24,0,No
334419,Other Electronic Component Manufacturing,23272295894.61,0,No
541513,Computer Facilities Management Services,23231757082.03,0,Yes
325414,Biological Product (except Diagnostic) Manufacturing,21310832391.08,0,No
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),21061648918.13,0,No
424410,General Line Grocery Merchant Wholesalers,19880826164.53,0,No
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",18203129225.64,0,No
424490,Other Grocery and Related Products Merchant Wholesalers,17113716234.38,0,No
