piid,award_id,description,obligated_amount,base_and_all_options_value,awarding_agency,funding_agency,awarding_office,funding_office,recipient_name,recipient_uei,recipient_duns,naics_code,naics_description,psc_code,psc_description,contract_type,idv_type,pop_city,pop_state,pop_zip,pop_country,pop_start_date,pop_end_date,pop_potential_end_date,award_date,fiscal_year,set_aside,extent_competed,subaward_count,subaward_total
FA807519FA029,,JOINT TRAINING SYNTHETIC ENVIRONMENT JOINT STAFF J-7 DEPUTY DIRECTOR JOINT TRAINING ENVIRONMENT ARCHITECTURE DIVISION,0,0,,,,,,V9KKND8S1KJ3,,541715,,AZ12,,,,,,,,,,,2019-08-29,2019,,,144,0
70B04C20F00001357,,CUSTOM AND BORDER PROTECTION'S TARGETING AND ANALYSIS SYSTEMS PROGRAM DIRECTORATE (TASPD)'S BUSINESS INTELLIGENCE SUPPORT SERVICES (BISS) REQUIREMENTS CONTRACT,0,0,,,,,,JY2BDT2K58Z6,,541512,,D399,,,,,,,,,,,2020-09-29,2020,,,32,0
W911QX24F0053,,TASK ORDER #1 FOR MAVEN SMART SYSTEM - USER INTERFACE/USER EXPERIENCE (UI/UX) PROTOTYPE,0,0,,,,,,HNN4F9JZWDY8,,541715,,AC35,,,,,,,,,,,2024-06-26,2024,,,0,0
N0001902C3002,,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!AIRFRAMES AND SPARES          !2AMA!JAST/JSF                      !336411!E! !3! ! ! ! ! !99990909!B! ! !A! !A!N!R!2!002!N!1A!A!N!Z!  !  !N!C!N! ! ! !A!A!A!A!000!A!C!N! ! ! !Y!    !N00019!0001!,0,0,,,,,,G4KDGE4JFFK7,,336411,,AC15,,,,,,,,,,,2001-10-26,2002,,,0,0
W31P4Q20C0023,,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),0,0,,,,,,XFJMYSYFJEK4,,336414,,1410,,,,,,,,,,,2020-04-30,2020,,,4183,0
N0001917C0001,,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,0,0,,,,,,G4KDGE4JFFK7,,336411,,1510,,,,,,,,,,,2017-04-28,2017,,,12781,0
80GSFC19C0063,,"THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVIDING INNOVATIVE AND MISSION-EFFECTIVE SPACE COMMUNICATIONS AND NAVIGATION SOLUTIONS TO A LARGE COMMUNITY OF DIVERSE CUSTOMERS.  ESC MANAGES OPERATIONAL GEOSTATIONARY COMMUNICATIONS RELAY SATELLITES AND GROUND SYSTEMS FOR THE SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM AT NASA HEADQUARTERS.  TODAY, SCAN NETWORK SYSTEMS CONSIST OF THE SPACE NETWORK (SN), THE NEAR EARTH NETWORK (NEN), AND THE DEEP SPACE NETWORK (DSN).  THE DAY-TO-DAY MANAGEMENT OF THESE THREE NETWORKS IS CURRENTLY NOT FULLY CONSISTENT. IT IS THE INTENTION OF THE GOVERNMENT TO UNIFY THE SN AND NEN WHERE PRACTICABLE UNDER THIS CONTRACT USING INTEGRATED, COMMON MANAGEMENT PRACTICES AND NETWORK SOLUTIONS.",0,0,,,,,,ZBPQEJVECCT4,,517919,,D318,,,,,,,,,,,2019-06-27,2019,,,1514,0
N0001918C1037,,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),0,0,,,,,,PK8PM2GNVMP8,,336411,,1510,,,,,,,,,,,2018-02-22,2018,,,13704,0
FA861108C2896,,F119 ENGINE LONG TERM SUSTAINMENT PROGRAM FOR THE RAPTOR ENGINE (SPARE),0,0,,,,,,QN1BCFY7JDJ5,,488190,,J028,,,,,,,,,,,2008-02-19,2008,,,0,0
N0002422C5500,,AN/SPY-6(V) HARDWARE PRODUCTION,0,0,,,,,,YD6LTFVUZNG1,,334511,,5840,,,,,,,,,,,2022-03-31,2022,,,857,0
W15QKN19F1290,,OPS ~ CLIN 1 LABOR,0,0,,,,,,EMX1P81U9GG5,,541519,,R425,,,,,,,,,,,2019-08-28,2019,,,0,0
140R4024C0013,,SAN JUAN LATERAL WATER TREATMENT PLANT,0,0,,,,,,WEBHVDKSC4T5,,237110,,Y1NE,,,,,,,,,,,2024-08-30,2024,,,16,0
47QFCA20F0010,,BEAGLE TASK ORDER AWARD,0,0,,,,,,N3PBJAVNKF61,,541512,,D318,,,,,,,,,,,2019-11-05,2020,,,80,0
FA882024FB003,,SDANET SBIR III SINGLE AWARD IDIQ TASK ORDER FOR ANDURIL INDUSTRIES TO PERFORM ADDITIONAL FIELDING INTEGRATION OF LATTICED MESH NETWORK COMMUNICATIONS CAPABILITY TO SUPPORT WORLDWIDE SDANET CONNECTED SITES FOR DATA TO FLOW FROM INTEGRATED SENSORS.,0,0,,,,,,KC3CH2MSK7Q3,,541715,,AC32,,,,,,,,,,,2024-09-27,2024,,,0,0
W56HZV08C0460,,MEDIUM TACTICAL VEHICLES,0,0,,,,,,MJBJKUMUNBY7,,336212,,2320,,,,,,,,,,,2008-05-30,2008,,,0,0
DEAC0494AL85000,,,0,0,,,,,,LUJEPCRRT377,,561210,,M181,,,,,,,,,,,1993-10-15,1994,,,0,0
W52P1J19F0394,,LOGISTIC CIVIL AUGMENTATION PROGRAM (LOGCAP) V AWARD FOR EUCOM PERFORMANCE TASK ORDER.,0,0,,,,,,YSQMHRS4HSC5,,561210,,R706,,,,,,,,,,,2019-04-12,2019,,,5665,0
N0003022C2001,,FLIGHT TEST INSTRUMENTATION SUPPORT AND SERVICES,0,0,,,,,,JYAPS9B2MKE9,,541330,,H914,,,,,,,,,,,2021-10-01,2022,,,172,0
FA251822F0034,,LOADING INTEGRATION ANALYSIS AND TACTICAL SOLUTIONS FOR SATELLITE ENTERPRISE NETWORKS - 2 (LITEN-2),0,0,,,,,,EMX1P81U9GG5,,541512,,R425,,,,,,,,,,,2022-06-27,2022,,,0,0
GST0011AJ0025,,"IS TO PROVIDE SUPPORT FOR THE CONTINUED OPERATIONS, MAINTENANCE AND EVOLUTION OF DEPARTMENT OF HOMELAND SECURITY (DHS) CLASSIFIED NETWORKS. DHS CLASSIFIED NETWORKS ARE A FEDERAL ENTERPRISE INFRASTRUCTURE FOR CLASSIFIED INFORMATION SHARING WHICH EXTEND EXISTING US GOVERNMENT CAPABILITIES NOT ONLY TO THE DEPARTMENT OF HOMELAND SECURITY AND ITS COMPONENTS, BUT TO OTHER FEDERAL GOVERNMENT AGENCIES, AND TO FIRST RESPONDERS AT THE STATE, LOCAL, AND TRIBAL LEVELS.",0,0,,,,,,JER6HDF9APP1,,541512,,R499,,,,,,,,,,,2011-02-02,2011,,,315,0
36C10B22N10030034,,HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT AND STRATEGIC SOLUTIONING SUPPORT,0,0,,,,,,D84JK2RNL7V4,,541512,,DF01,,,,,,,,,,,2022-06-23,2022,,,114,0
HQ085621C0003,,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",0,0,,,,,,F9PAEKAAXGB6,,541715,,AC13,,,,,,,,,,,2021-03-24,2021,,,234,0
DOCDG133E09CN0094,,"THE PURPOSE OF THIS CONTRACT IS TO DEVELOP THE GROUND SYSTEM THAT WILL SUPPORT NOAA S NEXT GENERATION GEOSTATIONARY SATELLITE SERIES, GOES-R. THIS NEW SERIES OF SPACECRAFT, SET TO BEGIN LAUNCHING IN 2015, IS EXPECTED TO DOUBLE THE CLARITY OF TODAY S SATELLITE IMAGERY AND PROVIDE AT LEAST 20 TIMES MORE ATMOSPHERIC OBSERVATIONS FROM SPACE. THE CONTRACTOR IS TO DESIGN, DEVELOP, TEST AND IMPLEMENT THE GOES-R GROUND SYSTEM. THE GROUND SYSTEM WILL CAPTURE DATA FROM THE GOES-R SATELLITES, AND PROCESS AND DISTRIBUTE THE INFORMATION TO OPERATIONAL USERS.",0,0,,,,,,QM4EZDV15JL8,,541512,,D302,,,,,,,,,,,2009-05-27,2009,,,0,0
47QFCA24F0002,,"SITEC 3 EOM PROVIDES USSOCOM WITH O&M SERVICES TO MAINTAIN NETOPS, MAINTAIN SYSTEMS & NETWORK INFRASTRUCTURE, PROVIDE END USER & COMMON DEVICE SUPPORT, PROVIDE CONFIGURATION, CHANGE, LICENSE, & ASSET MGMT. CONDUCT TRAINING AND PERFORM IMACS SERVICES.",0,0,,,,,,ZBPQEJVECCT4,,541512,,DG01,,,,,,,,,,,2023-10-31,2024,,,78,0
NNJ09HD46C,,"THE FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT(FDOC) SPECIFIES TECHNICAL, MANAGERIAL, AND ADMINSTRATIVE WORK NEEDED TO ENSURE THE AVAILABLITITY, INTEGRITY, AND RELIABILITY OF MISSIONOPERATIONS FACILITES SUPPORTING NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) HUMAN SPACE FLIGHT (HSF) PROGRAMS REQUIRING MISSION OPERATIONS SUPPORT. THE OBJECTIVE OF THIS CONTRACT IS TO CONSOLIDATE EFFORTS ACROSS THE FACILITIES COVERED UNDER FODOC IN ORDER TO MAXIMIZE SYNERGY FOR HARDWARE AND SOFTWARE DEVELOPMENT, MODIFICATION, SUSTAINING. MAINTENANCE, RECONFIGURATION, AND OPERATIONS FOR THE PURPOSE OF REDUCING COST WITHOUT COMPROMISING FACILITY FUNCTIONALITY AND PERFORMANCE. NASA WILL COLLABORATE WITH THE CONTRACTOR ON DEVELOPING PROCEDURAL AND TECHNICAL INNOVATIONS THAT IMPROVE QUALITY, ENSURE CUSTOMER SATISFACTION AND REDUCE COST.  MISSION OPERATIONS FACILITIES CURRENTLY SUPPORT THE SPACE SHUTTLE PROGRAMAND THE INTERNATIONAL SPACE STATION PROGRA, INCLUDING INTERNATIONAL PARTNER AND COMMMERCIAL VISITING VEHICLES. MISSION OPERATIONS FACILITIES SUPPORTING THE CNSTELLATION PROGRAM(CXP) ARE CONTINUOUSLY UNDER DEVELOPMENT IN CONCERT WITH CXP FORMULATION AND IMPLEMENTATION. FDOC APPLIES TO THE FACILITIES OF THESE THREE PROGRAMS, AND ANY OTHER HSF PROGRAM REQUIRING MISSION OPERATIONS FACILITY SUPPORT. IN ADDITION, FUTURE MISSION OPERATIONS FACILITIES AND CAPABILITIES ARE WITHIN THE TECHNICAL SCOPE OF THIS SOW, AND FDOC WORLK ASSOCIATED WITH THESE FACILITIES WILL BE ENABLED THROUGH IDIQ.",0,0,,,,,,NTWCWULE48A8,,541712,,AR45,,,,,,,,,,,2008-11-07,2009,,,0,0
GSQ0017AJ0006,,"AWARD MADE TO CACI, INC.-FEDERAL FOR JIDA FS/DE TASK ORDER, IN THE AMOUNT NOT TO EXCEED $1,773,158,264.00. IGF::CL::IGF",0,0,,,,,,N3PBJAVNKF61,,541712,,B538,,,,,,,,,,,2016-10-28,2017,,,92,0
FA821413C0001,,"IGF::CL::IGF SYSTEMS ENGINEERING, INTEGRATION AND PROGRAM MANAGEMENT SUPPORT FOR THE ICBM SYSTEMS DIRECTORATE.",0,0,,,,,,LX3BSV6NNW58,,541330,,L014,,,,,,,,,,,2013-07-31,2013,,,1634,0
W15QKN15C0049,,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",0,0,,,,,,EPPXR2P9KYU6,,541511,,D307,,,,,,,,,,,2015-05-15,2015,,,16,0
W31P4Q15C0022,,TEN FIRE UNITS FOR QATAR,0,0,,,,,,XSV6AZJ6SDJ7,,336414,,1425,,,,,,,,,,,2014-12-19,2015,,,29981,0
4,,ISSUE NEW TASK ORDER 0004 FOR INSURANCE ENDORSEMENT PROCESSING. SERVICES FOR THE SANTA ANA HOME OWNERSHIP CENTER.   IGF::OT::IGF,0,0,,,,,,DDZBCZ4K2DN3,,541990,,R408,,,,,,,,,,,2016-07-05,2016,,,0,0
47QFCA21F0018,,"TASK ORDER (TO) 47QFCA21F0018 IS HEREBY AWARDED TO BOOZ ALLEN HAMILTON, INC. (BAH) TO PROVIDE ENTERPRISE LEVEL DATA TO THE OUSD(C), AND ITS STRATEGIC PARTNERS (I.E., DOD FOURTH ESTATE, DOD DEPARTMENTS, AND IC COMMUNITY).",0,0,,,,,,JCBMLGPE6Z71,,541512,,DA01,,,,,,,,,,,2021-03-09,2021,,,1460,0
47QFCA19F0033,,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,0,0,,,,,,CJ38H41QMGA1,,541330,,R499,,,,,,,,,,,2018-12-14,2019,,,100,0
HHSN261200800001E,,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,0,0,,,,,,HV8BH9BPG8Y9,,561210,,M181,,,,,,,,,,,2008-09-24,2008,,,0,0
FA877319FA023,,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,0,0,,,,,,K3XCTTC4VDR5,,541330,,R425,,,,,,,,,,,2019-03-07,2019,,,0,0
