prime_search,piid,award_date,description,obligated,base_and_exercised_options_value,total_contract_value,awarding_agency,funding_agency,recipient_name,recipient_uei,naics_code,psc_code,pop_city,pop_state,pop_start,pop_end,pop_ultimate,fiscal_year,idv_type,set_aside,award_type
SAIC,140FC126P0002,2025-12-15,AK  SAIC ANCHORAGE HYDRATION STATION,0.0,4000.0,0.0,U.S. Fish and Wildlife Service,Department of the Interior,PEAK ENGINEERING LLC,UZPLKJG1WNV5,237110,Y1ND,ANCHORAGE,AK,2025-12-15,2026-01-23,2026-01-23,2026,,SBA,Purchase Order
SAIC,15JPSS26F00000020,2025-10-28,SAIC FORFEITURE SYSTEMS INFORMATION TECHNOLOGY SYSTEM (FSITS) CALL ORDER,31951758.65,31951758.65,139536149.63,"Offices, Boards and Divisions",Department of Justice,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,541519,R425,RESTON,VA,2025-11-06,2026-11-05,2029-11-05,2026,E,NONE,BPA Call
SAIC,692M1525F00183,2025-09-18,ITAR-25-2597 SLI# 59949 EFA-25-RMS-4020.12 SOFTWARE PURCHASE: INFOIMAGE SOFTWARE SUPPORT RENEWAL SUPPORTS THE REGISTRY MODERNIZATION SYSTEM. -SEE SAIC SEWP QUOTE# Q5-0169260 FOR DETAILS,140875.96,140875.96,140875.96,Federal Aviation Administration,Department of Transportation,SCIENCE APPLICATIONS INTERNATIONAL CORP,L7EUZR8R5RZ3,334111,7A21,RESTON,VA,2025-09-18,2026-09-30,2026-09-30,2025,A,,Delivery Order
SAIC,N6523625PE030,2025-09-17,"THIS AWARD IS FOR THE REFURBISHMENT OF TWO OA-9243A(V)3 ATGS REFERENCING SAIC QUOTE#: MCATS-CQ25-0038 REV. 1.
PID: N65236-25-SIMACQ-LSUBP00016-0317",142650.0,142650.0,142650.0,Department of the Navy,Department of Defense,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,334220,5985,HANAHAN,SC,2025-09-17,2025-12-31,2025-12-31,2025,,NONE,Purchase Order
SAIC,HC102825F0808,2025-07-28,"SAIC - HELP DESK, JRE",30729.38,30729.38,30729.38,Defense Information Systems Agency,Department of Defense,SOFTWARE INFORMATION RESOURCE CORP.,EJJMMJHYDFH6,541519,7E20,FORT HUACHUCA,AZ,2025-07-28,2026-07-28,2026-07-28,2025,A,SBA,Delivery Order
SAIC,FA229925CB002,2025-07-14,SAIC BAA SOLICITATION #1 STATEMENT OF WORK (SOW),1500856.14,1500856.14,8615604.89,Department of the Air Force,Department of Defense,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,541715,5895,RESTON,VA,2025-07-14,2026-04-14,2028-10-14,2025,,NONE,Definitive Contract
SAIC,W911S725FA154,2025-05-13,DVIT 201-25  CAPIT 002-25SAIC 002-25  DVIT 202-25DVIT 004-25  SAIC 004-25CAPIT 003-25 SAIC 005-25DVIT 006-25  SAIC 006-25DVIT 703-25  SAIC 007-25DVIT 007-25  CAPIT 005-25SAIC 008-25  DVIT 702-25DVIT 008-25,90000.0,102000.0,102000.0,Department of the Army,Department of Defense,"FORENSIC CONSULTING SERVICES, LLC",HURGYMJA1VW3,624110,U009,FORT LEONARD WOOD,MO,2025-05-09,2025-06-09,2025-06-09,2025,E,SBA,BPA Call
SAIC,W911S725FA129,2025-05-02,CAPIT 004-25  FAST 002-25DVIT 006-25  DVIT 203-25DVIT 007-25  CAPIT 005-25FAST 003-25  DVIT 008-25SAIC 004-25  SAIC 005-25SAIC 006-25  SAIC 007-25SAIC 008-25,40000.0,52000.0,52000.0,Department of the Army,Department of Defense,METADATA FORENSICS LLC,QL96HMLNH8Y3,624110,U001,FORT LEONARD WOOD,MO,2025-05-01,2025-06-06,2025-06-06,2025,E,SBA,BPA Call
SAIC,W911S725FA105,2025-04-10,SAIC 002-25 (FT LEONARD WOOD) SII SAIC 004-25 (FT LEONARD WOOD) SIISAIC 005-25 (FT LEONARD WOOD) SII SAIC 006-25 (FT LEONARD WOOD) SIISAIC 007-25 (FT LEONARD WOOD) SII SAIC 008-25 (FT LEONARD WOOD) SII,33150.0,39780.0,39780.0,Department of the Army,Department of Defense,CHRISTOPHER F WILSON PSYD LLC,C35MG31PMQL5,624110,U009,FORT LEONARD WOOD,MO,2025-02-01,2025-06-10,2025-06-10,2025,E,SBA,BPA Call
SAIC,W911S725FA067,2025-03-26,"DVIT 201-25 (FT KNOX, KY)FAP FAST 001-25 (SAN ANTONIO, TX) FAPCAPIT 002-25 (FT LEONARD WOOD, MO) FAP SAIC 002-25 (FT LEONARD WOOD, MO); SIIDVIT 201-25 (FT KNOX, KY); FAP DVIT 004-25 (FT LEONARD WOOD, MO); FAPCAPIT 003-25 (FT LEONARD WOOD, MO); FAP",28000.0,28000.0,28000.0,Department of the Army,Department of Defense,METADATA FORENSICS LLC,QL96HMLNH8Y3,624110,U009,FORT LEONARD WOOD,MO,2025-03-24,2025-04-07,2025-04-07,2025,E,SBA,BPA Call
