piid,award_id,description,obligated_amount,base_and_all_options,awarding_agency,funding_agency,recipient_name,recipient_uei,naics,psc,pop_city,pop_state,pop_start_date,pop_end_date,subaward_count,subaward_total,discovery_date
47QFPA23F0014,,TO8 OY1 STANDING ARMY,0,0,,,,QLNMVC12KWY3,541330,R425,,,,,290,0,2026-01-27
N0002422C5231,,UNDERSEA WARFARE COMBAT SYSTEMS PRODUCT SUPPORT,0,0,,,,QLNMVC12KWY3,334511,N010,,,,,78,0,2026-01-27
47QFCA21C0002,,MILITARY AND FAMILY LIFE COUNSELING. REQUIREMENT FOR WORLDWIDE NON MEDICAL CONFIDENTIAL COUNSELING SERVICES.,0,0,,,,QLNMVC12KWY3,624190,G099,,,,,128,0,2026-01-27
36C10X26N0031,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X26N0032,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X26N0033,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X26N0034,,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X26N0005,,FY26 TASK ORDER,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X26N0008,,MODIFICATION TO UPDATE REVISE PWS AND ATTACHMENT AR.,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X25N0246,,FY25 Q4 AND FY26 Q1 ADDITIONAL EXAMS,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
75N91025F00016,,"NCI OPERATIONAL TASK ORDER, FY26-FY27",0,0,,,,HV8BH9BPG8Y9,541715,AN12,,,,,0,0,2026-01-27
36C10X25N0184,,FY25 Q3 EXAMS R4,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X25N0182,,FY25 Q3 EXAMS R2,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X25N0183,,FY25 Q3 EXAMS R3,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X25N0181,,FY25 Q3 EXAMS R1,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
HT003825F0007,,"ENTERPRISE LEVEL SERVICES FOR MHS GENESIS INCLUDING OPERATIONAL  MANAGEMENT SERVICES, PROGRAM MANAGEMENT, ENTERPRISE SUSTAINMENT,  AND LICENSE MAINTENANCE.",0,0,,,,UE9QJD4KK1L6,541512,7A21,,,,,0,0,2026-01-27
36C10X25N0146,,FY25 Q3 EXAMS R2,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
M6785425F4200,,THE PURPOSE OF THIS TASK ORDER IS TO PROCURE SMIT ENTERPRISE IT SUPPORT SERVICES FOR BASE YEAR 5.,0,0,,,,UE9QJD4KK1L6,541512,DA01,,,,,0,0,2026-01-27
70T04025C7672N001,,CHECKPOINT MAINTENANCE,0,0,,,,UE9QJD4KK1L6,811210,J063,,,,,2,0,2026-01-27
36C10X25N0233,,MDE FY25 FUNDING TASK ORDER - SUBJECT TO THE AVAILABILITY OF FUNDS,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X25N0238,,FY25 FUNDING TASK ORDER,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X25N0237,,MDE FY25 FUNDING TASK ORDER - SUBJECT TO THE AVAILABILITY OF FUNDS.,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X25N0081,,NEW TASK ORDER.,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X25N0242,,FY25 FUNDING TASK ORDER.,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
75N91024F00011,,NCI FY25 OPERATIONAL TASK ORDER,0,0,,,,HV8BH9BPG8Y9,541715,AN12,,,,,29,0,2026-01-27
70B04C24F00000739,,TRAVELERS PROCESSING VETTING SOFTWARE TASK ORDER 7 AWARD,0,0,,,,JSTDGZNFP4A3,541519,DA01,,,,,87,0,2026-01-27
47QFCA24F0039,,ARMY GLOBAL UNIFIED NETWORK  INCREMENT 1,0,0,,,,MDSWM6MB1BH7,541512,DA01,,,,,37,0,2026-01-27
FA701424F0287,,AFNCR-ITS SERVICES - FOLLOW ON - FA7014424D0007,0,0,,,,UE9QJD4KK1L6,541513,DE10,,,,,42,0,2026-01-27
M6785424F4204,,THE PURPOSE OF THIS TASK ORDER IS TO PROCURE SMIT ENTERPRISE IT SUPPORT SERVICES FOR BASE YEAR 4.,0,0,,,,UE9QJD4KK1L6,541512,DA01,,,,,0,0,2026-01-27
36C10X23N0147,,FY24 FUNDING TASK ORDER,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X23N0144,,MDE FY24 FUNDING TASK ORDER - SUBJECT TO THE AVAILABILITY OF FUNDS,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X23N0149,,FY24 FUNDING TASK ORDER.,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X23N0145,,MDE FY24 FUNDING TASK ORDER - SUBJECT TO THE AVAILABILITY OF FUNDS.,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X23N0148,,FY24 FUNDING TASK ORDER.,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
HT003823F0019,,MHS GENESIS-DIGITAL FIRST,0,0,,,,UE9QJD4KK1L6,541512,DD01,,,,,13,0,2026-01-27
70B04C23F00000973,,TRAVELERS PROCESSING VETTING SOFTWARE (TPVS),0,0,,,,JSTDGZNFP4A3,541519,DA01,,,,,50,0,2026-01-27
47QFCA23F0039,,HOMELAND ENTERPRISE INFORMATION TECHNOLOGY SECURE SERVICES AND SUPPORT (HEITS) TASK ORDER (47QFCA23F0039) AWARD FROM TASK ORDER REQUEST (47QFCA23R0021) IN SUPPORT OF THE DHS.,0,0,,,,MDSWM6MB1BH7,541512,DA01,,,,,509,0,2026-01-27
HT003823F0011,,ENTERPRISE ACTIVITIES FOR MHS GENESIS-STAGE 9,0,0,,,,UE9QJD4KK1L6,541512,DD01,,,,,41,0,2026-01-27
75FCMC23F0076,,END - USER CENTRIC IT SUPPORT 2.0 (ECIS 2.0),0,0,,,,MDSWM6MB1BH7,541512,DE01,,,,,137,0,2026-01-27
75N91023F00008,,THE OBJECTIVE OF THIS TASK ORDER SUPPORTS NIAIDS GOAL TO CONDUCT A SERIES OF STANDARDIZED PHASE 1 AND PHASE 2 TRIALS ON NEXT-GENERATION VACCINES TO GENERATE DATA TO INFORM DECISIONS ON WHICH CANDIDATES TO SUPPORT FOR ADVANCED DEVELOPMENT.,0,0,,,,HV8BH9BPG8Y9,541715,AN12,,,,,0,0,2026-01-27
M6785423F4201,,THE PURPOSE OF THIS TASK ORDER IS TO PROCURE SMIT ENTERPRISE SUPPORT SERVICES FOR BASE YEAR 3.,0,0,,,,UE9QJD4KK1L6,541512,DA01,,,,,0,0,2026-01-27
36C10X22N0185,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 4 (PACIFIC) - MODIFICATION TO EXERCISE OPTION 4.",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X22N0183,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 2 (SOUTHEAST) - MODIFICATION TO EXERCISED OPTION 4.",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X22N0184,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 3 (MIDWEST) - MODIFICATION TO EXERCISE OPTION 4.",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X22N0189,,MEDICAL DISABILITY EXAMINATIONS (MDE) - PRE-DISCHARGE MOD P00003 EXERCISED OPTION 1.,0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
36C10X22N0182,,"MEDICAL DISABILITY EXAMINATIONS (MDES) UNDER SECTION 504 OF THE VETERANS BENEFITS IMPROVEMENTS ACT OF 1996 (PUBLIC LAW 104 275 38 U.S.C. 5101), REGION 1 (NORTHEAST) - MODIFICATION TO EXERCISE OPTION PERIOD 4",0,0,,,,GN8YP96TMPK6,621111,Q403,,,,,0,0,2026-01-27
75FCMC22F0131,,"THE PURPOSE OF THIS ACTION IS TO PROVIDE FY22 FUNDING FROM PROJECT 000010 HOSTING OPERATIONS AND END-USER SUPPORT (0511: PROGRAM OPERATIONS_DIRECT:DISC), TO PROVIDE END TO END APPLICATION HOSTING SERVICES FOR OVER 300 CMS BUSINESS APPLICATIONS.  THE",0,0,,,,JSTDGZNFP4A3,541519,DF01,,,,,0,0,2026-01-27
