program,program_rank,Job Source,Job Number,Job Title,Job Location,Security Clearance,Employment Type,Date Posted,Matched Program,Program Acronym,Program Agency,Prime Contractor,Program Location,Contract Number,Match Score,Match Confidence,Match Reasons,Job URL
DIA Information Systems Engineering Office,1,Apex Systems,3018245,Software Developer,"North Charleston, SC",,Contract,1/14/2026,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://www.apexsystems.com/job/3018245_usa/software-developer
DIA Information Systems Engineering Office,1,Apex Systems,3010415,(VMS) Engineering Writer and Instructor,"Elkridge, MD",Secret Clearance Required,Contract,1/7/2026,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,9,Medium,"Keywords: engineering, information, systems; State: MD",https://www.apexsystems.com/job/3010415_usa/vms-engineering-writer-and-instructor
DIA Information Systems Engineering Office,1,Insight Global,479177,SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED,"Niskayuna, New York",,Contract-to-perm,6-Jan-26,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/new-york/niskayuna/sr-power-electric-engineer-clearance-required/job-479177/
DIA Information Systems Engineering Office,1,Insight Global,438003,INFORMATION SYSTEMS SECURITY OFFICER (ISSO),"Sterling Heights, Michigan",Secret,Contract-to-perm,27-Aug-25,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/michigan/sterling-heights/information-systems-security-officer-isso-/job-438003/
DIA Information Systems Engineering Office,1,Insight Global,476947,TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER,"Wilmington, Massachusetts",TS/SCI,Contract-to-perm,18-Dec-25,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/massachusetts/wilmington/ts-sci-senior-optical-systems-engineer/job-476947/
DIA Information Systems Engineering Office,1,Insight Global,483878,TS/SCI SOFTWARE ENGINEER (AFSIM),"Beavercreek, Ohio",TS/SCI,Contract-to-perm,16-Jan-26,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/ohio/beavercreek/ts-sci-software-engineer-afsim-/job-483878/
DIA Information Systems Engineering Office,1,Insight Global,477411,SECRET RF SYSTEM ENGINEER,"Salt Lake City, Utah",Secret,Contract,18-Dec-25,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/utah/salt-lake-city/secret-rf-system-engineer/job-477411/
DIA Information Systems Engineering Office,1,Insight Global,456635,SOFTWARE ENGINEER (C++),"Dayton, Ohio",,Contract-to-perm,16-Oct-25,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/ohio/dayton/software-engineer-c-/job-456635/
DIA Information Systems Engineering Office,1,Insight Global,480826,NONDESTRUCTIVE EVALUATION ENGINEER (NDE),"Berkeley, Missouri",,Contract-to-perm,9-Jan-26,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,4,Low,"Keywords: engineering, information",https://insightglobal.com/jobs/find_a_job/missouri/berkeley/nondestructive-evaluation-engineer-nde-/job-480826/
DIA Information Systems Engineering Office,1,Insight Global,477052,MARINE ELECTRICIAN,"Kings Bay, Georgia",,Contract,18-Dec-25,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,4,Low,"Keywords: information, systems",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/marine-electrician/job-477052/
DIA Information Systems Engineering Office,1,Insight Global,479486,2ND SHIFT CNC MACHINIST LEVEL 5,"Huntsville, Alabama",Secret,Perm,7-Jan-26,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,4,Low,"Keywords: engineering, information",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/2nd-shift-cnc-machinist-level-5/job-479486/
DIA Information Systems Engineering Office,1,Insight Global,476961,UT INSPECTOR,"Kings Bay, Georgia",,Contract,18-Dec-25,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/ut-inspector/job-476961/
DIA Information Systems Engineering Office,1,Insight Global,469723,TS/SCI SYSTEMS ADMINISTRATOR,"Dayton, Ohio",TS/SCI,Contract-to-perm,20-Nov-25,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: office, information, systems",https://insightglobal.com/jobs/find_a_job/ohio/dayton/ts-sci-systems-administrator/job-469723/
DIA Information Systems Engineering Office,1,Insight Global,482552,RUST DEVELOPER,"Camden, New Jersey",Secret,"Contract,Perm Possible",14-Jan-26,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/new-jersey/camden/rust-developer/job-482552/
DIA Information Systems Engineering Office,1,Insight Global,471207,TS/SCI + POLY CLEARED LINUX ADMIN/TEST ENGINEER,"Hanover, Maryland",TS/SCI Poly,Contract-to-perm,25-Nov-25,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,7,Medium,"Keywords: information, systems; State: MD",https://insightglobal.com/jobs/find_a_job/maryland/hanover/ts-sci-poly-cleared-linux-admin-test-engineer/job-471207/
DIA Information Systems Engineering Office,1,Insight Global,479588,DATA ENGINEER,"Scott Air Force Base, Illinois",Top Secret,Contract-to-perm,7-Jan-26,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/illinois/scott-air-force-base/data-engineer/job-479588/
DIA Information Systems Engineering Office,1,Insight Global,482779,PRE-DEPLOYMENT MANAGER,"Frederick, Maryland",,Contract,14-Jan-26,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,16,High,"Keywords: engineering, office, information; State: MD; City: FREDERICK",https://insightglobal.com/jobs/find_a_job/maryland/frederick/pre-deployment-manager/job-482779/
DIA Information Systems Engineering Office,1,Insight Global,436063,PROJECT MANAGER,"Madison, Alabama",,Perm,21-Aug-25,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/alabama/madison/project-manager/job-436063/
DIA Information Systems Engineering Office,1,Insight Global,476770,CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I,"Wailuku, Hawaii",Top Secret,Perm,17-Dec-25,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,4,Low,"Keywords: information, systems",https://insightglobal.com/jobs/find_a_job/hawaii/wailuku/construction-surveillance-technician-cst-i/job-476770/
DIA Information Systems Engineering Office,1,Insight Global,483144,QUALITY ENGINEER,"Cleveland, Ohio",,Contract-to-perm,15-Jan-26,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/ohio/cleveland/quality-engineer/job-483144/
DIA Information Systems Engineering Office,1,Insight Global,453521,SECRET SATELLITE SYSTEMS ENGINEER,"Grand Forks, North Dakota",Secret,Contract-to-perm,9-Oct-25,DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/north-dakota/grand-forks/top-secret-satellite-systems-engineer/job-453521/
Global Service Management – Operations II,2,Insight Global,463944,DEVSECOPS ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,Contract-to-perm,5-Nov-25,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, management",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/devsecops-engineer-secret-clearance/job-463944/
Global Service Management – Operations II,2,Insight Global,371817,HOSPITAL SECURITY OFFICER,"Tarpon Springs, Florida",,Contract-to-perm,30-Jul-24,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/florida/tarpon-springs/hospital-security-officer/job-371817/
Global Service Management – Operations II,2,Insight Global,480397,KUBERNETES ADMINISTRATOR,"Dayton, Ohio",TS/SCI,Contract-to-perm,8-Jan-26,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, management",https://insightglobal.com/jobs/find_a_job/ohio/dayton/kubernetes-administrator/job-480397/
Global Service Management – Operations II,2,Insight Global,483118,SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA,"Wilmington, Delaware",,Contract-to-perm,15-Jan-26,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/delaware/wilmington/senior-analyst-it-capital-financial-management-intl-india/job-483118/
Global Service Management – Operations II,2,Insight Global,477076,STRUCTURAL WELDER,"Kings Bay, Georgia",,Contract,18-Dec-25,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/structural-welder/job-477076/
Global Service Management – Operations II,2,Insight Global,482968,PROGRAM INTEGRATOR,"Huntsville, Alabama",Secret,Contract-to-perm,15-Jan-26,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, management",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/program-integrator/job-482968/
Global Service Management – Operations II,2,Insight Global,478637,SECRET ISSO,"Albuquerque, New Mexico",Secret,Perm,5-Jan-26,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/new-mexico/albuquerque/secret-isso/job-478637/
Global Service Management – Operations II,2,Insight Global,477119,BLASTER / PAINTER,"Kings Bay, Georgia",,Contract,18-Dec-25,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/blaster-painter/job-477119/
Global Service Management – Operations II,2,Insight Global,481743,SECRET KNOWLEDGE MANAGEMENT SPECIALIST,"Suffolk, Virginia",Secret,Contract-to-perm,12-Jan-26,Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-knowledge-management-specialist/job-481743/
