award_amount,award_id,awarding_agency,bd_reasons,bd_score,competitor_present,competitors,description,end_date,fiscal_year,is_base_year,job_activity,lifecycle_phase,naics_code,piid,pop_city,pop_state,psc_code,recipient_name,recipient_uei,runway_years,source,start_date,sub_agency
7745579797.03,W31P4Q24C0022,Department of Defense,DoD; Option Yr 1; 3.9yr Runway; $500M+; 8 Jobs,88,False,,"EXECUTE PHASED ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) MISSILE PRODUCTION BY PROVIDING INCIDENTAL SERVICES, HARDWARE, FACILITIES, EQUIPMENT, AND TECHNICAL, PLANNING, MANAGEMENT, AND MANUFACTURING EFFORTS.",2029-12-31,2024,False,8,Option Year 1,,,,TX,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,3.9,USAspending,2024-06-28,Department of the Army
5346348092.01,FA868224CB001,Department of Defense,DoD; Option Yr 1; 3.5yr Runway; $500M+; 1 Jobs,81,False,,LONG RANGE ANTI-SHIP MISSILE/JOINT AIR-TO-SURFACE STANDOFF MISSILE LARGE LOT PROCUREMENT,2029-07-31,2024,False,1,Option Year 1,,,,FL,,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,3.5,USAspending,2024-09-27,Department of the Air Force
4697952588.0,N0001924C0039,Department of Defense,DoD; Option Yr 1; 7.7yr Runway; $500M+; 1 Jobs,81,False,,CY24 AVSC SUPPLY SUPPORT,2033-09-30,2024,False,1,Option Year 1,,,,VA,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,7.7,USAspending,2024-06-28,Department of the Navy
11067479370.85,N0002416C2116,Department of Defense,DoD; 10.4yr Runway; $500M+; 21 Jobs,75,False,,CVN 80 ENGINEERING EFFORTS AND STEEL,2036-06-02,2024,False,21,Late Stage,,,,VA,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,10.4,USAspending,2016-05-23,Department of the Navy
11067479370.85,N0002416C2116,Department of Defense,DoD; 10.4yr Runway; $500M+; 21 Jobs,75,False,,CVN 80 ENGINEERING EFFORTS AND STEEL,2036-06-02,2023,False,21,Late Stage,,,,VA,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,10.4,USAspending,2016-05-23,Department of the Navy
11067479370.85,N0002416C2116,Department of Defense,DoD; 10.4yr Runway; $500M+; 21 Jobs,75,False,,CVN 80 ENGINEERING EFFORTS AND STEEL,2036-06-02,2022,False,21,Late Stage,,,,VA,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,10.4,USAspending,2016-05-23,Department of the Navy
10475203569.62,W31P4Q20C0023,Department of Defense,DoD; 7.7yr Runway; $500M+; 8 Jobs,68,False,,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),2033-09-30,2024,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,7.7,USAspending,2020-04-30,Department of the Army
8447894780.67,N0001918C1037,Department of Defense,DoD; 4.0yr Runway; $500M+; 8 Jobs,68,False,,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),2030-02-01,2024,False,8,Late Stage,,,,FL,,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,4.0,USAspending,2018-02-15,Department of the Navy
7498943172.37,N0001920C0011,Department of Defense,DoD; 4.7yr Runway; $500M+; 8 Jobs,68,False,,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,2030-10-15,2024,False,8,Late Stage,,,,CT,,RTX CORPORATION,QN1BCFY7JDJ5,4.7,USAspending,2020-03-23,Department of the Navy
10475203569.62,W31P4Q20C0023,Department of Defense,DoD; 7.7yr Runway; $500M+; 8 Jobs,68,False,,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),2033-09-30,2023,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,7.7,USAspending,2020-04-30,Department of the Army
8447894780.67,N0001918C1037,Department of Defense,DoD; 4.0yr Runway; $500M+; 8 Jobs,68,False,,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),2030-02-01,2023,False,8,Late Stage,,,,FL,,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,4.0,USAspending,2018-02-15,Department of the Navy
7498943172.37,N0001920C0011,Department of Defense,DoD; 4.7yr Runway; $500M+; 8 Jobs,68,False,,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,2030-10-15,2023,False,8,Late Stage,,,,CT,,RTX CORPORATION,QN1BCFY7JDJ5,4.7,USAspending,2020-03-23,Department of the Navy
10475203569.62,W31P4Q20C0023,Department of Defense,DoD; 7.7yr Runway; $500M+; 8 Jobs,68,False,,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),2033-09-30,2022,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,7.7,USAspending,2020-04-30,Department of the Army
8447894780.67,N0001918C1037,Department of Defense,DoD; 4.0yr Runway; $500M+; 8 Jobs,68,False,,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),2030-02-01,2022,False,8,Late Stage,,,,FL,,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,4.0,USAspending,2018-02-15,Department of the Navy
7498943172.37,N0001920C0011,Department of Defense,DoD; 4.7yr Runway; $500M+; 8 Jobs,68,False,,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,2030-10-15,2022,False,8,Late Stage,,,,CT,,RTX CORPORATION,QN1BCFY7JDJ5,4.7,USAspending,2020-03-23,Department of the Navy
24499534829.0,N0001923C0003,Department of Defense,DoD; 4.7yr Runway; $500M+; 5 Jobs,65,False,,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS",2030-09-30,2024,False,5,Option Year 3,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,4.7,USAspending,2022-12-23,Department of the Navy
24499534829.0,N0001923C0003,Department of Defense,DoD; 4.7yr Runway; $500M+; 5 Jobs,65,False,,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS",2030-09-30,2023,False,5,Option Year 3,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,4.7,USAspending,2022-12-23,Department of the Navy
4512659363.96,W52P1J09C0012,Department of Defense,DoD; 2.2yr Runway; $500M+; 8 Jobs,63,False,,RESTRUCTURED CONTRACT TO FACILITATE A CONTRACTUAL VEHICLE FOR THE LIFE OF THE DAAA09-02-D-0025 CONTRACT FROM SYSTEMIZATION THROUGH CLOSURE.  THIS IS SEEN AS AN ADMINISTRATIVE CHANGE TO DAAA09-02-D-0025,2028-04-03,2024,False,8,Late Stage,,,,CO,,"BECHTEL NATIONAL, INC.",WA9LNGN2DPF4,2.2,USAspending,2009-03-18,Department of the Army
4512659363.96,W52P1J09C0012,Department of Defense,DoD; 2.2yr Runway; $500M+; 8 Jobs,63,False,,RESTRUCTURED CONTRACT TO FACILITATE A CONTRACTUAL VEHICLE FOR THE LIFE OF THE DAAA09-02-D-0025 CONTRACT FROM SYSTEMIZATION THROUGH CLOSURE.  THIS IS SEEN AS AN ADMINISTRATIVE CHANGE TO DAAA09-02-D-0025,2028-04-03,2023,False,8,Late Stage,,,,CO,,"BECHTEL NATIONAL, INC.",WA9LNGN2DPF4,2.2,USAspending,2009-03-18,Department of the Army
4512659363.96,W52P1J09C0012,Department of Defense,DoD; 2.2yr Runway; $500M+; 8 Jobs,63,False,,RESTRUCTURED CONTRACT TO FACILITATE A CONTRACTUAL VEHICLE FOR THE LIFE OF THE DAAA09-02-D-0025 CONTRACT FROM SYSTEMIZATION THROUGH CLOSURE.  THIS IS SEEN AS AN ADMINISTRATIVE CHANGE TO DAAA09-02-D-0025,2028-04-03,2022,False,8,Late Stage,,,,CO,,"BECHTEL NATIONAL, INC.",WA9LNGN2DPF4,2.2,USAspending,2009-03-18,Department of the Army
10801259923.19,FA821920C0006,Department of Defense,DoD; 3.1yr Runway; $500M+; 1 Jobs,61,False,,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),2029-03-10,2024,False,1,Late Stage,,,,UT,,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,3.1,USAspending,2020-09-08,Department of the Air Force
7027481120.54,FA881018C0005,Department of Defense,DoD; 3.5yr Runway; $500M+; 1 Jobs,61,False,,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,2029-07-31,2024,False,1,Late Stage,,,,CA,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,3.5,USAspending,2018-08-14,Department of the Air Force
10801259923.19,FA821920C0006,Department of Defense,DoD; 3.1yr Runway; $500M+; 1 Jobs,61,False,,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),2029-03-10,2023,False,1,Late Stage,,,,UT,,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,3.1,USAspending,2020-09-08,Department of the Air Force
7027481120.54,FA881018C0005,Department of Defense,DoD; 3.5yr Runway; $500M+; 1 Jobs,61,False,,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,2029-07-31,2023,False,1,Late Stage,,,,CA,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,3.5,USAspending,2018-08-14,Department of the Air Force
10801259923.19,FA821920C0006,Department of Defense,DoD; 3.1yr Runway; $500M+; 1 Jobs,61,False,,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),2029-03-10,2022,False,1,Late Stage,,,,UT,,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,3.1,USAspending,2020-09-08,Department of the Air Force
7027481120.54,FA881018C0005,Department of Defense,DoD; 3.5yr Runway; $500M+; 1 Jobs,61,False,,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,2029-07-31,2022,False,1,Late Stage,,,,CA,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,3.5,USAspending,2018-08-14,Department of the Air Force
35135514910.2,N0001917C0001,Department of Defense,DoD; 5.2yr Runway; $500M+,60,False,,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,2031-03-31,2024,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,5.2,USAspending,2017-11-17,Department of the Navy
34650315216.0,N0002417C2100,Department of Defense,DoD; 10.4yr Runway; $500M+,60,False,,SSN 802 AND 803 LONG LEAD TIME MATERIAL,2036-06-02,2024,False,0,Late Stage,,,,CT,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,10.4,USAspending,2017-02-14,Department of the Navy
24313811834.0,N0002417C2117,Department of Defense,DoD; 5.9yr Runway; $500M+,60,False,,COLUMBIA CLASS DESIGN COMPLETION,2031-12-31,2024,False,0,Late Stage,,,,CT,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,5.9,USAspending,2017-09-21,Department of the Navy
12269145508.23,N0001916C0033,Department of Defense,DoD; 5.2yr Runway; $500M+,60,False,,LRIP 11 AAC,2031-03-31,2024,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,5.2,USAspending,2015-12-21,Department of the Navy
10550927664.07,N0001915C0003,Department of Defense,DoD; 6.9yr Runway; $500M+,60,False,,LRIP 10 AAC,2032-12-31,2024,False,0,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,6.9,USAspending,2015-05-26,Defense Contract Management Agency
6959418742.2,N0002423C2307,Department of Defense,DoD; 8.1yr Runway; $500M+,60,False,,CONSTRUCTION OF DDG 51 SHIPS FY23-27,2034-02-28,2024,False,0,Option Year 2,,,,MS,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,8.1,USAspending,2023-08-01,Department of the Navy
6703793714.37,N0002418C2307,Department of Defense,DoD; 6.5yr Runway; $500M+,60,False,,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,2032-07-09,2024,False,0,Late Stage,,,,MS,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,6.5,USAspending,2018-09-27,Department of the Navy
