rank,program,total_jobs,recent_jobs,recent_pct,agency,primes,sources,contracts,locations,clearances
1,DIA Information Systems Engineering Office,21,10,47.6,DIA,Leidos,Insight Global; Apex Systems,HHSN261200800001E,"Hanover, Maryland; Grand Forks, North Dakota; Wilmington, Massachusetts; Salt Lake City, Utah; Frederick, Maryland",Secret Clearance Required; Top Secret; Secret; TS/SCI; TS/SCI Poly
2,Global Service Management – Operations II,18,10,55.6,DISA,Leidos,Insight Global,89243318CFE000003,"Woburn, Massachusetts; Chambersburg, Pennsylvania; Hampton, Virginia; Tarpon Springs, Florida; Huntsville, Alabama",Top Secret; Secret; TS/SCI
3,GBS (Global Broadcast Service),13,8,61.5,DISA,L3Harris (historical),Insight Global,N0003022C2001,"Beale AFB, California; Solana Beach, California; El Segundo, California; San Diego, California; Vista, California",Secret; TS/SCI
4,Battlefield Information Collection & Exploitation System,10,3,30.0,DoD,GDIT,Insight Global,19AQMM18C0185,"Norfolk, Virginia; Hampton, Virginia; Huntsville, Alabama; Deerfield Beach, Florida; Springfield, Virginia",Top Secret; Secret; TS/SCI
5,Project Convergence (JADC2 Experiments),10,3,30.0,Army,SAIC,Insight Global; Apex Systems,W15QKN19F1290,"Huntsville, Alabama; Monroeville, Pennsylvania; Montgomery, Alabama; Charlottesville, VA",Top Secret; TS/SCI; Secret; TS/SCI Clearance level
6,"EDIS – Engineering, Development, Integration & Sustainment",9,4,44.4,Space Force,SAIC,Insight Global,FA251822F0034,"Seattle, Washington; El Segundo, California; Colorado Springs, Colorado; New London, Connecticut; Plymouth, Minnesota",Top Secret; Secret; TS/SCI
7,Advanced Battle Management System,8,4,50.0,Air Force,Multi (SAIC supports parts),Insight Global; Apex Systems,FA251822F0034,"Colorado Springs, Colorado; Washington, District Of Columbia; East Hartford, Connecticut; Savannah, GA; Pearl City, Hawaii",Top Secret; Secret; TS/SCI
8,Integrated Base Defense Security System,8,5,62.5,Army,Leidos,Apex Systems,70T04019C9DAP3006,"Fort Belvoir, VA; Jacksonville, NC; Reston, VA; Norfolk, VA; Washington, VA",TS/SCI with active POLY
9,Air Force Advanced Battle Management System,7,2,28.6,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton",Insight Global; Apex Systems,36C10B21N10150056,"Oakton, Virginia; Braddock, Virginia; Alexandria, Virginia; Quantico, VA; Dahlgren, Virginia",Top Secret; Secret; TS/SCI
10,Army Enterprise Service Management Framework,7,6,85.7,Army,SAIC,Insight Global,W15QKN19F1290,"Middletown, Connecticut; Goose Creek, South Carolina; Vienna, Virginia; Atlanta, Georgia; Colorado Springs, Colorado",Top Secret; TS/SCI Poly; Secret
