bd_score,bd_reasons,piid,recipient_name,lifecycle_phase,is_base_year,runway_years,competitor_present,competitors,job_activity,award_amount,description,naics_code,awarding_agency,sub_agency,pop_city,pop_state,start_date,end_date,source
88,DoD; Option Yr 1; 3.9yr Runway; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Option Year 1,False,3.9,False,,8,7745579797.03,"EXECUTE PHASED ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) MISSILE PRODUCTION BY PROVIDING INCIDENTAL SERVICES, HARDWARE, FACILITIES, EQUIPMENT, AND TECHNICAL, PLANNING, MANAGEMENT, AND MANUFACTURING EFFORTS.",,Department of Defense,Department of the Army,,TX,2024-06-28,2029-12-31,USAspending
81,DoD; Option Yr 1; 3.5yr Runway; $500M+; 1 Jobs,,LOCKHEED MARTIN CORPORATION,Option Year 1,False,3.5,False,,1,5346348092.01,LONG RANGE ANTI-SHIP MISSILE/JOINT AIR-TO-SURFACE STANDOFF MISSILE LARGE LOT PROCUREMENT,,Department of Defense,Department of the Air Force,,FL,2024-09-27,2029-07-31,USAspending
81,DoD; Option Yr 1; 7.7yr Runway; $500M+; 1 Jobs,,LOCKHEED MARTIN CORPORATION,Option Year 1,False,7.7,False,,1,4697952588.0,CY24 AVSC SUPPLY SUPPORT,,Department of Defense,Department of the Navy,,VA,2024-06-28,2033-09-30,USAspending
75,DoD; 10.4yr Runway; $500M+; 21 Jobs,,HUNTINGTON INGALLS INC,Late Stage,False,10.4,False,,21,11067479370.85,CVN 80 ENGINEERING EFFORTS AND STEEL,,Department of Defense,Department of the Navy,,VA,2016-05-23,2036-06-02,USAspending
75,DoD; 10.4yr Runway; $500M+; 21 Jobs,,HUNTINGTON INGALLS INC,Late Stage,False,10.4,False,,21,11067479370.85,CVN 80 ENGINEERING EFFORTS AND STEEL,,Department of Defense,Department of the Navy,,VA,2016-05-23,2036-06-02,USAspending
75,DoD; 10.4yr Runway; $500M+; 21 Jobs,,HUNTINGTON INGALLS INC,Late Stage,False,10.4,False,,21,11067479370.85,CVN 80 ENGINEERING EFFORTS AND STEEL,,Department of Defense,Department of the Navy,,VA,2016-05-23,2036-06-02,USAspending
68,DoD; 7.7yr Runway; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,7.7,False,,8,10475203569.62,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),,Department of Defense,Department of the Army,,TX,2020-04-30,2033-09-30,USAspending
68,DoD; 4.0yr Runway; $500M+; 8 Jobs,,NORTHROP GRUMMAN SYSTEMS CORPORATION,Late Stage,False,4.0,False,,8,8447894780.67,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),,Department of Defense,Department of the Navy,,FL,2018-02-15,2030-02-01,USAspending
68,DoD; 4.7yr Runway; $500M+; 8 Jobs,,RTX CORPORATION,Late Stage,False,4.7,False,,8,7498943172.37,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,,Department of Defense,Department of the Navy,,CT,2020-03-23,2030-10-15,USAspending
68,DoD; 7.7yr Runway; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,7.7,False,,8,10475203569.62,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),,Department of Defense,Department of the Army,,TX,2020-04-30,2033-09-30,USAspending
