award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
6104259193,CONT_AWD_W56HZV15C0095_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $5B+; 100 subs; Very active prime; Staffing indicators,125,W56HZV15C0095,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATE",9/25/2025,1/21/2026,TRUE,,,,HIGH,,OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,GIANT ($5B-10B),8/25/2015,1,100,0,20
1824077667,CONT_AWD_N0001920C0032_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; IT Services; $1B+; 100 subs; Very active prime; Staffing indicators,120,N0001920C0032,"SUPPORT EQUIPMENT, AUTONOMIC LOGISTICS INFORMATION SYSTEM HARDWARE, TRAINING SYSTEMS, SITE ACTIVATIONS, INTEGRATED CONTRACTOR SUPPORT, AND THE RELIABILITY AND MAINTAINABILITY IMPROVEMENT PROGRAM FOR THE F-35 LIGHTNING II.",12/30/2029,1/21/2026,TRUE,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,BILLION ($1B-5B),7/17/2020,1,100,0,87
1331626815,CONT_AWD_N0002420C4312_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; IT Services; $1B+; 100 subs; Very active prime; Staffing indicators,120,N0002420C4312,PLANNING&MATERIAL (O&MN),11/1/2027,1/21/2026,TRUE,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,BILLION ($1B-5B),8/14/2020,1,100,0,28
1122756811,CONT_AWD_W56HZV07C0046_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $1B+; 60 subs; Very active prime; Staffing indicators,120,W56HZV07C0046,SYSTEM TEWCHNICAL SUPPORT (STS)/SYSTEM SUSTAINMENT TECHNICAL SUPPORT FOR THE ABRAMS TANK PROGRAM,6/30/2013,1/21/2026,TRUE,,,,HIGH,,GENERAL DYNAMICS LAND SYSTEMS INC.,HAWKSQF848W7,BILLION ($1B-5B),12/20/2006,1,60,0,35
1052810807,CONT_AWD_W56HZV22C0012_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $1B+; 60 subs; Very active prime; Staffing indicators,120,W56HZV22C0012,"PURPOSE OF THIS AWARD IS A NEW OPTION CONTRACT TO GENERAL DYNAMICS LAND SYSTEMS (GDLS) FOR 5,940,169 HOURS OF SYSTEM TECHNICAL SUPPORT (STS)/SUSTAINMENT SYSTEM TECHNICAL SUPPORT (SSTS).",8/26/2027,1/21/2026,TRUE,,,,HIGH,,GENERAL DYNAMICS LAND SYSTEMS INC.,HAWKSQF848W7,BILLION ($1B-5B),2/28/2022,1,60,0,35
759925145.3,CONT_AWD_0033_9700_W31P4Q05A0031_9700,Department of Defense,Department of the Army,DoD; IT Services; $500M+; 100 subs; Very active prime; Staffing indicators,115,33,IGF::OT::IGF BASE AWARD PROFESSIONAL SERVICES.,7/26/2019,1/21/2026,TRUE,,,,HIGH,,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,LARGE ($500M-1B),9/14/2012,1,100,0,14
733045506.4,CONT_AWD_HQ027611C0002_9700_-NONE-_-NONE-,Department of Defense,Missile Defense Agency,DoD; IT Services; $500M+; 100 subs; Very active prime; Staffing indicators,115,HQ027611C0002,IN-SERVICE ENGINEERING SUPPORT,12/31/2021,1/21/2026,TRUE,,,,HIGH,,RAYTHEON COMPANY,VTEWM5QSE598,LARGE ($500M-1B),2/28/2011,1,100,0,86
589286737.7,CONT_AWD_W91RUS21C0001_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $500M+; 65 subs; Very active prime; Staffing indicators,115,W91RUS21C0001,"OPERATIONS, MAINTENANCE, AND DEFENSE OF ARMY COMMUNICATIONS (OMDAC) IN SOUTHWEST ASIA AND CENTRAL ASIA IN SUPPORT OF THE UNITED STATES NETWORK ENTERPRISE COMMAND (NETCOM).",4/30/2026,1/21/2026,TRUE,,,,HIGH,,VECTRUS SYSTEMS LLC,RRFJZGASZJ41,LARGE ($500M-1B),12/27/2020,1,65,0,16
557282087.3,CONT_AWD_FA564115C0001_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; IT Services; $500M+; 65 subs; Very active prime; Staffing indicators,115,FA564115C0001,IGF::OT::IGF BASIC PERIOD-O&M TURKEY/SPAIN LOCATIONS,4/30/2021,1/21/2026,TRUE,,,,HIGH,,VECTRUS SYSTEMS LLC,RRFJZGASZJ41,LARGE ($500M-1B),10/1/2014,1,65,0,16
508476696.7,CONT_AWD_W31P4Q21F0033_9700_GS00Q14OADU516_4732,Department of Defense,Department of the Army,DoD; IT Services; $500M+; 100 subs; Very active prime; Staffing indicators,115,W31P4Q21F0033,"SINGLE AWARD TO AGAINST GSA OASIS UR (POOL 5A) FOR  HWIL AVIATION SYSTEMS ENGINEERING SERVICES TO PROVIDE FULL LIFE CYCLE SUPPORT FOR HIGH FIDELITY AVIATION SYSTEM SIMULATORS, HWIL CAPABILITIES, AND ASSOCIATED TEST TOOLS IN SUPPORT OF S3I.",7/5/2026,1/21/2026,TRUE,,,,HIGH,,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,LARGE ($500M-1B),1/6/2021,1,100,0,14
