award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
6104259192.82,CONT_AWD_W56HZV15C0095_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $5B+; 100 subs; Very active prime; Staffing indicators,125,W56HZV15C0095,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATE",2025-09-25,2026-01-21,True,,,,HIGH,,OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,GIANT ($5B-10B),2015-08-25,1,100,0.0,20
6466627868.26,CONT_AWD_HQ014712C0004_9700_-NONE-_-NONE-,Department of Defense,Missile Defense Agency,DoD; IT Services; $5B+; 100 subs; Staffing indicators,110,HQ014712C0004,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; 3) TEST; 4) SYSTEMS ENGINEERING, INTEGRATION AND CONFIGURATION MANAGEMENT; 5) EQUIPMENT MANUFACTURIN",2025-12-31,2026-01-21,True,,,,HIGH,,THE BOEING COMPANY,SML4NN2CT556,GIANT ($5B-10B),2011-12-30,1,100,0.0,4
9971085290.49,CONT_AWD_W58RGZ08C0003_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $5B+; 100 subs; Very active prime,100,W58RGZ08C0003,PROCUREMENT OF 54 EACH ARMY UH-60M BLACK HAWK HELICOPTERS; 18 EACH NAVY MH-60S SEA HAWK HELICOPTERS; 25 EACH NAVY NH-60R SEA HAWK HELICOPTERS; 9 EACH UH-60M BLACK HAWK HELICOPTER FOR BAHRAIN DEFENSE FORCE; TOOLING; PROGRAM SYSTEMS MANAGEMENT; TECHNICAL PUBLICATIONS.,2016-09-30,2026-01-21,False,,,,HIGH,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,GIANT ($5B-10B),2007-12-12,1,100,0.0,13
9499338750.87,CONT_AWD_FA881113C0003_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $5B+; 75 subs; Very active prime,100,FA881113C0003,IGF::CT::IGF EELV FY13 + PHASE I BUY,2022-12-02,2026-01-21,False,,,,HIGH,,"UNITED LAUNCH SERVICES, LLC",XHAMULHCL9N3,GIANT ($5B-10B),2013-06-26,1,75,0.0,11
9397332305.22,CONT_AWD_N0002403C2101_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $5B+; 100 subs; Very active prime,100,N0002403C2101,,2025-05-06,2026-01-21,False,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,GIANT ($5B-10B),2003-08-14,1,100,0.0,28
8997913572.42,CONT_AWD_N0001999C1226_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $5B+; 100 subs; Very active prime,100,N0001999C1226,199908!1700!0757!AA4E0!NAVAL AIR SYSTEMS COMMAND       !N0001999C1226  !A!*!*                  !19990212!20000930!161213269!006265946!009256819!N!76301!MCDONNELL DOUGLAS CORPORATION !P.O. BOX 516              !SAINT LOUIS         !MO!63166!65000!510!29!ST. LOUIS           !ST. LOUIS (CITY)      !MIS,2017-12-06,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,JJM4FRDZJDX1,GIANT ($5B-10B),1999-02-12,1,100,0.0,45
8828579157.39,CONT_AWD_FA861108C2897_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $5B+; 100 subs; Very active prime,100,FA861108C2897,FOLLOW-ON AGILE SUSTAINMENT TO THE RAPTOR (FASTER),2023-12-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,GIANT ($5B-10B),2008-01-01,1,100,0.0,87
8688654906.89,CONT_AWD_N0001918C1021_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $5B+; 100 subs; Very active prime,100,N0001918C1021,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,2024-12-30,2026-01-21,False,,,,HIGH,,RTX CORPORATION,QN1BCFY7JDJ5,GIANT ($5B-10B),2018-03-23,1,100,0.0,41
8680225958.82,CONT_AWD_HQ014717C0032_9700_-NONE-_-NONE-,Department of Defense,Missile Defense Agency,DoD; $5B+; 100 subs; Very active prime,100,HQ014717C0032,HQ0147-17-C-0032 UNDEFINITIZED CONTRACT ACTION (UCA) FOR THAAD INTERCEPTOR LOT 9 PRODUCTION - QTY OF 23,2028-11-30,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,GIANT ($5B-10B),2017-03-27,1,100,0.0,42
7953264130.5,CONT_AWD_N0001921C0020_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $5B+; 100 subs; Very active prime,100,N0001921C0020,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,2027-12-30,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,GIANT ($5B-10B),2020-12-31,1,100,0.0,87
7911304631.39,CONT_AWD_N0001902C3003_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $5B+; 100 subs; Very active prime,100,N0001902C3003,200204!008533!1700!AF600 !NAVAL AIR SYSTEMS COMMAND !N0001902C3003 !A!N! !N! !20011026!20120430!001447952!001447952!001344142!N!UNITED TECHNOLOGIES CORP !400 MAIN STREET !EAST HARTFORD !CT!06108!22700!003!09!EAST HARTFORD !HARTFORD !CONN !+000014000000!N!N!004803460088!AC15!RDTE/AIRCRAFT-ENG/MANUF D,2019-04-12,2026-01-21,False,,,,HIGH,,RTX CORPORATION,QN1BCFY7JDJ5,GIANT ($5B-10B),2001-10-26,1,100,0.0,41
7745579797.03,CONT_AWD_W31P4Q24C0022_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $5B+; 100 subs; Very active prime,100,W31P4Q24C0022,"EXECUTE PHASED ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) MISSILE PRODUCTION BY PROVIDING INCIDENTAL SERVICES, HARDWARE, FACILITIES, EQUIPMENT, AND TECHNICAL, PLANNING, MANAGEMENT, AND MANUFACTURING EFFORTS.",2029-12-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,GIANT ($5B-10B),2024-06-28,1,100,0.0,42
