award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
35135514910.2,CONT_AWD_N0001917C0001_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $10B+; 100 subs; Very active prime,105,N0001917C0001,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,2031-03-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,MEGA ($10B+),2017-11-17,1,100,0.0,87
34651048877.0,CONT_AWD_N0002417C2100_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $10B+; 100 subs; Very active prime,105,N0002417C2100,SSN 802 AND 803 LONG LEAD TIME MATERIAL,2036-06-02,2026-01-21,False,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,MEGA ($10B+),2017-02-14,1,100,0.0,28
34173959111.96,CONT_AWD_N0001902C3002_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $10B+; 100 subs; Very active prime,105,N0001902C3002,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TE,2022-12-16,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,MEGA ($10B+),2001-10-26,1,100,0.0,87
30113035808.93,CONT_AWD_N0001920C0009_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $10B+; 100 subs; Very active prime,105,N0001920C0009,THE PURPOSE OF THIS MODIFICATION IS TO AWARD F-35A LRIP 15 USAF  AIRCRAFT* LONG LEAD FUNDING,2027-12-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,MEGA ($10B+),2019-11-26,1,100,0.0,87
29485980901.28,CONT_AWD_FA862511C6600_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $10B+; 100 subs; Very active prime,105,FA862511C6600,KC-X MODERNIZATION PROGRAM,2027-07-31,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,WZWRLY4G3PL8,MEGA ($10B+),2011-02-24,1,100,0.0,15
24499534829.0,CONT_AWD_N0001923C0003_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $10B+; 100 subs; Very active prime,105,N0001923C0003,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS",2030-09-30,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,MEGA ($10B+),2022-12-23,1,100,0.0,87
24313811834.0,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $10B+; 100 subs; Very active prime,105,N0002417C2117,COLUMBIA CLASS DESIGN COMPLETION,2031-12-31,2026-01-21,False,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,MEGA ($10B+),2017-09-21,1,100,0.0,28
19613746246.0,CONT_AWD_N0002412C2115_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $10B+; 100 subs; Very active prime,105,N0002412C2115,SSN 792 LONG LEAD TIME MATERIAL,2026-01-31,2026-01-21,False,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,MEGA ($10B+),2012-04-13,1,100,0.0,28
18129749821.79,CONT_AWD_N0001914C0067_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $10B+; 100 subs; Very active prime,105,N0001914C0067,USN P-8A FRP II LONG LEAD MATERIAL,2026-06-22,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,WZWRLY4G3PL8,MEGA ($10B+),2014-08-14,1,100,0.0,15
16238775949.0,CONT_AWD_N0002409C2104_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $10B+; 100 subs; Very active prime,105,N0002409C2104,CONSTRUCTION OF VIRGINIA CLASS BLOCK III SUBMARINES.,2023-08-31,2026-01-21,False,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,MEGA ($10B+),2008-12-22,1,100,0.0,28
12269145508.23,CONT_AWD_N0001916C0033_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $10B+; 100 subs; Very active prime,105,N0001916C0033,LRIP 11 AAC,2031-03-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,MEGA ($10B+),2015-12-21,1,100,0.0,87
11602480135.21,CONT_AWD_W58RGZ12C0008_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $10B+; 100 subs; Very active prime,105,W58RGZ12C0008,"MULTI SERVICE, 5 YR, MULTI-YR CONTRACT FOR H-60 HELICOPTERS. FY2012 FY2016 PRODUCTION CONTRACT FOR ARMY/NAVY/FMS UH/HH/MH-60 HELICOPTERS TO INCLUDE PROCUREMENT OF UP TO 916 EACH AIRCRAFT AND RELATED SUPPORT, SERVICES, SYSTEMS/PROJECT MANAGEMENT, PUBLICATIONS, AND TECHNICAL DATA. FMS COUNTRIES INCLUD",2023-07-21,2026-01-21,False,,,,HIGH,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,MEGA ($10B+),2012-06-06,1,100,0.0,13
11436586255.89,CONT_AWD_N0001904C0014_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $10B+; 100 subs; Very active prime,105,N0001904C0014,200411!000011!1700!AA4M0 !NAVAL AIR SYSTEMS COMMAND       !N0001904C0014  !A!N! !N!             !      !20031229!20110930!149879157!006265946!009256819!N!MCDONNELL DOUGLAS CORPORATION !J S  MCDONNELL BLVD       !SAINT LOUIS         !MO!63166!65000!510!29!ST. LOUIS           !ST. LOUIS (CITY)      !M,2017-01-30,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,JJM4FRDZJDX1,MEGA ($10B+),2003-12-29,1,100,0.0,45
11204226412.65,CONT_AWD_FA863412C2651_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $10B+; 100 subs; Very active prime,105,FA863412C2651,RSAF F-15 FLEET MODERNIZATION PROGRAM,2023-05-31,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,JJM4FRDZJDX1,MEGA ($10B+),2012-03-08,1,100,0.0,45
11067479370.85,CONT_AWD_N0002416C2116_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $10B+; 78 subs; Very active prime,105,N0002416C2116,CVN 80 ENGINEERING EFFORTS AND STEEL,2036-06-02,2026-01-21,False,,,,HIGH,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,MEGA ($10B+),2016-05-23,1,78,0.0,27
10550927664.07,CONT_AWD_N0001915C0003_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $10B+; 100 subs; Very active prime,105,N0001915C0003,LRIP 10 AAC,2032-12-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,MEGA ($10B+),2015-05-26,1,100,0.0,87
