award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
2986266447.12,CONT_AWD_0002_9700_W31P4Q09G0001_9700,Department of Defense,Department of the Army,DoD; $1B+; Very active prime,65,0002,PREDOMINANT - PATRIOT UAE,2019-04-30,2026-01-21,False,,,,MEDIUM,,RAYTHEON COMPANY,XSV6AZJ6SDJ7,BILLION ($1B-5B),2008-12-17,1,4,0.0,16
2395436919.18,CONT_AWD_HQ085621C0003_9700_-NONE-_-NONE-,Department of Defense,Missile Defense Agency,DoD; $1B+; 16 subs,65,HQ085621C0003,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",2028-12-31,2026-01-21,False,,,,MEDIUM,,NORTHROP GRUMMAN SYSTEMS CORPORATION,F9PAEKAAXGB6,BILLION ($1B-5B),2021-03-25,1,16,0.0,3
2067459029.03,CONT_AWD_0019_9700_W56HZV07DM112_9700,Department of Defense,Department of the Army,DoD; $1B+; Very active prime,65,0019,"THIS ACTION IS FOR A NEW FOLLOW-ON CONTRACTOR LOGISTICS SUPPORT (CLS) DELIVERY ORDER 0019.  THE CONTRACTOR WILL PROVIDE CONTRACTOR LOGISTICS SUPPORT (CLS) FOR STRYKER FAMILY OF VEHICLES (FOV) IN BOTH GARRISON AND DEPLOYMENT LOCATIONS. THE PERIOD OF PERFORMANCE IS FROM MARCH 1, 2007 THROUGH FEBRUARY ",2018-11-15,2026-01-21,False,,,,MEDIUM,,"GM GDLS DEFENSE GROUP, L.L.C.",LFK5WLJ8KT48,BILLION ($1B-5B),2006-12-21,0,0,0,14
1989436694.82,CONT_AWD_DASG6098C0001_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Very active prime,65,DASG6098C0001,,2013-12-31,2026-01-21,False,,,,MEDIUM,,RAYTHEON COMPANY,XSV6AZJ6SDJ7,BILLION ($1B-5B),2000-10-25,1,4,0.0,16
1652954776.0,CONT_AWD_W31P4Q24C0024_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Very active prime,65,W31P4Q24C0024,UNDEFINITIED CONTRACT (UCA) FOR LOWER TIER AIR AND MISSILE DEFENSE SYSTEM (LTAMDS),2030-12-19,2026-01-21,False,,,,MEDIUM,,RAYTHEON COMPANY,XSV6AZJ6SDJ7,BILLION ($1B-5B),2024-07-31,1,4,0.0,16
1607872304.74,CONT_AWD_W31P4Q23C0036_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Very active prime,65,W31P4Q23C0036,REQUIREMENT FOR PATRIOT M903 LAUNCHING STATIONS.,2030-09-30,2026-01-21,False,,,,MEDIUM,,RAYTHEON COMPANY,XSV6AZJ6SDJ7,BILLION ($1B-5B),2023-09-29,1,4,0.0,16
1494749765.07,CONT_AWD_HQ014711C0006_9700_-NONE-_-NONE-,Department of Defense,Missile Defense Agency,DoD; $1B+; 16 subs,65,HQ014711C0006,IRBM TARGETS,2026-09-30,2026-01-21,False,,,,MEDIUM,,NORTHROP GRUMMAN SYSTEMS CORPORATION,F9PAEKAAXGB6,BILLION ($1B-5B),2011-03-07,1,16,0.0,3
1346571568.94,CONT_AWD_W31P4Q09C0057_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Very active prime,65,W31P4Q09C0057,FY 09 ENGINEERING SERVICES BASIC AWARD,2015-06-30,2026-01-21,False,,,,MEDIUM,,RAYTHEON COMPANY,XSV6AZJ6SDJ7,BILLION ($1B-5B),2009-02-01,1,4,0.0,16
1316198713.67,CONT_AWD_N0001906C0292_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Very active prime,65,N0001906C0292,200602!136716!1700!N00019!NAVAL AIR SYSTEMS COMMAND       !N0001906C0292  !A!N! !N!             !      !20051228!20090930!106632750!106632750!106632750!N!BELL BOEING JOINT PROJECT OFFI!47123 BUSE RD BUILDING 227!PATUXENT RIVER      !MD!20670!27000!439!48!FORT WORTH          !TARRANT               !T,2010-12-31,2026-01-21,False,,,,MEDIUM,,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,BILLION ($1B-5B),2005-12-28,0,0,0,12
1311166632.0,CONT_AWD_0026_9700_W56HZV07DM112_9700,Department of Defense,Department of the Army,DoD; $1B+; Very active prime,65,0026,MGS MATERIAL,2015-09-30,2026-01-21,False,,,,MEDIUM,,"GM GDLS DEFENSE GROUP, L.L.C.",LFK5WLJ8KT48,BILLION ($1B-5B),2008-01-30,0,0,0,14
