award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
999233174.39,CONT_AWD_FA852710C0050_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+,45,FA852710C0050,U-2 AND DCGS CFSR SUPPORT (CR),2015-09-30,2026-01-21,False,,,,STANDARD,,RAYTHEON COMPANY,Y5ZZFR2AQC63,LARGE ($500M-1B),2009-10-01,0,0,0,3
994883988.39,CONT_AWD_W9124R09C0003_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W9124R09C0003,BASE PERIOD - USAYPG TEST SUPPORT SERVICES,2018-05-31,2026-01-21,False,,,,STANDARD,,TRAX INTERNATIONAL CORPORATION,XDC4K4U6LDK6,LARGE ($500M-1B),2008-12-02,0,0,0,2
985743454.86,CONT_AWD_W15QKN08C0451_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+,45,W15QKN08C0451,LW155 ARMY QTY,2016-09-30,2026-01-21,False,,,,STANDARD,,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LTD,DWYUNSX4LC35,LARGE ($500M-1B),2008-03-31,0,0,0,1
979192262.73,CONT_AWD_H9222217F0069_9700_GS00Q09BGD0059_4735,Department of Defense,U.S. Special Operations Command,DoD; $500M+,45,H9222217F0069,IGF::CT::IGF ENTERPRISE CORE SERVICES (ENDURING),2023-09-30,2026-01-21,False,,,,STANDARD,,"AMENTUM TECHNOLOGY, INC.",H2RGSKWXKHQ5,LARGE ($500M-1B),2017-02-24,0,0,0,4
968403209.86,CONT_AWD_FA920005C0001_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+,45,FA920005C0001,,2016-09-30,2026-01-21,False,,,,STANDARD,,"INDYNE, INC.",K21BNJGB9US6,LARGE ($500M-1B),2005-06-15,0,0,0,2
966096208.93,CONT_AWD_W56HZV12C0127_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W56HZV12C0127,"IGF::OT::IGF CONTRACTOR LOGISTICS SUSTAINMENT AND SUPPORT (CLSS) SERVICES FOR THE MAINTENANCE REPAIR AND SUPPLY SUPPORT FOR ROUTE CLEARANCE VEHICLES (RCV), MINE RESISTANT AMBUSH PROTECTED (MRAP) VEHICLES, AND THE UNITED STATES SPECIAL OPERATIONS COMMAND (USSOCOM) VEHICLES (REFERRED TO AS THE MRAP FA",2020-11-20,2026-01-21,False,,,,STANDARD,,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",JY2BDT2K58Z6,LARGE ($500M-1B),2012-05-31,0,0,0,3
965109168.94,CONT_AWD_W52P1J22C0049_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W52P1J22C0049,"FIXED PRICE W/ EPA CONTRACT. THIS CONTRACT IS FOR THE PRODUCTION OF 40MM GRENADE SYSTEMS FAMILY OF AMMUNITION: M430A1-METAL PALLET, M430A1-WOOD PALLET, M433, M583A1, M781, M918, MIXED BELT, M385A1, M992, M585, M661, M662, AND M433E1, AND M583A1.",2030-03-31,2026-01-21,False,,,,STANDARD,,AMTEC CORPORATION,Y6PYN1Q8UKY7,LARGE ($500M-1B),2022-09-23,0,0,0,4
963941240.07,CONT_AWD_W58RGZ08C0025_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W58RGZ08C0025,"CLS SUPPORT 31 OCT 2007 THROUGH 30 OCT 2008. NUMEROUS OPTIONS ARE ALSO INCLUDED, WHICH MAY BE AWARDED AT A LATER DATE.",2015-09-30,2026-01-21,False,,,,STANDARD,,"NORTHROP GRUMMAN TECHNICAL SERVICES, INC.",QCJNUT2JTAW9,LARGE ($500M-1B),2007-10-31,0,0,0,2
962898274.94,CONT_AWD_W50UW820F0022_9700_W9126G19D0027_9700,Department of Defense,Department of the Army,DoD; $500M+,45,W50UW820F0022,"CONSTRUCT 42  MILES PRIMARY BARRIER, FY20 284 TUCSON PROJECT 3",2022-01-26,2026-01-21,False,,,,STANDARD,,FISHER SAND & GRAVEL CO,DGT8NKKG9NR3,LARGE ($500M-1B),2020-05-06,0,0,0,2
960059650.9,CONT_AWD_W56HZV11C0168_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+,45,W56HZV11C0168,"CLS SERVICES: IRAQ, AFGHANISTAN, KUWAIT",2015-08-01,2026-01-21,False,,,,STANDARD,,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",JY2BDT2K58Z6,LARGE ($500M-1B),2011-01-28,0,0,0,3
956738923.27,CONT_AWD_FA861514C6020_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+,45,FA861514C6020,"IGF::OT::IGF    BASE OPERATIONS SUPPORT, BASE LIFE SUPPORT, AND SECURITY SERVICES AT BALAD AIR BASE",2020-10-31,2026-01-21,False,,,,STANDARD,,SALLYPORT GLOBAL HOLDINGS INC,CJV9TZ1GS425,LARGE ($500M-1B),2014-01-31,0,0,0,3
941992288.0,CONT_AWD_W912QR21C0027_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W912QR21C0027,"AWARD OF THE VA LOUISVILLE MEDICAL CENTER - LOUISVILLE, KY",2026-04-16,2026-01-21,False,,,,STANDARD,,WALSH - TURNER JV II,MKEHYFKZMB23,LARGE ($500M-1B),2021-09-10,0,0,0,1
936386057.0,CONT_AWD_N0003005C0100_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+,45,N0003005C0100,,2013-07-31,2026-01-21,False,,,,STANDARD,,LOCKHEED MARTIN CORPORATION,LHM1PFWNT8J4,LARGE ($500M-1B),2005-07-15,0,0,0,2
934203463.28,CONT_AWD_W58RGZ04C0061_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+,45,W58RGZ04C0061,AIRCRAFT ENGINES/ENGINE PARTS,2014-02-28,2026-01-21,False,,,,STANDARD,,HONEYWELL INTERNATIONAL INC.,KBL6XLDCXKG8,LARGE ($500M-1B),2004-01-20,0,0,0,3
