prime_name,bullhorn_mentions,bullhorn_contacts,bullhorn_programs,programs,usa_contracts,usa_total_value,usa_agencies,usa_top_contract,usa_top_value,tango_contracts,tango_total_value,tango_naics,recompete_count,narrative_generated,relationship_tier
Leidos,5841,509,18,"AEGIS, DARPA, DIA, DISA, DTRA, EAGLE, INSCOM, ITES, MDA, NASA, NGA, NRO, NSA, OASIS, STRATCOM, Sentinel, TRANSCOM, Zero Trust",96,37178682257.27,General Services Administration; Department of Justice; Department of Veterans Affairs; Department of Transportation; Department of Defense; National Science Foundation; Department of the Interior; Department of Energy; Department of Health and Human Services; Department of Commerce,HHSN261200800001E,4813063024.9,0,0,,0,Yes,Strategic Partner
General Dynamics,4546,463,29,"ABMS, Alliant, CENTCOM, DARPA, DEOS, DIA, DISA, DTRA, EAGLE, EIS, F-35, GPS OCX, INSCOM, ITES, JWCC, MDA, NASA, NGA, NRO, NSA, OASIS, SEWP, SLS, SOCOM, SOUTHCOM, SPACECOM, STRATCOM, Sentinel, Zero Trust",91,80413371668.08,General Services Administration; Department of Veterans Affairs; Department of Transportation; Department of Defense; Department of State; Department of the Interior; Department of Health and Human Services; National Aeronautics and Space Administration; Department of Homeland Security; Securities and Exchange Commission,N0002416C2229,5812593038.64,0,0,,0,Yes,Strategic Partner
Deloitte,1500,298,19,"Alliant, CENTCOM, CYBERCOM, DIA, DISA, DTRA, ECMA, ECMO, F-35, INDOPACOM, INSCOM, ITES, JWCC, NGA, NRO, NSA, OASIS, SOCOM, SeaPort",55,8280317189.67,Department of Agriculture; General Services Administration; Department of Veterans Affairs; Agency for International Development; Department of Defense; Department of the Treasury; Department of State; Department of Health and Human Services; Department of Homeland Security,HHSN31600002,468373579.16,0,0,,0,Yes,Strategic Partner
SAIC,1415,388,24,"ABMS, AEGIS, Alliant, CENTCOM, CYBERCOM, DIA, DISA, DTRA, EAGLE, GPS OCX, INSCOM, ITES, JADC2, JLTV, MDA, NASA, NGA, NRO, NSA, OASIS, SPACECOM, SeaPort, TRANSCOM, Zero Trust",94,23571892020.04,General Services Administration; Department of Veterans Affairs; Department of Defense; Department of the Treasury; Department of State; Department of Energy; Department of Health and Human Services; Department of Commerce; National Aeronautics and Space Administration; Department of Homeland Security,SAQMMA11F0233,2087211597.56,0,0,,0,Yes,Strategic Partner
Microsoft,1170,489,20,"CENTCOM, DEOS, DIA, DISA, ECMA, EIS, INSCOM, ITES, JWCC, MDA, NASA, NGA, NRO, NSA, SEWP, SOCOM, SOUTHCOM, Sentinel, V-22, Zero Trust",50,2421689392.79,Department of Agriculture; Department of Homeland Security; Department of Defense; Department of State,HC102822F0982,220001168.23,0,0,,0,Yes,Strategic Partner
Lockheed Martin,769,228,18,"AEGIS, Alliant, CH-53K, DIA, DISA, F-35, INSCOM, ITES, JWCC, MDA, NASA, NGA, NGAD, NSA, Orion, SLS, Sentinel, Zero Trust",66,275727289318.27,Department of Energy; Department of Defense; National Aeronautics and Space Administration,DEAC0494AL85000,48066473048.89,0,0,,0,Yes,Established Partner
Northrop Grumman,543,174,13,"AEGIS, B-21, DARPA, DIA, DISA, F-35, ITES, MDA, NGA, NRO, NSA, SOCOM, Sentinel",51,97907361567.55,Social Security Administration; Department of Defense; National Aeronautics and Space Administration,FA821920C0006,10801259923.19,0,0,,0,Yes,Established Partner
CACI,441,154,15,"Alliant, CENTCOM, DIA, DISA, EAGLE, INSCOM, ITES, MDA, NGA, NSA, OASIS, SOCOM, SOUTHCOM, SeaPort, TRANSCOM",97,20828391232.79,General Services Administration; Department of Justice; Department of Veterans Affairs; Department of Defense; Department of the Interior; Department of Health and Human Services; National Aeronautics and Space Administration; Department of Homeland Security; Securities and Exchange Commission,GSQ0017AJ0006,960038373.03,50,0.0,561611; 541330; 541512; 541715; 517111,0,Yes,Established Partner
Raytheon,370,115,14,"AEGIS, DIA, DISA, EAGLE, F-35, GPS OCX, ITES, JWCC, MDA, NASA, NGA, NRO, NSA, Sentinel",62,127830315552.67,Department of Defense; National Aeronautics and Space Administration,N0001918C1021,8688654906.89,0,0,,0,Yes,Established Partner
Booz Allen Hamilton,353,154,7,"DIA, DISA, F-35, GPS OCX, ITES, NGA, Zero Trust",50,22911953457.61,General Services Administration; Department of Veterans Affairs; Department of the Treasury; Department of Defense; National Science Foundation; Department of the Interior; Department of Health and Human Services; Securities and Exchange Commission,47QFCA21F0018,1379603153.12,0,0,,0,Yes,Established Partner
