source,keyword,notice_id,title,agency,recipient,amount,posted_date,response_deadline,type,url
USAspending,cybersecurity,FA862118F6251,"IGF::OT::IGF  AFSOC ACTS AWARD OF CONTRACT FOR CLS, ENGINEERING, INSTRUCTION, CYBERSECURITY, DMO",Department of Defense,LOCKHEED MARTIN CORPORATION,603196868.19,2018-02-08,2027-01-31,Award,
USAspending,cybersecurity,HQ085722F8003,"DELIVER INFORMATION MANAGEMENT AND IT SERVICES TO MDA FOR UNCLASSIFIED AND CLASSIFIED NETWORKS. UTILIZING THE CUSTOMER-FOCUSED SERVICE MODEL, ITIL METHOD. PERFORM BREAK-FIX, MAINTENANCE AND CYBERSECURITY OF CIO MANAGED NETWORKS WITHIN MDA.",Department of Defense,"AMENTUM TECHNOLOGY, INC.",525641138.18,2022-09-05,2025-09-01,Award,
USAspending,cybersecurity,47QFCA20F0049,"THE SCOPE OF THIS REQUIREMENT INCLUDES PROGRAM MANAGEMENT SERVICES, TRANSITION SERVICES, AND A FULL RANGE OF ENTERPRISE IT-RELATED SERVICES AND TECHNICAL SOLUTIONS THAT SPAN CYBERSECURITY AND IT MANAGEMENT.",General Services Administration,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",399468544.63,2020-09-25,2025-10-24,Award,
USAspending,cybersecurity,W56JSR23F0062,"THIS ORDER IS FOR DEPUTY ASSISTANT SECRETARY OF THE ARMY DATA, ENGINEERING AND SOFTWARE TO PROVIDE HUMAN CENTERED DESIGN, DEVSECOPS, DATA MANAGEMENT, DATA MESH ARCHITECTURES, DATA SCIENCE, DIGITAL ENGINEERING, SYSTEMS ENGINEERING AND CYBERSECURITY.",Department of Defense,DELOITTE CONSULTING LLP,237096969.56,2023-05-22,2026-05-21,Award,
USAspending,cybersecurity,W91RUS19F0174,ARMY DEPARTMENT OF DEFENSE INFORMATION NETWORK (DODIN)CYBERSECURITY AND NETWORK OPERATIONS MISSION SUPPORT (ADCNOMS)SERVICES,Department of Defense,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",199095646.15,2019-07-01,2025-11-30,Award,
USAspending,cybersecurity,36C10B23F0346,VA CYBERSECURITY OPERATIONS CENTER NEXT GENERATION II (CSOC NG II) SUPPORT,Department of Veterans Affairs,MAVERIS LLC,163138358.32,2023-09-29,2026-09-28,Award,
USAspending,cybersecurity,FA805118F0045,CE CS CYBERSECURITY INITIATIVE,Department of Defense,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",162088935.05,2018-06-29,2024-02-19,Award,
USAspending,cybersecurity,N0003921F3015,"SYSTEMS ENGINEERING, LOGISTICS, AND CYBERSECURITY (SELOCY)  THE NAVY HAS A REQUIREMENT FOR PROFESSIONAL, PERFORMANCE-BASED SERVICES IN SUPPORT OF THE PMW 240 SEA WARRIOR PROGRAM AND PMW 250 ENTERPRISE SYSTEMS AND SERVICES PROGRAM.",Department of Defense,MILLENNIUM CORPORATION,153712626.78,2021-09-09,2026-09-09,Award,
USAspending,cybersecurity,HC104719F0002,"THE GLOBAL COMMAND AND CONTROL SYSTEM JOINT IS THE DOD JOINT COMMAND AND CONTROL SYSTEM OF RECORD FOR ACHIEVING FULL SPECTRUM DOMINANCE.  THE GCCSJ SYSTEM IS A SUITE OF MISSION APPLICATIONS THAT PROVIDES CRITICAL JOINT WARFIGHTING C2 CAPABILITIES AND IS THE PRINCIPAL FOUNDATION FOR DOMINANT BATTLESPACE AWARENESS, PROVIDING AN INTEGRATED, NEAR REALTIME PICTURE OF THE BATTLESPACE NECESSARY TO CONDUCT JOINT AND MULTINATIONAL OPERATIONS.  GCCSJ PROVIDES A ROBUST AND SEAMLESS C2 CAPABILITY TO THE COMMANDER IN CHIEF, SECRETARY OF DEFENSE, NATIONAL MILITARY COMMAND CENTER, COMBATANT COMMANDERS, JOINT FORCE COMMANDERS, AND SERVICE COMPONENT COMMANDERS.  GCCSJ OFFERS VITAL CONNECTIVITY TO THE SYSTEMS THE JOINT WARFIGHTER USES TO PLAN, EXECUTE, AND MANAGE MILITARY OPERATIONS.  GCCSJ IS A MAJOR INFORMATION TECHNOLOGY INVESTMENT DESIGNATED AS AN ACQUISITION CATEGORY IAC MAJOR AUTOMATED INFORMATION SYSTEM PROGRAM.  THE GCCSJ PROGRAM MANAGEMENT OFFICE IS TASKED TO SUSTAIN AND MAINTAIN THE CURRENT CAPABILITY ENSURING CONTINUED SUPPORT OF JOINT C2 NEEDS ACROSS THE DOD TO INCLUDE THOSE OF THE GCCS FAMILY OF SYSTEMS.  THE INTENT OF THIS FOLLOW ON REQUIREMENT IS TO SUSTAIN AND MAINTAIN THE EXISTING SYSTEM BASELINES THAT THE PMO IS REQUIRED TO KEEP IN AN OPERATIONAL STATE UNTIL THE SYSTEM IS MODERNIZED.  THIS REQUIREMENT IS TO OBTAIN MISSION CRITICAL ENGINEERING, SOFTWARE DEVELOPMENT, AND CYBERSECURITY INFORMATION ASSURANCE SUPPORT FOR THE SUSTAINMENT OF THE EXISTING GCCSJ SYSTEM.  THIS SUPPORT WILL ENABLE GCCSJ TO ACHIEVE STRONGER AND MORE EFFECTIVE SOFTWARE SUSTAINMENT AND MAINTENANCE SERVICES UNDER A SINGLE CONTRACTOR WHO WILL BE RESPONSIBLE FOR EFFECTIVELY EXECUTING THE ASSOCIATED PROCESSES USING AN AGILE DEVELOPMENT METHODOLOGY.",Department of Defense,PERATON INC.,151919894.52,2018-12-07,2024-02-06,Award,
USAspending,cybersecurity,GSQ0015AJ0050,"IGF::CL::IGF TASK ORDER (TO) GSQ0015AJ0050 IS HEREBY AWARDED TO MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC. TO PROVIDE THE DEFENSE INFORMATION SYSTEMS AGENCY (DISA) AND THE UNITED STATES MARINE CORPS (USMC) IT SERVICES NECESSARY TO ENHANCE AND SUSTAIN THE DOD CYBERSECURITY RANGE AND THE USMC CYBERSECURITY RANGE.",General Services Administration,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",134851395.23,2015-09-25,2019-09-24,Award,
