search_keyword,piid,recipient_name,award_amount,description,start_date,end_date,agency,sub_agency,pop_city,pop_state,internal_id
Global Broadcast Service,FA822417C0019,LOCKHEED MARTIN CORPORATION,26007231.36,"IGF::OT::IGF  THE PURPOSE IS TO PROVIDE SUSTAINMENT SUPPORT TO THE GLOBAL BROADCAST SERVICE (GBS)AS REQUIRED FOR TIER II OPERATIONS SUPPORT, DECC GBS DOMAIN EXPERTISE, CYBER SECURITY SUPPORT OF THE SBM AND RBM, SIGONELLA PRIMARY INJECTION POINT (PIP) AND REACH BACK SUPPORT, AND CYBER SECURITY SUPPORT.",2017-07-16,2022-07-15,Department of Defense,Department of the Air Force,,,CONT_AWD_FA822417C0019_9700_-NONE-_-NONE-
Global Broadcast Service,FA882322C0001,LOCKHEED MARTIN CORPORATION,21656819.78,GLOBAL BROADCAST SERVICE ARCHITECTURE SUPPORT,2021-12-22,2027-06-15,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882322C0001_9700_-NONE-_-NONE-
Global Broadcast Service,W15P7T08CK406,RAYTHEON COMPANY,20745208.0,CONTRACT NO. W15P7T-08-C-K406 IS FOR THE PRODUCTION AND DELIVERY OF 205 (EA) GLOBAL BROADCAST SERVICE (GBS) AN/TSR-8 RECEIVE SUITES AND ASSOCIATED SPARES.,2008-05-02,2009-06-30,Department of Defense,Department of the Army,,,CONT_AWD_W15P7T08CK406_9700_-NONE-_-NONE-
Global Broadcast Service,HC102808F2210,BOOZ ALLEN HAMILTON INC,19056182.91,GLOBAL BROADCAST SERVICE (GBS) INTEGRATION SUPPORT,2008-06-30,2011-08-31,Department of Defense,Defense Information Systems Agency,,,CONT_AWD_HC102808F2210_9700_GS35F0306J_4730
Global Broadcast Service,0013,D & S CONSULTANTS INC.,14566928.98,"GLOBAL BROADCAST SERVICE (GBS) AN/TSR-8 RECEIVE SUITES, AN/TSR-8 PRESCRIBED LOAD LIST (PLL), GLOBAL BROADCAST SERVICE (GBS) RECEIVE BROADCAST MANAGERS, PLL CASES AND ANCILLARY HARDWARE.",2011-08-19,2012-08-28,Department of Defense,Department of the Army,,,CONT_AWD_0013_9700_W15P7T06DL218_9700
Global Broadcast Service,FA882318F0002,BOOZ ALLEN HAMILTON INC,9077793.14,GENERAL SERVICES ADMINISTRATION FOR SUPPORT ENGINEERING SERVICES GLOBAL BROADCAST SERVICES PROGRAM,2018-07-10,2021-03-10,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882318F0002_9700_GS00Q14OADU308_4732
Global Broadcast Service,FA882319F0004,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",8461364.92,GLOBAL BROADCAST SERVICES - TO PROCURE ITEMS FOR SEVERAL BRANCHES OF THE DEPARTMENT OF DEFENSE.,2019-04-17,2024-01-25,Department of Defense,Defense Contract Management Agency,,,CONT_AWD_FA882319F0004_9700_FA830711D0005_9700
Global Broadcast Service,5P03,RAYTHEON COMPANY,7498920.0,"TASK ORDER 5P03, SATELLITE BROADCAST SERVICE (SBM) OPERATIONS AND MAINTENANCE, FOR 6 MONTHS (1 MAY 12 - 31 OCT 12). ISSUED UNDER GLOBAL BROADCAST SERVICE SINGLE ID/IQ CONRTRACT.",2012-05-01,2013-04-30,Department of Defense,Department of the Air Force,,,CONT_AWD_5P03_9700_FA820706D0001_9700
Global Broadcast Service,FA882320F0003,AQYR TECHNOLOGIES INC,7278189.0,GLOBAL BROADCAST SERVICE - PORTABLE RECEIVE SUITES,2021-03-31,2021-06-30,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882320F0003_9700_FA870515D0001_9700
Global Broadcast Service,FA882319F0002,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",5246050.9,GLOBAL BROADCAST SERVICE - TRANSPORTABLE GROUND RECEIVE SUITES BUY FOR UNITED STATES ARMY,2019-02-27,2024-04-30,Department of Defense,Department of the Air Force,,,CONT_AWD_FA882319F0002_9700_FA830711D0005_9700
