prime_name,relationship_tier,mention_count,contact_count,program_count,usaspending_contracts,usaspending_value,narrative_path
Leidos,Strategic Partner,5841,509,18,96,37178682257.27,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Leidos_past_performance.md
General Dynamics,Strategic Partner,4546,463,29,91,80413371668.08,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\General_Dynamics_past_performance.md
Deloitte,Strategic Partner,1500,298,19,55,8280317189.67,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Deloitte_past_performance.md
SAIC,Strategic Partner,1415,388,24,94,23571892020.04,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\SAIC_past_performance.md
Microsoft,Strategic Partner,1170,489,20,50,2421689392.79,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Microsoft_past_performance.md
Lockheed Martin,Established Partner,769,228,18,66,275727289318.27,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Lockheed_Martin_past_performance.md
Northrop Grumman,Established Partner,543,174,13,51,97907361567.55,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Northrop_Grumman_past_performance.md
CACI,Established Partner,441,154,15,97,20828391232.79,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\CACI_past_performance.md
Raytheon,Established Partner,370,115,14,62,127830315552.67,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Raytheon_past_performance.md
Booz Allen Hamilton,Established Partner,353,154,7,50,22911953457.61,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Booz_Allen_Hamilton_past_performance.md
Jacobs,Growing Relationship,286,82,17,65,15306646830.55,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Jacobs_past_performance.md
Amazon Web Services,Growing Relationship,281,150,16,100,1693106514.81,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Amazon_Web_Services_past_performance.md
Boeing,Growing Relationship,249,141,13,74,269087616821.95,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Boeing_past_performance.md
BAE Systems,Growing Relationship,208,68,6,48,56020893498.71,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\BAE_Systems_past_performance.md
VMware,Growing Relationship,200,75,7,5,282978.85,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\VMware_past_performance.md
Perspecta,Growing Relationship,185,142,14,58,4026341657.39,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Perspecta_past_performance.md
Cisco,Growing Relationship,180,76,7,73,1090860813.16,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Cisco_past_performance.md
ServiceNow,Growing Relationship,156,80,6,2,3740885.26,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\ServiceNow_past_performance.md
IBM Federal,Growing Relationship,153,42,6,0,0,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\IBM_Federal_past_performance.md
Oracle,Growing Relationship,138,73,10,90,8260258931.18,C:\data-scraper\data-scraper\data\output\bullhorn_analysis\past_performance_narratives\Oracle_past_performance.md
