competitor,piid,description,obligated_amount,agency,naics,pop_state,pop_end_date
STAFFING AGENCY,W81K0025FA085,"PSYCHOMETRIST, FOR WILLIAM BEAUMONT MEDICAL CENTER, FORT BLISS, TEXAS.",0,,622110,,
STAFFING AGENCY,75H71025P00764,(1) ER PHYSICIAN AT CCHCF,0,,621111,,
STAFFING AGENCY,HT940725F0024,MEDICAL SOCIAL WORKER,0,,622110,,
STAFFING AGENCY,75H71025P00571,"CONTRACTOR SHALL PROVIDE EMERGENCY PHYSICIAN SERVICES TO THE KAYENTA HEALTHCARE CENTER IN KAYENTA, AZ.",0,,621111,,
STAFFING AGENCY,HT941025C0003,PHYSICIAN - NEONATOLOGIST,0,,622110,,
STAFFING AGENCY,75H71325F29008,NON-PERSONAL PHARMACY SUPPORT SERVICES FOR THE YAKAMA INDIAN HEALTH CLINIC.,0,,621399,,
STAFFING AGENCY,75H71325F29007,"PATIENT CARE PHARMACIST SUPPORT SERVICES, WARM SPRINGS SERVICE UNIT, OREGON",0,,621399,,
STAFFING AGENCY,75H70725C00003,THREE (3) PRIMARY CARE PROVIDERS - SANTA FE INDIAN HEALTH CENTER,0,,561320,,
STAFFING AGENCY,75H71025P00240,NON-PERSONAL DIAGNOSTIC RADIOLOGIC TECHNOLOGIST (CT) SERVICES***RADIOLOGY DEPARTMENT,0,,561320,,
STAFFING AGENCY,75H71025P00233,NURSE PRACTITIONER SERVICES***MEDICAL STAFF DEPARTMENT,0,,561320,,
STAFFING AGENCY,15B61025F00000033,"B1 - HUCKEYE HEALTH - LVN, RN FY 25",0,,561320,,
STAFFING AGENCY,47QFDA25C0001,CDC SYNERGY LABOR SUPPORT,0,,561320,,
STAFFING AGENCY,75D30125C20385,NCEZID CHAMPS LAB SUPPORT SERVICES,0,,541690,,
STAFFING AGENCY,HT940725F0007,1 FTE PHYSICIAN ASSISTANT,0,,622110,,
STAFFING AGENCY,75H70625F03012,"TASK ORDER FOR ER PHYSICIANS FOR THE CRHC, POP: 11/01/2024 - 01/31/2025",0,,621111,,
STAFFING AGENCY,W91YTZ24F0245,FY25 FP PHYSICIAN,0,,622110,,
STAFFING AGENCY,15B12124F00000120,"FY25 CONTRACT FOR TEMP. MID LEVEL PHY SERVICES FOR 120 DAYS WITH REQUEST TO EXTEND TO 240 IF REQUIRED  SEPTEMBER 3, 2024 TO JANUARY 1, 2025 (120 DAYS) - MAY 1, 2025 (240 DAYS)",0,,561320,,
STAFFING AGENCY,FA441724F0334,"FOUR PARAMEDICS FOR HURLBURT FIELD AFB, FLORIDA.",0,,622110,,
STAFFING AGENCY,75D30124C19579,CFA MANAGEMENT AND ADMIN SUPPORT,0,,541990,,
STAFFING AGENCY,75H70624F03011,"TASK ORDER, ER PHYSICIANS, CRHC",0,,621111,,
STAFFING AGENCY,15JA3524F00000009,"TWO (2) OFFICE SUPPORT ASSISTANTS, OR EQUIVALENT",0,,561320,,
STAFFING AGENCY,FA254324C0006,"CONTRACTOR WILL PROVIDE ON-SITE MAIL SERVICES TO BUCKLEY AIR FORCE BASE (BSFB), JOINT TENANTS AND OTHER SUPPORTED BASE ACTIVITIES IN ACCORDANCE WITH DEPARTMENT OF DEFENSE MANUAL (DODM) 4525.8_AFMAN 33",0,,561210,,
STAFFING AGENCY,75H70624F03010,"TASK ORDER, ER MID-LEVEL, POP: 08/01/2024 - 10/31/2024",0,,621111,,
STAFFING AGENCY,75D30124P19513,DATA SECURITY STEWARD,0,,541690,,
STAFFING AGENCY,75D30124P19543,SUPPORT FOR EPIDEMIOLOGIC STUDIES OF HEARING AND BALANCE - AUDIOLOGIST,0,,541990,,
STAFFING AGENCY,HT940624F0105,"CLINICAL PHARMACIST, PHARMACIST, AND PHARMACY TECHNICIAN SERVICES.",0,,622110,,
STAFFING AGENCY,75H70624F03004,"TASK ORDER, HOSPITALIST, CRHC, 8/1/24 - 10/31/24",0,,621111,,
STAFFING AGENCY,75H71324F29006,"LOCUM TENENS PHARMACIST AND PHARMACY TECHNICIAN, WESTERN OREGON SERVICE UNIT",0,,621399,,
STAFFING AGENCY,75H70624F03005,"TASK ORDER, LAB TECHNICIAN SERVICES, CRHC, POP: 7/25/2024 - 10/16/2024",0,,561320,,
STAFFING AGENCY,75H70624F03010,"TASK ORDER, ER PHYSICIANS, CHRCH 7/1/24 - 8/31/24",0,,621111,,
STAFFING AGENCY,W81K0024F0091,"15 FTE PHYSICIAN EXTENDERS (PA/NP) AT BAMC, JBSA FORT SAM HOUSTON, TX",0,,622110,,
STAFFING AGENCY,75H71024P00816,NNMC - PA/NP FOR FAMILY MEDICINE PCN HPOF-02,0,,621111,,
STAFFING AGENCY,75H71324P00103,"LOCUM TENENS NURSE PRACTITIONER FOR COLVILLE SERVICE UNIT, WASHINGTON",0,,621999,,
STAFFING AGENCY,W91YTZ24F0122,NEW FY24 PEDIATRICIAN,0,,622110,,
