program_name,full_name,agency,piid,recipient_name,award_amount,description,start_date,end_date,awarding_agency,awarding_sub_agency,source,urgency
DARPA,Defense Advanced Research Projects Agency,DoD,N6523623C8008,BAE SYSTEMS INFORMATION & ELECTRONIC SYSTEMS INTEGRATION INC,68101726.12,DARPA JANUS PROGRAM,2022-11-28,2026-01-25,Department of Defense,Department of the Navy,USAspending,CRITICAL - 90 days
ECMA,Enterprise Cloud Management Agency,DoD,W519TC25F0094,WORLD WIDE TECHNOLOGY LLC,2689880.0,"GITLAB IS A ROBUST, ALL-IN-ONE PLATFORM DESIGNED TO STREAMLINE THE ENTIRE DEVOPS LIFECYCLE FOR THE ECMA CLOUD ENVIRONMENT. THIS AWARD IS FOR 4,000 GITLAB SOFTWARE LICENSES.",2025-01-27,2026-01-27,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
AFRICOM,Africa Command,DoD,47QFCA20F0002,"CACI NSS, LLC",194034792.11,"THE PURPOSE OF THIS AWARD IS TO PROVIDE PLANS, OPERATIONS, LOGISTICS, ENGAGEMENT, TRAINING, EXERCISE, AND ASSESSMENT SUPPORT TO AFRICOM.",2020-01-29,2026-01-28,General Services Administration,Federal Acquisition Service,USAspending,CRITICAL - 90 days
NASA,National Aeronautics and Space Administration,NASA,NNN10AA08T,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,894500235.0,"SOLAR PROBE PLUS (SPP) PHASE A ACTIVITIES  THE CONTRACTOR SHALL PERFORM THE WORK THAT IS DESIGNATED IN TASK ORDERS ISSUED BY THE CONTRACTING OFFICER.     THE OVERALL SCOPE OF WORK TO BE PERFORMED WILL SUPPORT ALL OF NASA'S MISSION DIRECTORATES. THESE EFFORTS CAN BE CHARACTERIZED AS AEROSPACE RESEARCH, DEVELOPMENT, AND ENGINEERING SUPPORT (ARDES). THE GENERAL NATURE OF THE TASKS TO BE DEVELOPED WILL BE TO CONDUCT SUPPORTING RESEARCH AND ADVANCED TECHNOLOGY DEVELOPMENT DESIGNED TO MAKE CONTRIBUTIO",2010-05-17,2026-01-31,National Aeronautics and Space Administration,National Aeronautics and Space Administration,USAspending,CRITICAL - 90 days
NGA,National Geospatial-Intelligence Agency,DoD,FA813425F3003,GULFSTREAM AEROSPACE CORPORATION,49968292.52,C-20/C-37 CONTRACTOR LOGISTICS SUPPORT (CLS),2025-02-01,2026-01-31,Department of Defense,Defense Contract Management Agency,USAspending,CRITICAL - 90 days
INDOPACOM,Indo-Pacific Command,DoD,47QSWC24F0138,"BEAM DISTRIBUTING, INC.",21421086.33,NAVAIR INDOPACOM AIRFIELD OPERATIONS,2024-09-18,2026-01-31,General Services Administration,Federal Acquisition Service,USAspending,CRITICAL - 90 days
JLTV,Joint Light Tactical Vehicle,DoD,W912CH25F0160,AM GENERAL LLC,16715845.57,LONG TERM CONTRACT FOR TEN YEARS JLTV PROGRAM,2025-02-01,2026-01-31,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
JLTV,Joint Light Tactical Vehicle,DoD,W912CH25F0006,AM GENERAL LLC,13022087.5,JLTV ARMY REGIONAL FSR SUPPORT FOR CONUS AND OCONUS LOCATIONS. SEE WD 0008-018 AND WD 0008-019.,2024-11-05,2026-01-31,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
DARPA,Defense Advanced Research Projects Agency,DoD,N6523622F3032,"STRATEGIC ANALYSIS, INC.",5953228.13,"THE CONTRACTOR SHALL PROVIDE SCIENTIFIC, ENGINEERING, AND TECHNICAL ASSISTANCE SUPPORT TO THE DEFENSE ADVANCED RESEARCH PROJECTS AGENCY(DARPA) TACTICAL TECHNOLOGY OFFICE (TTO) IN SUPPORT OF THE OVERSIGHT",2022-09-09,2026-01-31,Department of Defense,Department of the Navy,USAspending,CRITICAL - 90 days
JLTV,Joint Light Tactical Vehicle,DoD,W912CH25F0003,AM GENERAL LLC,4219138.91,JLTV USMC REGIONAL SUPPORT,2024-11-14,2026-01-31,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
