program,piid,recipient,amount,description,agency,start_date,end_date
INSCOM,47QFCA19F0040,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,202870538.71,AWARD OF THE ARMY OPEN SOURCE INTELLIGENCE CAPABILITIES TASK ORDER IN SUPPORT OF US ARMY INSCOM.,General Services Administration,2019-08-01,2025-01-31
INSCOM,W912DR16C0004,MANHATTAN CONSTRUCTION COMPANY LLC,154669003.0,CONSTRUCTION OF INSCOM FACILITY IGF::OT::IGF,Department of Defense,2016-02-23,2020-03-18
INSCOM,0002,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,53634366.68,IGF::CT::IGF  INSCOM G3 GEOINT SUPPORT,Department of Defense,2016-04-08,2019-04-30
INSCOM,W911W417C0009,"LEIDOS, INC.",30582917.12,HQ INSCOM LABOR IGF::CT::IGF,Department of Defense,2017-08-22,2018-06-30
INSCOM,0517,BOOZ ALLEN HAMILTON INC,28101833.76,"IGF::CL,CT::IGF SV 12-0486 US ARMY INTELLIGENCE AND SECURITY COMMAND (INSCOM) FORCE MANAGEMENT, TRANSFORMATION DEVELOPMENT, STRATEGIC PLANNING, OPERATIONS, AND ALL-SOURCE INTELLIGENCE ANALYSIS",Department of Defense,2013-08-27,2015-07-08
INSCOM,HHSP233201700138G,"LYNXNET, LLC",24480367.66,IGF::OT::IGF SAS-2017-0687 DEPT OF ARMY INSCOM C2IO SUPPORT SERVICES,Department of Health and Human Services,2018-09-17,2019-09-18
INSCOM,0003,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,22896980.0,"IGF::CL::IGF  THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE TECHNICAL, FUNCTIONAL, AND GENERAL SUPPORT SERVICES TO INSCOM'S 116TH MILITARY INTELLIGENCE BRIGADE AND ITS SUBORDINATE UNITS AS WELL AS INSC",Department of Defense,2017-05-17,2022-05-18
INSCOM,0005,PLURIBUS INTERNATIONAL LLC,17529488.19,HQ INSCOM G8 PROGRAM&RESOURCE MANAGEMENT SUPPORT SERVICES,Department of Defense,2013-02-15,2016-10-29
INSCOM,W56KGY20F0015,"L3 TECHNOLOGIES, INC.",14830668.12,TASK ORDER W56KGY-20-F-0015 IS ISSUED TO PROVIDE COMMON DATA LINK/SATELLITE COMMUNICATION (CDL/SATCOM) NON-RECURRING ENGINEERING NRE AND EQUIPMENT PROCUREMENT IN SUPPORT OF THE US ARMY INTELLIGENCE AN,Department of Defense,2019-12-09,2021-09-30
INSCOM,W911W418C0004,"MHM INNOVATIONS, INC.",12431512.23,"IGF::OT::IGF THIS REQUIREMENT IS FOR INSCOM G7 ENGINEERING TECHNICAL ASSISTANCE (ETA) SUPPORT. THE SERVICES WILL BE PERFORMED AT FORT BELVOIR, VA, FORT MEADE, MD, FORT BRAGG, NC, AND FORT GORDON, GA W",Department of Defense,2018-01-31,2019-01-31
