idv_piid,idv_key,task_order_piid,recipient_name,recipient_uei,award_amount,description,awarding_agency,start_date,end_date
ITES,CONT_IDV_W519TC25DA070_9700,W519TC25FA179,,,0,MINIMUM GUARANTEE DELIVERY ORDER AWARD IN SUPPORT OF INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS - 4 HARDWARE (ITES-4H),,,
ITES,CONT_IDV_W519TC25DA066_9700,W519TC25FA180,,,0,MINIMUM GUARANTEE DELIVERY ORDER AWARD IN SUPPORT OF INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS - 4 HARDWARE (ITES-4H),,,
ITES,CONT_IDV_W519TC25DA038_9700,W519TC25FA161,,,0,MINIMUM GUARANTEE DELIVERY ORDER AWARD IN SUPPORT OF INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS - 4 HARDWARE (ITES-4H).,,,
ITES,CONT_IDV_W519TC25DA014_9700,W519TC25FA137,,,0,MINIMUM GUARANTEE DELIVERY ORDER AWARD IN SUPPORT OF INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS - 4 HARDWARE (ITES-4H).,,,
ITES,CONT_IDV_W519TC25DA037_9700,W519TC25FA158,,,0,MINIMUM GUARANTEE DELIVERY ORDER AWARD IN SUPPORT OF INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS - 4 HARDWARE (ITES-4H).,,,
ITES,CONT_IDV_W519TC25DA021_9700,W519TC25FA141,,,0,MINIMUM GUARANTEED DELIVERY ORDER AWARD IN SUPPORT OF INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS - 4H (ITES-4H),,,
ITES,CONT_IDV_W519TC25DA046_9700,W519TC25FA172,,,0,MINIMUM GUARANTEE DELIVERY ORDER AWARD IN SUPPORT OF INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS - 4 HARDWARE (ITES-4H).,,,
ITES,CONT_IDV_W519TC25DA030_9700,W519TC25FA149,,,0,MINIMUM GUARANTEE DELIVERY ORDER AWARD IN SUPPORT OF INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS - 4 HARDWARE (ITES-4H).,,,
ITES,CONT_IDV_W519TC25DA015_9700,W519TC25FA185,,,0,MINIMUM GUARANTEE DELIVERY ORDER AWARD IN SUPPORT OF INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS - 4 HARDWARE (ITES-4H).,,,
ITES,CONT_IDV_W519TC25DA044_9700,W519TC25FA171,,,0,MINIMUM GUARANTEE DELIVERY ORDER AWARD IN SUPPORT OF INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS - 4 HARDWARE (ITES-4H),,,
SEAPORT,CONT_IDV_N0017825D8013_9700,N0017825F8013,,,0,MINIMUM GUARANTEE TASK ORDER FOR ASSOCIATED SEAPORT NXG MAC AWARDS.,,,
SEAPORT,CONT_IDV_N0017825D7335_9700,N0017825F7335,,,0,MINIMUM GUARANTEE TASK ORDER FOR ASSOCIATED SEAPORT NXG MAC AWARD.,,,
SEAPORT,CONT_IDV_N0017825D7736_9700,N0017825F7736,,,0,MINIMUM GUARANTEE TASK ORDER FOR ASSOCIATED SEAPORT NXG MAC AWARDS.,,,
SEAPORT,CONT_IDV_N0017825D7095_9700,N0017825F7095,,,0,MINIMUM GUARANTEE TASK ORDER FOR ASSOCIATED SEAPORT NXG MAC AWARD.,,,
SEAPORT,CONT_IDV_N0017825D8017_9700,N0017825F8017,,,0,MINIMUM GUARANTEE TASK ORDER FOR ASSOCIATED SEAPORT NXG MAC AWARDS.,,,
SEAPORT,CONT_IDV_N0017825D7524_9700,N0017825F7524,,,0,MINIMUM GUARANTEE TASK ORDER FOR ASSOCIATED SEAPORT NXG MAC AWARDS.,,,
