program_name,bullhorn_mentions,contract_count,total_value,contractors,agencies,top_contract_piid,top_contract_value,top_contractor
INSCOM,1304,50,675844631.6,"NEW DOMINION CONSTRUCTION LLC; 22ND CENTURY TECHNOLOGIES, INC.; EPC SERVICE INC; ENGILITY SERVICES, LLC; SPECTRUM SOLUTIONS INC; CAPE FOX FACILITIES SERVICES, LLC; NORTHROP GRUMMAN SYSTEMS CORPORATION; MOCA SYSTEMS, INC; GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.; RITZ CONSTRUCTION INC",General Services Administration; Department of Health and Human Services; Department of Defense,47QFCA19F0040,202870538.71,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.
DIA,1018,50,14180372684.68,"THE REGENTS OF THE UNIVERSITY OF COLORADO; PFIZER INC; CEPHEID; QUIDEL CORP; ROCHE DIAGNOSTICS CORPORATION; DYNPORT VACCINE COMPANY LLC; RAYTHEON COMPANY; ASTRAZENECA PHARMACEUTICALS LP; LOCKHEED MARTIN CORPORATION; SEVENSON ENVIRONMENTAL SERVICES, INC.",National Aeronautics and Space Administration; Department of Defense; Department of Health and Human Services; Agency for International Development; General Services Administration,W58P0521C0002,4150835100.0,PFIZER INC
ITES,641,50,19016807471.35,"EDUCATIONAL TESTING SERVICE; THE BOEING COMPANY; PARSONS GOVERNMENT SERVICES INC.; BERING SEA ENVIRONMENTAL LLC; AMERICAN ORDNANCE LLC; BELL TEXTRON INC; US FOODS INC; NATIONAL STEEL AND SHIPBUILDING COMPANY; LOCKHEED MARTIN CORPORATION; SEVENSON ENVIRONMENTAL SERVICES, INC.",National Aeronautics and Space Administration; Department of Defense; Department of Energy; Department of Health and Human Services; Department of Homeland Security,N0001917C0015,6568172820.67,BELL BOEING JOINT PROJECT OFFICE
NGA,448,50,3387618268.44,"THE BOEING COMPANY; CONCURRENT TECHNOLOGIES CORP; NORTHROP GRUMMAN SYSTEMS CORPORATION; RTX CORPORATION; GULFSTREAM AEROSPACE CORPORATION; TOTAL TECHNOLOGY, INC; LOGISYS TECHNICAL SERVICES INC; TEVET LLC; RAYTHEON COMPANY; GENERAL ELECTRIC COMPANY",Department of Defense; Department of Justice; Department of Homeland Security; Department of the Interior; Department of Commerce,W912DQ19C7001,767595245.98,MCCARTHY HITT - NEXT NGA WEST JOINT VENTURE
NSA,210,50,2521706393.69,"AGVIQ LLC; MOWA BARLOVENTO LLC, JV; NORTHROP GRUMMAN SYSTEMS CORPORATION; GET-NSA; LIBERAL CONSTRUCTION, LLC; RQ CONSTRUCTION, LLC; TRISTAR, INC.; BELT BUILT CFM JOINT VENTURE, LLC; ARTEL LLC; DYNCORP INTERNATIONAL LLC",Department of the Interior; Department of Defense; Department of Energy,HQ072716C0001,816516427.74,GLOBALFOUNDRIES U.S. 2 LLC
DISA,174,50,18282978504.69,"OPTUMSERVE HEALTH SERVICES, INC.; QTC MEDICAL SERVICES INC; TURNER CONSTRUCTION COMPANY; CALIBRE SYSTEMS INC; VETERANS EVALUATION SERVICES, INC; THE PROVIDENCIA GROUP LLC; PHOENIX AIR GROUP, INC.; CGI FEDERAL INC.; MVM, INC.; RAPID DEPLOYMENT INC",National Aeronautics and Space Administration; Department of Defense; Department of Health and Human Services; Social Security Administration; Department of Education,75ACF121C00020,3516373311.63,RAPID DEPLOYMENT INC
NASA,133,50,47698027281.55,"THE BOEING COMPANY; TRAX INTERNATIONAL CORPORATION; SOUTHWEST RESEARCH INSTITUTE; NORTHROP GRUMMAN SYSTEMS CORPORATION; GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.; LEIDOS INC; CALIFORNIA INSTITUTE OF TECHNOLOGY; RAYTHEON COMPANY; HONEYWELL TECHNOLOGY SOLUTIONS INC.; THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC",National Aeronautics and Space Administration; Department of Defense; Department of Commerce; Department of Veterans Affairs,NNM07AB03C,10386478680.0,THE BOEING COMPANY
DEOS,131,50,1317189807.3999999,"MINBURN TECHNOLOGY GROUP, LLC; GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.; VESTIGO AEROSPACE, INC.; DEOSI LLC; DELL MARKETING L.P.; DNA LABS INTERNATIONAL INC; TECKNOMIC LLC; LOCKHEED MARTIN SERVICES, LLC; TECHWERKS LLC; W S DARLEY & CO",National Aeronautics and Space Administration; Department of Defense; Department of Health and Human Services; Agency for International Development; Department of Justice,80JSC024CA002,425568844.14,SPACE EXPLORATION TECHNOLOGIES CORP.
Sentinel,116,50,3070420623.03,"TYGART TECHNOLOGY INC; GEORGIA TECH APPLIED RESEARCH CORP; CALIFORNIA INSTITUTE OF TECHNOLOGY; RAYTHEON COMPANY; THE MISSION ESSENTIAL GROUP, LLC; LOCKHEED MARTIN CORPORATION; RAYTHEON COMMAND & CONTROL SOLUTIONS LLC; SENTINEL GROUP LLC; HARVARD PILGRIM HEALTH CARE INC; TECOLOTE RESEARCH, INC.",National Aeronautics and Space Administration; Department of Defense; Federal Trade Commission; Department of Health and Human Services; Department of Justice,W31P4Q19C0058,684666325.34,LOCKHEED MARTIN CORPORATION
MDA,84,50,52461671250.939995,"THE BOEING COMPANY; NORTHROP GRUMMAN SYSTEMS CORPORATION; FRONTIER TECHNOLOGY INC; GRANITE-OBAYASHI 2, A JOINT VENTURE; STRATEGIC ALLIANCE SOLUTIONS LLC; L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.; PARSONS GOVERNMENT SERVICES INC; RAYTHEON COMPANY; GRAY RESEARCH INC; LOCKHEED MARTIN CORPORATION",National Aeronautics and Space Administration; Department of Defense; Department of Homeland Security; General Services Administration,MDA90603C0010,23352182728.69,HUMANA GOVERNMENT BUSINESS INC
