program_name,piid,recipient_name,award_amount,description,agency,sub_agency,start_date,end_date
INSCOM,W912DR16C0004,MANHATTAN CONSTRUCTION COMPANY LLC,154669003.0,CONSTRUCTION OF INSCOM FACILITY IGF::OT::IGF,Department of Defense,Department of the Army,2016-02-23,2020-03-18
INSCOM,W912DR13C0035,HENSEL PHELPS CONSTRUCTION CO,44925813.5,IGF::OT::IGF INSCOM - NOLAN BUILDING PARKING GARAGE,Department of Defense,Department of the Army,2013-07-22,2016-06-30
INSCOM,W911W413C0007,INVERTIX CORPORATION,44149429.44,THIS REQUIREMENT PROVIDES FOR CAPABILITIES INTEGRATION SUPPORT PROJECT THROUGHPUT CAPABILITY BY PROVIDING INTEGRATION OF EMERGING AND TECHNOLOGY BASED CAPABILITIES INTO INSCOM SOFTWARE INTEGRATION LAB,Department of Defense,Department of the Army,2013-08-20,2015-05-20
INSCOM,W911W417C0009,"LEIDOS, INC.",30582917.12,HQ INSCOM LABOR IGF::CT::IGF,Department of Defense,Department of the Army,2017-08-22,2018-06-30
INSCOM,W911W418C0004,"MHM INNOVATIONS, INC.",12431512.23,"IGF::OT::IGF THIS REQUIREMENT IS FOR INSCOM G7 ENGINEERING TECHNICAL ASSISTANCE (ETA) SUPPORT. THE SERVICES WILL BE PERFORMED AT FORT BELVOIR, VA, FORT MEADE, MD, FORT BRAGG, NC, AND FORT GORDON, GA W",Department of Defense,Department of the Army,2018-01-31,2019-01-31
INSCOM,N6523608C6037,ADVANCED C4 SOLUTIONS INC,5719490.37,INSCOM SUPPORT,Department of Defense,Department of the Navy,2008-09-29,2010-02-01
INSCOM,W912DR22C0074,NEW DOMINION CONSTRUCTION LLC,3428399.97,INSCOM HQ WATER ENHANCEMENT,Department of Defense,Department of the Army,2022-09-30,2024-03-25
INSCOM,W911W418C0007,INFORMATION MANAGEMENT GROUP INCORPORATED,2923172.32,PROVIDE NETOPS SERVICES TO INSCOM.,Department of Defense,Department of the Army,2018-07-03,2018-11-09
INSCOM,W911W418C0010,"M. C. DEAN, INC.",2557632.11,INSCOM IC BADGING SYSTEM SUPPORT (LABOR),Department of Defense,Department of the Army,2018-09-30,2019-09-29
INSCOM,W912DR23C0071,JACOBS GOVERNMENT SERVICES COMPANY,2420611.17,"CONSTRUCTION SUPPORT SERVICES FOR SECURED, ADMINISTRATIVE/OPERATIONS FACILITY (SAOF) PHASE 4 NOLAN BUILDING RENOVATION INSCOM, FORT BELVOIR, VA",Department of Defense,Department of the Army,2023-09-29,2027-01-29
INSCOM,W912DR24C0046,XL CONSTRUCTION LLC,2153717.2,"INSCOM SIDEWALK RESTORATION - FORT BELVOIR, VIRGINIA. CONTRACT AWARD",Department of Defense,Department of the Army,2024-10-09,2025-10-18
INSCOM,W911W414C0012,"22ND CENTURY TECHNOLOGIES, INC.",1820945.95,INSCOM SERVICE DESK SUPPORT IGF::CT::IGF,Department of Defense,Department of the Army,2014-08-20,2015-10-03
INSCOM,W912DR20C0079,RITZ CONSTRUCTION INC,1342262.45,INSCOM MISSION COMMAND FIT-OUT,Department of Defense,Department of the Army,2020-09-30,2022-01-28
INSCOM,W912DR23C0066,"DOYON TECHNICAL SERVICES, LLC",1017429.23,"INSCOM MISSION COMMAND FIT-OUT PHASE II, FORT BELVOIR, VIRGINIA",Department of Defense,Department of the Army,2024-06-30,2024-07-19
