state,state_name,dod_amount,contract_count
PA,Pennsylvania,246202214865.53,18934.7
IL,Illinois,117776055520.35,9192.27
VA,Virginia,705421238827.99,81727.39
NJ,New Jersey,113299421551.81,12197.17
CA,California,660649260437.82,16709.13
TX,Texas,726564160407.87,24928.86
FL,Florida,287434757845.81,13345.36
NY,New York,177538282012.57,8788.48
OH,Ohio,97724853979.37,8282.15
NC,North Carolina,68776639339.86,6588.19
MD,Maryland,265671376075.8,43008.21
GA,Georgia,126753209981.12,11832.93
AL,Alabama,176143521680.53,35058.47
WA,Washington,141469930954.96,18360.13
CT,Connecticut,296434207943.92,82207.1
MI,Michigan,77747704067.49,7715.11
MO,Missouri,188507441662.07,30627.15
SC,South Carolina,58899614093.79,11507.37
MA,Massachusetts,229703272753.95,32675.1
WI,Wisconsin,67331722987.53,11424.32
AZ,Arizona,228122961738.04,31898.61
KY,Kentucky,141459549895.55,31394.74
MS,Mississippi,86321943121.51,29150.22
CO,Colorado,118875419969.89,20589.07
LA,Louisiana,51618512350.77,11082.27
OK,Oklahoma,53001834487.67,13386.49
MN,Minnesota,36980627201.03,6480.45
HI,Hawaii,47219429771.05,32447.17
IN,Indiana,77089640708.19,11360.89
TN,Tennessee,38204469506.83,5528.19
OR,Oregon,15762782206.77,3720.04
KS,Kansas,27733044783.65,9439.82
AR,Arkansas,12505489597.96,4152.55
DC,District Of Columbia,92971978136.36,134830.91
UT,Utah,45440415052.35,13889.29
IA,Iowa,29550327780.39,9262.35
NE,Nebraska,13377438428.7,6819.99
NM,New Mexico,25926477421.96,12243.78
ID,Idaho,3902570153.74,2121.99
AK,Alaska,32872639891.78,44822.8
NV,Nevada,30376157910.44,9784.2
ME,Maine,42400970126.34,31123.2
GU,Guam,21866672130.79,142142.75
MT,Montana,4549952212.16,4196.5
NH,New Hampshire,29062833796.43,21097.8
RI,Rhode Island,12594503615.01,11476.9
ND,North Dakota,5040246873.86,6469.37
DE,Delaware,3889401149.02,3928.89
WV,West Virginia,5997739803.35,3343.75
VT,Vermont,7008161310.5,10897.86
PR,Puerto Rico,13197190238.65,4016.34
SD,South Dakota,6928409187.03,7813.99
WY,Wyoming,2544294929.99,4410.66
VI,U.S. Virgin Islands,373912267.15,4290.64
,,6120.0,
MP,Northern Mariana Islands,782410083.66,16531.3
AS,American Samoa,86793835.76,1746.0
