search_keyword,award_id,recipient,amount,description,awarding_agency,start_date,end_date,state
cybersecurity,FA862118F6251,LOCKHEED MARTIN CORPORATION,603196868.19,"IGF::OT::IGF  AFSOC ACTS AWARD OF CONTRACT FOR CLS, ENGINEERING, INSTRUCTION, CYBERSECURITY, DMO",Department of Defense,2018-02-08,2027-01-31,
cybersecurity,HQ085722F8003,"AMENTUM TECHNOLOGY, INC.",525641138.18,"DELIVER INFORMATION MANAGEMENT AND IT SERVICES TO MDA FOR UNCLASSIFIED AND CLASSIFIED NETWORKS. UTILIZING THE CUSTOMER-FOCUSED SERVICE MODEL, ITIL METHOD. PERFORM BREAK-FIX, MAINTENANCE AND CYBERSECURITY OF CIO MANAGED NETWORKS WITHIN MDA.",Department of Defense,2022-09-05,2025-09-01,
cybersecurity,47QFCA20F0049,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",399468544.63,"THE SCOPE OF THIS REQUIREMENT INCLUDES PROGRAM MANAGEMENT SERVICES, TRANSITION SERVICES, AND A FULL RANGE OF ENTERPRISE IT-RELATED SERVICES AND TECHNICAL SOLUTIONS THAT SPAN CYBERSECURITY AND IT MANAGEMENT.",General Services Administration,2020-09-25,2025-10-24,
cybersecurity,W56JSR23F0062,DELOITTE CONSULTING LLP,237096969.56,"THIS ORDER IS FOR DEPUTY ASSISTANT SECRETARY OF THE ARMY DATA, ENGINEERING AND SOFTWARE TO PROVIDE HUMAN CENTERED DESIGN, DEVSECOPS, DATA MANAGEMENT, DATA MESH ARCHITECTURES, DATA SCIENCE, DIGITAL ENGINEERING, SYSTEMS ENGINEERING AND CYBERSECURITY.",Department of Defense,2023-05-22,2026-05-21,
cybersecurity,W91RUS19F0174,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",199095646.15,ARMY DEPARTMENT OF DEFENSE INFORMATION NETWORK (DODIN)CYBERSECURITY AND NETWORK OPERATIONS MISSION SUPPORT (ADCNOMS)SERVICES,Department of Defense,2019-07-01,2025-11-30,
cybersecurity,36C10B23F0346,MAVERIS LLC,163138358.32,VA CYBERSECURITY OPERATIONS CENTER NEXT GENERATION II (CSOC NG II) SUPPORT,Department of Veterans Affairs,2023-09-29,2026-09-28,
cybersecurity,FA805118F0045,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",162088935.05,CE CS CYBERSECURITY INITIATIVE,Department of Defense,2018-06-29,2024-02-19,
cybersecurity,N0003921F3015,MILLENNIUM CORPORATION,153712626.78,"SYSTEMS ENGINEERING, LOGISTICS, AND CYBERSECURITY (SELOCY)  THE NAVY HAS A REQUIREMENT FOR PROFESSIONAL, PERFORMANCE-BASED SERVICES IN SUPPORT OF THE PMW 240 SEA WARRIOR PROGRAM AND PMW 250 ENTERPRISE SYSTEMS AND SERVICES PROGRAM.",Department of Defense,2021-09-09,2026-09-09,
cybersecurity,HC104719F0002,PERATON INC.,151919894.52,"THE GLOBAL COMMAND AND CONTROL SYSTEM JOINT IS THE DOD JOINT COMMAND AND CONTROL SYSTEM OF RECORD FOR ACHIEVING FULL SPECTRUM DOMINANCE.  THE GCCSJ SYSTEM IS A SUITE OF MISSION APPLICATIONS THAT PROVIDES CRITICAL JOINT WARFIGHTING C2 CAPABILITIES AND IS THE PRINCIPAL FOUNDATION FOR DOMINANT BATTLESPACE AWARENESS, PROVIDING AN INTEGRATED, NEAR REALTIME PICTURE OF THE BATTLESPACE NECESSARY TO CONDUCT JOINT AND MULTINATIONAL OPERATIONS.  GCCSJ PROVIDES A ROBUST AND SEAMLESS C2 CAPABILITY TO THE COMMANDER IN CHIEF, SECRETARY OF DEFENSE, NATIONAL MILITARY COMMAND CENTER, COMBATANT COMMANDERS, JOINT FORCE COMMANDERS, AND SERVICE COMPONENT COMMANDERS.  GCCSJ OFFERS VITAL CONNECTIVITY TO THE SYSTEMS THE JOINT WARFIGHTER USES TO PLAN, EXECUTE, AND MANAGE MILITARY OPERATIONS.  GCCSJ IS A MAJOR INFORMATION TECHNOLOGY INVESTMENT DESIGNATED AS AN ACQUISITION CATEGORY IAC MAJOR AUTOMATED INFORMATION SYSTEM PROGRAM.  THE GCCSJ PROGRAM MANAGEMENT OFFICE IS TASKED TO SUSTAIN AND MAINTAIN THE CURRENT CAPABILITY ENSURING CONTINUED SUPPORT OF JOINT C2 NEEDS ACROSS THE DOD TO INCLUDE THOSE OF THE GCCS FAMILY OF SYSTEMS.  THE INTENT OF THIS FOLLOW ON REQUIREMENT IS TO SUSTAIN AND MAINTAIN THE EXISTING SYSTEM BASELINES THAT THE PMO IS REQUIRED TO KEEP IN AN OPERATIONAL STATE UNTIL THE SYSTEM IS MODERNIZED.  THIS REQUIREMENT IS TO OBTAIN MISSION CRITICAL ENGINEERING, SOFTWARE DEVELOPMENT, AND CYBERSECURITY INFORMATION ASSURANCE SUPPORT FOR THE SUSTAINMENT OF THE EXISTING GCCSJ SYSTEM.  THIS SUPPORT WILL ENABLE GCCSJ TO ACHIEVE STRONGER AND MORE EFFECTIVE SOFTWARE SUSTAINMENT AND MAINTENANCE SERVICES UNDER A SINGLE CONTRACTOR WHO WILL BE RESPONSIBLE FOR EFFECTIVELY EXECUTING THE ASSOCIATED PROCESSES USING AN AGILE DEVELOPMENT METHODOLOGY.",Department of Defense,2018-12-07,2024-02-06,
cybersecurity,140D0420F0335,CENTERPOINT LLC,126584047.73,"CYBERSECURITY SUPPORT SERVICES (CSS) FOR THE U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS), OFFICE OF THE CHIEF INFORMATION OFFICER (OCIO)",Department of the Interior,2020-06-22,2025-12-21,
cybersecurity,W91QVN20F0157,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,115155033.0,"CYBERSECURITY, NETWORK OPERATIONS&MAINTENANCE (O&M) OF INFORMATION TECHNOLOGY SUPPORT FOR USACISA-P",Department of Defense,2020-01-24,2025-07-31,
cybersecurity,N6523623F3039,"KBR WYLE SERVICES, LLC",104768196.96,"DEFENSE HEALTH AGENCY, CYBERSECURITY ASSESSMENT AND AUTHORIZATION SUPPORT",Department of Defense,2023-09-28,2026-09-27,
cybersecurity,89303020FIM000051,ACCENTURE FEDERAL SERVICES LLC,98589403.81,"CBOSS BPA TASK ORDER FOR IM-30 CYBERSECURITY STRATEGY,POLICY, OPERATIONS, ENGINEERING, AND PROGRAM MANAGEMENT FOR THE U.S. DEPARTMENT OF ENERGY (DOE) OFFICE OF CHIEF INFORMATION OFFICER (OCIO/IM-30)",Department of Energy,2020-04-29,2024-04-28,
cybersecurity,N0003917F3010,BOOZ ALLEN HAMILTON INC,90867615.18,"IGF::OT::IGF PROGRAM MANAGEMENT, COST ESTIMATING, CONTRACT MANAGEMENT, ACQUISITION SUPPORT, CYBERSECURITY AND ANALYSIS CAPABILITIES SUPPORT SERVICES FOR PMW/A 170 PROGRAM EXECUTIVE OFFICER (PEO) COMMAND, CONTROL, COMMUNICATIONS, COMPUTERS, AND INTELLIGENCE (C4I), SPAWAR AND FLEET READINESS DIRECTORATE (FRD).",Department of Defense,2017-08-31,2022-08-30,
cybersecurity,1333LB21F00000320,IRON VINE SECURITY LLC,89756387.8,ENTERPRISE CYBERSECURITY SUPPORT SERVICES,Department of Commerce,2021-09-28,2026-03-27,
cybersecurity,N0017821F3010,SIMVENTIONS INC,84592463.94,"CYBERSECURITY, RISK MANAGEMENT, ASSESSMENT, AND AUTHORIZATION, IA OVERSIGHT, CONTINUOUS MONITORING, TECH. SUPPORT AND DOC. SUPPORT TO THE NAVY FOR RDT&E, ANALYSIS, SYS. ENG., INTEGRATION AND CERTIFICATION OF NAVAL WARFARE SYSTEMS AND FLEET SUPPORT.",Department of Defense,2021-07-01,2026-06-30,
cybersecurity,N0003919F3006,BOOZ ALLEN HAMILTON INC,83365341.0,"THE PROGRAM EXECUTIVE OFFICER FOR COMMAND, CONTROL, COMMUNICATIONS, COMPUTERS, AND INTELLIGENCE (PEO C4I), PMW 790, SHORE AND EXPEDITIONARY INTEGRATION PROGRAM OFFICE IS ACQUIRING PROGRAM MANAGEMENT, ACQUISITION MANAGEMENT/CONTRACTS MANAGEMENT, SYSTEM ENGINEERING, CYBERSECURITY, AND FRONT OFFICE SUPPORT SERVICES FOR THE ACQUISITION, LIFE-CYCLE MANAGEMENT, PRODUCTION, ENGINEERING, DELIVERY AND INTEGRATION OF MULTIPLE SHORE AND EXPEDITIONARY C4I SYSTEMS.",Department of Defense,2019-06-27,2024-06-30,
cybersecurity,N6600119F3503,BOOZ ALLEN HAMILTON INC,81916538.45,CYBERSECURITY (CS) / TECHNICAL AUTHORITY (CSTA) TECHNICAL&ENGINEERING SERVICES,Department of Defense,2019-06-19,2024-09-30,
cybersecurity,47QFPA21F0106,"NETCENTRIC TECHNOLOGY, LLC",78029790.29,DOD DHRA DMDC CYBERSECURITY SUPPORT SERVICES,General Services Administration,2021-09-27,2026-09-26,
cybersecurity,FA807519FA022,GEORGIA TECH APPLIED RESEARCH CORP,77095385.62,"CYBERSECURITY SUPPORT FOR COMMAND AND CONTROL (C2) AND NETWORKED SYSTEMS COMMANDER, US PACIFIC FLEET (COMPACFLT) AND PACIFIC MISSILE RANGE FACILITY (PMRF)",Department of Defense,2019-05-09,2023-11-30,
cybersecurity,N0016422F3001,"TRISTAR, INC.",76976010.6,"REQUIREMENT FOR A FIVE (5) YEAR SOFTWARE DEVELOPMENT AND CYBER ENGINEERING SUPPORT FOR EXPEDITIONARY SYSTEMS AND PRODUCT LINES IN DIRECT SUPPORT OF THE COMMAND, CONTROL, COMMUNICATIONS, INTELLIGENCE, (C3I) AND CYBERSECURITY DIVISION (JXY).",Department of Defense,2021-11-30,2026-11-29,
cybersecurity,89303024FIM000144,ACCENTURE FEDERAL SERVICES LLC,72346182.36,"CBOSS BPA TASK ORDER FOR IM-30 CYBERSECURITY STRATEGY, POLICY, OPERATIONS, ENGINEERING, AND PROGRAM MANAGEMENT FOR THE U.S. DEPARTMENT OF ENERGY (DOE) OFFICE OF CHIEF INFORMATION OFFICER (OCIO/IM-30)",Department of Energy,2024-03-29,2026-04-28,
cybersecurity,N0001924C0057,GENERAL DYNAMICS ONE SOURCE LLC,70600856.85,THIS CONTRACT PROCURES TRANSITIONAL INFORMATION TECHNOLOGY (IT) AND INFORMATION ASSURANCE/CYBERSECURITY SERVICES IN SUPPORT OF VIRTUAL ENTERPRISE (JVE) NETWORK AND STANDALONE WORKSTATIONS FOR THE F-35 JOINT STRIKE FIGHTER AIRCRAFT.,Department of Defense,2024-08-01,2026-01-31,
