program_name,program_full_name,category,mention_count
DIA,Defense Intelligence Agency,Agency,1151
ITES,Army IT Enterprise Solutions,Contract Vehicle,767
NGA,National Geospatial-Intelligence Agency,Agency,533
NSA,National Security Agency,Agency,232
DISA,Defense Information Systems Agency,Agency,183
Sentinel,Sentinel,Defense Program,127
AEGIS,AEGIS Combat System,Defense Program,92
TRANSCOM,Transportation Command,General,78
NRO,National Reconnaissance Office,Agency,67
SLS,Space Launch System,Defense Program,47
SeaPort,SeaPort,Contract Vehicle,35
CYBERCOM,Cyber Command,Command,34
Alliant,Alliant,Contract Vehicle,32
Zero Trust,Zero Trust,General,31
SOCOM,Special Operations Command,Command,30
JUSTIFIED,JUSTIFIED,General,30
CENTCOM,Central Command,Command,28
ECMA,Enterprise Cloud Management Agency,General,26
JSF,Joint Strike Fighter,Defense Program,25
B-21,B-21 Raider Bomber Program,Defense Program,25
DTRA,Defense Threat Reduction Agency,Agency,24
I2TS4,I2TS4,General,24
GDIT is looking to cut down on the timeline for start dates by allowing some sites to onboard,GDIT is looking to cut down on the timeline for start dates by allowing some sites to onboard,General,22
OASIS,One Acquisition Solution for Integrated Services,Contract Vehicle,19
NASA,National Aeronautics and Space Administration,Agency,18
INSCOM,Intelligence and Security Command,Command,18
NISC,NISC,General,17
Stilll going to follow up on AEGiS and other,Stilll going to follow up on AEGiS and other,General,16
Finally at the time to difinitize the subcontract with the,Finally at the time to difinitize the subcontract with the,General,16
SPACECOM,Space Command,General,16
F-35,Joint Strike Fighter Program,Defense Program,14
Orion,Orion,General,13
MAINES,MAINES,General,12
JWCC,Joint Warfighting Cloud Capability,Contract Vehicle,12
SIPET,SIPET,General,12
VETS,VETS 2 GWAC,General,12
STRATCOM,Strategic Command,General,12
EAGLE,Enterprise Acquisition Gateway for Leading-Edge Solutions,Contract Vehicle,11
GETS,GETS,General,11
DEOS,DEOS,General,11
JADC2,Joint All-Domain Command and Control,General,11
MCEN,MCEN,General,10
NEST,NEST,General,10
INDOPACOM,Indo-Pacific Command,Command,10
MOJAVE,MOJAVE,General,10
Ryan Rossignol is still onsite at Bragg and there has been great feedback from the program and the,Ryan Rossignol is still onsite at Bragg and there has been great feedback from the program and the,General,10
Army Contracting office,Army Contracting office,General,10
USCG,USCG,General,10
JLTV,Joint Light Tactical Vehicle,Defense Program,9
DCRIOS,DCRIOS,General,9
DEE-,DEE-,General,9
ISEE,ISEE,General,8
NAVI4,NAVI4,General,8
DHS programs,DHS programs,General,8
MISS,MISS,General,8
News letters will start being sent out to contractors and partners that will include,News letters will start being sent out to contractors and partners that will include,General,8
EHRM,EHRM,General,7
FIAR,FIAR,General,7
INSCOM All Hands Meeting for I2TS4,INSCOM All Hands Meeting for I2TS4,General,7
DOMINO,DOMINO,General,7
VANGUARD,VANGUARD,General,7
DASTO,DASTO,General,7
IDIQ,IDIQ,General,6
NARSIL,NARSIL,General,6
IBCS,IBCS,General,6
GDIT,GDIT,General,6
CACI,CACI,General,6
CAIC,CAIC,General,6
HWIL,HWIL,General,6
VMOD,VMOD,General,6
NGEN,NGEN,General,6
All contractors will now most likely be at risk until the I2TS4,All contractors will now most likely be at risk until the I2TS4,General,6
GDIT has made us aware that the I2TS4 contract is an SCA,GDIT has made us aware that the I2TS4 contract is an SCA,General,6
CAOS,CAOS,General,6
FEDSIM,FEDSIM,General,6
SOSI,SOSI,General,6
There is an INSCOM newsletter going out this week to all contractors with,There is an INSCOM newsletter going out this week to all contractors with,General,6
nga and Kevin,nga and Kevin,General,6
nga and Kevin about the,nga and Kevin about the,General,6
army program in the next,army program in the next,General,6
SENSE,SENSE,General,6
MQ-25,MQ-25 Stingray Tanker Drone,General,5
CITS,CITS,General,5
ADVANA,ADVANA,General,5
RITS,RITS,General,5
IRES,IRES,General,5
GDIT is performing certification audits for contractors to make sure every,GDIT is performing certification audits for contractors to make sure every,General,5
BATDOK,BATDOK,General,5
Liam to make sure our current contractors are moved under the new DD254 in ACCS to avoid having the,Liam to make sure our current contractors are moved under the new DD254 in ACCS to avoid having the,General,5
ITES-3S,ITES-3S,General,5
s out to subs with new PO lines for contractors supporting the new I2TS4,s out to subs with new PO lines for contractors supporting the new I2TS4,General,5
SMORS,SMORS,General,5
OUSD,OUSD,General,5
ECMO,Enterprise Cloud Management Office,General,5
HIRT,HIRT,General,5
NICS,NICS,General,5
DOD Programs and Similar Integration,DOD Programs and Similar Integration,General,4
Another Program they will need support is Airdominance,Another Program they will need support is Airdominance,General,4
NSA Sponsorship,NSA Sponsorship,General,4
engage on potential onboarding and see the current status of the,engage on potential onboarding and see the current status of the,General,4
DHS contract,DHS contract,General,4
GSCCE,GSCCE,General,4
PTES,PTES,General,4
DISA Global Boundary,DISA Global Boundary,General,4
Robert is over DTRA and his two main,Robert is over DTRA and his two main,General,4
APEX,APEX,General,4
ALIS,ALIS,General,4
SWDC,SWDC,General,4
They are working on pinpointing a new contract vehicle for all their work as the STS,They are working on pinpointing a new contract vehicle for all their work as the STS,General,4
ACES,ACES,General,4
They are still in the infancy stage of the program with minimal funding released so far for the,They are still in the infancy stage of the program with minimal funding released so far for the,General,4
NHSM,NHSM,General,4
ITEMSS,ITEMSS,General,4
Alliant 2,Alliant 2,General,4
WARHAWK,WARHAWK,General,4
sending him our JWCC MSSA to review the,sending him our JWCC MSSA to review the,General,4
Army moving to JWCC for,Army moving to JWCC for,General,4
SWIB,SWIB,General,4
USDA,USDA,General,4
GDIT is still running through cert and resumes for contractors with 3 of our,GDIT is still running through cert and resumes for contractors with 3 of our,General,4
ALTESS,ALTESS,General,4
MOSSAIC,MOSSAIC,General,4
Army INSCOM,Army INSCOM,General,4
These positions are on the Sentinel,These positions are on the Sentinel,General,4
Contract ends September 30th where it will then be under Agile Defense as the SIMONS,Contract ends September 30th where it will then be under Agile Defense as the SIMONS,General,4
SIMONS,SIMONS,General,4
OBIM,OBIM,General,4
Air Force programs in general are,Air Force programs in general are,General,4
BOSS,BOSS,General,4
SETA,SETA,General,4
but the contract award came in 2019 for a 245 million multiple award,but the contract award came in 2019 for a 245 million multiple award,General,4
NGA office,NGA office,General,4
NGA offices out of St,NGA offices out of St,General,4
NGA and has different leads,NGA and has different leads,General,4
MITS,MITS,General,4
TADS,TADS,General,4
t matter what program but similar,t matter what program but similar,General,4
NAVAIR,NAVAIR,General,4
This change will require training for certain sites and,This change will require training for certain sites and,General,4
of the INSCOM program and due to having this amount of the,of the INSCOM program and due to having this amount of the,General,4
Ryan is setting up Center of Exellences on the program so that,Ryan is setting up Center of Exellences on the program so that,General,4
Ryan will work with us on getting to all the sites to meet managers and,Ryan will work with us on getting to all the sites to meet managers and,General,4
FENS,FENS,General,4
The funding issues still remain for 5 sites due to incremental funding of the program and the,The funding issues still remain for 5 sites due to incremental funding of the program and the,General,4
Air Force programs at Scott AFB,Air Force programs at Scott AFB,General,4
