program_name,mention_count,prime_count,associated_primes
INSCOM,1304,15,"Amazon Web Services, CACI, CSRA, Cisco, Deloitte, General Dynamics, Jacobs, Leidos, Lockheed Martin, ManTech, Microsoft, Oracle, Palo Alto Networks, SAIC, VMware"
DIA,1018,31,"Accenture Federal, Amazon Web Services, BAE Systems, Boeing, Booz Allen Hamilton, CACI, Cisco, Cubic, Dell Technologies, Deloitte, Elastic, General Dynamics, Huntington Ingalls, IBM Federal, Jacobs, Leidos, Lockheed Martin, ManTech, Maximus, Microsoft, Northrop Grumman, Okta, Oracle, Perspecta, Raytheon, Red Hat, SAIC, Salesforce, ServiceNow, VMware, Vertex"
ITES,641,31,"Amazon Web Services, BAE Systems, Boeing, Booz Allen Hamilton, CACI, Cisco, Deloitte, Elastic, General Dynamics, IBM Federal, Jacobs, Kratos, L3Harris, Leidos, Lockheed Martin, MITRE, ManTech, Microsoft, Northrop Grumman, Nutanix, Oracle, Palantir, Palo Alto Networks, Parsons, Perspecta, Raytheon, SAIC, ServiceNow, Splunk, VMware, Vertex"
NGA,448,26,"Accenture Federal, Amazon Web Services, Boeing, Booz Allen Hamilton, CACI, Cisco, Deloitte, General Dynamics, Google, Huntington Ingalls, IBM Federal, Jacobs, L3Harris, Leidos, Lockheed Martin, MITRE, Microsoft, Northrop Grumman, Oracle, Palantir, Palo Alto Networks, Perspecta, Raytheon, SAIC, Sierra Nevada, VMware"
NSA,210,20,"Accenture Federal, Amazon Web Services, Boeing, CACI, Deloitte, General Dynamics, Jacobs, Leidos, Lockheed Martin, Microsoft, NetApp, Northrop Grumman, Oracle, Palantir, Perspecta, Raytheon, SAIC, Salesforce, Serco, Sierra Nevada"
DISA,174,23,"Accenture Federal, Amazon Web Services, BAE Systems, Boeing, Booz Allen Hamilton, CACI, Cisco, Dell Technologies, Deloitte, Engility, General Dynamics, IBM Federal, Leidos, Lockheed Martin, Microsoft, Northrop Grumman, Oracle, Palo Alto Networks, Perspecta, Raytheon, SAIC, ServiceNow, Vencore"
NASA,133,11,"Accenture Federal, Amazon Web Services, Boeing, General Dynamics, Jacobs, Leidos, Lockheed Martin, Microsoft, Raytheon, SAIC, ServiceNow"
DEOS,131,6,"Amazon Web Services, Dell Technologies, General Dynamics, Microsoft, Okta, Red Hat"
Sentinel,116,10,"Amazon Web Services, BAE Systems, Dell Technologies, General Dynamics, Leidos, Lockheed Martin, Microsoft, Northrop Grumman, Raytheon, Red Hat"
MDA,84,11,"Boeing, CACI, General Dynamics, Jacobs, Leidos, Lockheed Martin, Microsoft, Northrop Grumman, Parsons, Raytheon, SAIC"
AEGIS,76,8,"Amazon Web Services, Jacobs, Leidos, Lockheed Martin, Northrop Grumman, Raytheon, SAIC, ServiceNow"
F-35,63,8,"Booz Allen Hamilton, Deloitte, General Dynamics, Jacobs, Lockheed Martin, Northrop Grumman, Raytheon, Sierra Nevada"
