program_name,prime_contractor,mention_count,tech_keywords,expertise_area
ITES,Unknown,767,,General IT Services
DISA,Unknown,183,,General IT Services
Sentinel,Unknown,127,,General IT Services
AEGIS,Unknown,92,,General IT Services
SLS,Unknown,47,,General IT Services
SeaPort,Unknown,35,,General IT Services
Alliant,Unknown,32,,General IT Services
SOCOM,Unknown,30,,Cybersecurity
JUSTIFIED,Unknown,30,,General IT Services
CENTCOM,Unknown,28,,General IT Services
ECMA,Unknown,26,,General IT Services
JSF,Unknown,25,,General IT Services
B-21,Unknown,25,,General IT Services
DTRA,Unknown,24,,General IT Services
I2TS4,Unknown,24,,General IT Services
GDIT is looking to cut down on the timeline for start dates by allowing some sites to onboard,Unknown,22,,General IT Services
OASIS,Unknown,19,,General IT Services
NASA,Unknown,18,,General IT Services
INSCOM,Unknown,18,,General IT Services
Engineering,Unknown,17,,Systems Engineering
NISC,Unknown,17,,General IT Services
Stilll going to follow up on AEGiS and other,Unknown,16,,General IT Services
Finally at the time to difinitize the subcontract with the,Unknown,16,,General IT Services
F-35,Unknown,14,,General IT Services
CHS 6,Unknown,14,,General IT Services
cloud,Unknown,13,,Cloud Services
Support,Unknown,13,,Operations Support
MAINES,Unknown,12,,AI/ML & Analytics
JWCC,Unknown,12,,General IT Services
SIPET,Unknown,12,,General IT Services
MD supporting the new CBRND,Unknown,12,,Operations Support
EAGLE,Unknown,11,,General IT Services
GETS,Unknown,11,,General IT Services
DEOS,Unknown,11,,General IT Services
MCEN,Unknown,10,,General IT Services
NEST,Unknown,10,,General IT Services
INDOPACOM,Unknown,10,,General IT Services
MOJAVE,Unknown,10,,General IT Services
Ryan Rossignol is still onsite at Bragg and there has been great feedback from the program and the,Unknown,10,,General IT Services
Army Contracting office,Unknown,10,,General IT Services
GDIT continues to provide Tanner and I will positive feedback on how we are helping support the,Unknown,10,,Operations Support
The main issue comes from contractors CAC cards as they have to be revoked in order for the,Unknown,10,,AI/ML & Analytics
