Job Title,Job Location,Matched Programs,Target Titles (Bullhorn),LinkedIn Search,Match Score
SYSTEMS ADMINISTRATOR,"San Diego, California",GBS (Global Broadcast Service); Global Broadcast Service; MSS Smart Systems (Palantir contract),"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (San Diego)",7
TOP SECRET SYSTEM ADMIN,"Niskayuna, New York",Battlefield Information Collection & Exploitation System; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (GDIT OR Leidos) AND (Niskayuna)",4
BUYER'S TECHNICAL WRITER - SECRET,"Colorado Springs, Colorado",Army Enterprise Service Management Framework; BICES Defense Intelligence Agency Variant; Protected Satcom & Tactical Waveform Communications,"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (CACI + Leidos + Peraton + SAIC (various subs) OR SAIC) AND (Colorado Springs)",12
SECRET MICROSOFT SYSTEMS ENGINEER,"Goose Creek, South Carolina",CDAO Advanced AI Tools (Scale AI OTA); GBS (Global Broadcast Service); Global Broadcast Service,"Engineering Manager, Technical Lead, Program Manager, Hiring Manager","""Engineering Manager"" AND (Scale AI OR L3Harris (historical)) AND (Goose Creek)",7
REGISTERED NURSE,"Muscatine, Iowa",DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Muscatine)",4
TRANSITION TO OPERATIONS ENGINEER,"El Segundo, California","EDIS – Engineering, Development, Integration & Sustainment; Global Service Management – Operations II; GBS (Global Broadcast Service)","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","""Engineering Manager"" AND (SAIC OR Leidos) AND (El Segundo)",8
WELDER,"Huntsville, Alabama",DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Huntsville)",4
MARINE ELECTRICIAN,"Kings Bay, Georgia",DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (Leidos) AND (Kings Bay)",4
STRUCTURAL WELDER,"Kings Bay, Georgia",Global Service Management – Operations II; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (Leidos) AND (Kings Bay)",6
2ND SHIFT CNC MACHINIST LEVEL 5,"Huntsville, Alabama",DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (Leidos) AND (Huntsville)",4
GNC ENGINEER (FIXED WING),"Huntsville, Alabama",Army Missile & Space R&D Support (Huntsville); DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),"Engineering Manager, Technical Lead, Program Manager, Hiring Manager","""Engineering Manager"" AND (Dynetics; Northrop teams OR Leidos) AND (Huntsville)",4
PRICING MANAGER,"Huntsville, Alabama",DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,"Director, VP, Senior Manager, Program Director","""Director"" AND (L3Harris (historical) OR Leidos) AND (Huntsville)",4
SECRET CUSTOMER SUPPORT ADMIN,"Vista, California",GBS (Global Broadcast Service); Global Broadcast Service; Global Service Management – Operations II,"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Vista)",7
SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3,"Palmdale, California",GBS (Global Broadcast Service); Global Broadcast Service; CDAO Advanced AI Tools (Scale AI OTA),"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Palmdale)",7
SYSTEMS ENGINEER - LEVEL 3,"Anaheim, California",GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,"Engineering Manager, Technical Lead, Program Manager, Hiring Manager","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (Anaheim)",12
TSSCI TIER 1 NETWORK MONITOR,"Beale AFB, California","GBS (Global Broadcast Service); Global Broadcast Service; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Beale AFB)",7
SHIPWRIGHT,"Kings Bay, Georgia",DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,"Hiring Manager, Program Manager, Team Lead, Recruiter","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Kings Bay)",4
CYBER SECURITY ENGINEER,"Groton, Connecticut",Army Enterprise Service Management Framework; Protected Satcom & Tactical Waveform Communications; Global Service Management – Operations II,"Engineering Manager, Technical Lead, Program Manager, Hiring Manager","""Engineering Manager"" AND (L3Harris OR SAIC) AND (Groton)",9
SAFETY ENGINEER,"El Segundo, California",GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,"Engineering Manager, Technical Lead, Program Manager, Hiring Manager","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (El Segundo)",7
