bd_score,bd_reasons,recipient_name,recipient_uei,piid,award_amount,description,awarding_agency,sub_agency,naics_code,psc_code,lifecycle_phase,is_base_year,runway_years,start_date,end_date,pop_city,pop_state,is_it_services,matched_jobs,competitors_in_agency
98,"DoD; Opt Yr 1; 3.9yr Runway; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,,7745579797.03,"EXECUTE PHASED ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) MISSILE PRODUCTION BY PROVIDING INCIDENTAL SERVICES, HARDWARE, FACILITIES, EQUIPMENT, AND TECHNICAL, PLANNING, MANAGEMENT, AND MANUFACTURING EFFORTS.",Department of Defense,Department of the Army,,,Option Year 1,False,3.9,2024-06-28,2029-12-31,,TX,False,8,BELCAN; Belcan
91,"DoD; Opt Yr 1; 3.5yr Runway; $500M+; Competitors: BELCAN, Belcan; 1 Jobs",LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,,5346348092.01,LONG RANGE ANTI-SHIP MISSILE/JOINT AIR-TO-SURFACE STANDOFF MISSILE LARGE LOT PROCUREMENT,Department of Defense,Department of the Air Force,,,Option Year 1,False,3.5,2024-09-27,2029-07-31,,FL,False,1,BELCAN; Belcan
91,"DoD; Opt Yr 1; 7.7yr Runway; $500M+; Competitors: BELCAN, Belcan; 1 Jobs",LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,4697952588.0,CY24 AVSC SUPPLY SUPPORT,Department of Defense,Department of the Navy,,,Option Year 1,False,7.7,2024-06-28,2033-09-30,,VA,False,1,BELCAN; Belcan
88,"DoD; IT Services; $500M+; Competitors: BELCAN, Belcan; 8 Jobs","HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,,19414789943.3,"PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTEM IN OPERATING AN INTEGRATED HEALTHCARE DELIVERY SYSTEM COMBINING RESOURCES OF THE MILITARY'S DIRECT MEDICAL CARE SYSTEM AND THE CONTRACTORS MANAGED CARE SUPPORT TO PROVIDE HEALTH,",Department of Defense,Defense Health Agency,,,Late Stage,False,-0.4,2010-05-13,2025-08-25,,CA,True,8,BELCAN; Belcan
88,"DoD; IT Services; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",THE BOEING COMPANY,SML4NN2CT556,,6466627868.26,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; 3) TEST; 4) SYSTEMS ENGINEERING, INTEGRATION AND CONFIGURATION MANAGEMENT; 5) EQUIPMENT MANUFACTURIN",Department of Defense,Missile Defense Agency,,,Late Stage,False,-0.1,2011-12-30,2025-12-31,,AL,True,8,BELCAN; Belcan
88,"DoD; IT Services; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,,6104259192.82,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATE",Department of Defense,Department of the Army,,,Late Stage,False,-0.3,2015-08-25,2025-09-25,,WI,True,8,BELCAN; Belcan
88,"DoD; IT Services; $500M+; Competitors: BELCAN, Belcan; 8 Jobs","HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,,19414789943.3,"PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTEM IN OPERATING AN INTEGRATED HEALTHCARE DELIVERY SYSTEM COMBINING RESOURCES OF THE MILITARY'S DIRECT MEDICAL CARE SYSTEM AND THE CONTRACTORS MANAGED CARE SUPPORT TO PROVIDE HEALTH,",Department of Defense,Defense Health Agency,,,Late Stage,False,-0.4,2010-05-13,2025-08-25,,CA,True,8,BELCAN; Belcan
88,"DoD; IT Services; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",THE BOEING COMPANY,SML4NN2CT556,,6466627868.26,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; 3) TEST; 4) SYSTEMS ENGINEERING, INTEGRATION AND CONFIGURATION MANAGEMENT; 5) EQUIPMENT MANUFACTURIN",Department of Defense,Missile Defense Agency,,,Late Stage,False,-0.1,2011-12-30,2025-12-31,,AL,True,8,BELCAN; Belcan
88,"DoD; IT Services; $500M+; Competitors: BELCAN, Belcan; 8 Jobs",OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,,6104259192.82,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATE",Department of Defense,Department of the Army,,,Late Stage,False,-0.3,2015-08-25,2025-09-25,,WI,True,8,BELCAN; Belcan
88,"DoD; IT Services; $500M+; Competitors: BELCAN, Belcan; 8 Jobs","HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,,19414789943.3,"PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTEM IN OPERATING AN INTEGRATED HEALTHCARE DELIVERY SYSTEM COMBINING RESOURCES OF THE MILITARY'S DIRECT MEDICAL CARE SYSTEM AND THE CONTRACTORS MANAGED CARE SUPPORT TO PROVIDE HEALTH,",Department of Defense,Defense Health Agency,,,Late Stage,False,-0.4,2010-05-13,2025-08-25,,CA,True,8,BELCAN; Belcan
