competitor,award_id,award_amount,awarding_agency,award_description,matched_program,matched_program_acronym,matched_program_prime,match_score,pop_city,pop_state
TEKsystems,75N94018P00522,0.0,Department of Health and Human Services,ACUTEKSYSTEMS LLC:1247268 [18-011901],NARSIL – Advanced Research for System Intelligence & Learning,,,3,,FL
TEKSYSTEMS,75N94018P00522,0.0,Department of Health and Human Services,ACUTEKSYSTEMS LLC:1247268 [18-011901],NARSIL – Advanced Research for System Intelligence & Learning,,,3,,FL
Belcan,H9240420F0286,58558027.52,Department of Defense,LABOR-GLOBAL FIELD SERVICE ENGINEERS,DISA Global Service Mgmt – Ops II,,,2,,DC
Belcan,W56KGY21F0025,41023021.87,Department of Defense,TASK ORDER AWARD FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE (SETA) SUPPORT SERVICES FOR PRODUCT MANAGER (PDM) MULTI-MISSION SURVEILLANCE SYSTEMS,16th Air Force Mission IT Support,,,2,,VA
Belcan,H9241525FE009,5828834.94,Department of Defense,GLOBAL FIELD SERVICE ENGINEERS BRIDGE TASK ORDER,DISA Global Service Mgmt – Ops II,,,2,,FL
Belcan,47QFMA18F0027,78235164.11,General Services Administration,MISSION COMMAND SUPPORT CENTER,STRATCOM Mission Readiness Support,,,4,,MD
Belcan,H9240420F0286,58558027.52,Department of Defense,LABOR-GLOBAL FIELD SERVICE ENGINEERS,DISA Global Service Mgmt – Ops II,,,2,,DC
Belcan,273FCC18F0022,44894041.11,Federal Communications Commission,IT OPERATIONS SUPPORT SERVICES FOR THE FCC.,STRATCOM Mission Readiness Support,,,3,,VA
Belcan,W56KGY21F0025,41023021.87,Department of Defense,TASK ORDER AWARD FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE (SETA) SUPPORT SERVICES FOR PRODUCT MANAGER (PDM) MULTI-MISSION SURVEILLANCE SYSTEMS,16th Air Force Mission IT Support,,,2,,VA
Belcan,M0026418F0164,15760088.74,Department of Defense,CYBERSECURITY AND CYBERSPACE DEFENSE SUPPORT SERVICES,Air Force SAP Security Support Services,,,3,,VA
Belcan,19FS1A18F0024,14180650.04,Department of State,OMIS IT SUPPORT SERVICES,AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,,,2,,VA
Belcan,DU100F16T00009,6890580.5,Department of Housing and Urban Development,CYBERSECURITY FRAMEWORK PROGRAM IMPLEMENTATION IGF::OT::IGF,Air Force Cloud & Cyber Support Program,,,2,,DC
Belcan,H9240419F0065,1541488.94,Department of Defense,CHIEF DATA OFFICE SUPPORT - LABOR,DISA Enterprise IT Support / Cloud Support BPA,,,2,,FL
Belcan,47QFMA18F0027,78235164.11,General Services Administration,MISSION COMMAND SUPPORT CENTER,STRATCOM Mission Readiness Support,,,4,,MD
Belcan,H9240420F0286,58558027.52,Department of Defense,LABOR-GLOBAL FIELD SERVICE ENGINEERS,DISA Global Service Mgmt – Ops II,,,2,,DC
Belcan,273FCC18F0022,44894041.11,Federal Communications Commission,IT OPERATIONS SUPPORT SERVICES FOR THE FCC.,STRATCOM Mission Readiness Support,,,3,,VA
Belcan,W56KGY21F0025,41023021.87,Department of Defense,TASK ORDER AWARD FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE (SETA) SUPPORT SERVICES FOR PRODUCT MANAGER (PDM) MULTI-MISSION SURVEILLANCE SYSTEMS,16th Air Force Mission IT Support,,,2,,VA
Belcan,M0026418F0164,15760088.74,Department of Defense,CYBERSECURITY AND CYBERSPACE DEFENSE SUPPORT SERVICES,Air Force SAP Security Support Services,,,3,,VA
Belcan,19FS1A18F0024,14180650.04,Department of State,OMIS IT SUPPORT SERVICES,AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,,,2,,VA
Belcan,TCC17HQG0063,11197471.8,Department of the Treasury,IGF::CT::IGF SERVICE DESK SUPPORT SERVICES,AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,,,2,,DC
Belcan,2031ZA18F00523,7020432.16,Department of the Treasury,IGF::OT::IGF  WEB APPLICATION SUPPORT SERVICES CYRBYME-C,AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,,,2,,DC
Belcan,DU100F16T00009,6890580.5,Department of Housing and Urban Development,CYBERSECURITY FRAMEWORK PROGRAM IMPLEMENTATION IGF::OT::IGF,Air Force Cloud & Cyber Support Program,,,2,,DC
Belcan,273FCC23F0021,5648980.33,Federal Communications Commission,"SERVICE DESK, DATACENTER, AND NETWORK OPERATIONS SUPPORT SERVICES.",STRATCOM Mission Readiness Support,,,3,,DC
Belcan,HHS0000,3573469.2,Department of Health and Human Services,INCREMENTAL FUNDING FOR THE CONSOLIDATED ORA APPLICATION HELPDESK (CORAAH),NARSIL – Advanced Research for System Intelligence & Learning,,,2,,MD
Belcan,47QFPA19F0080,3391460.28,General Services Administration,ANGRC INFORMATION ASSURANCE SUPPORT,STRATCOM Mission Readiness Support,,,3,,MD
Belcan,47QFDA21F0004,2655708.03,General Services Administration,GINNIE MAE CYBE SECURITY RECOMPETE,NARSIL – Advanced Research for System Intelligence & Learning,,,2,,DC
Belcan,H9240419F0065,1541488.94,Department of Defense,CHIEF DATA OFFICE SUPPORT - LABOR,DISA Enterprise IT Support / Cloud Support BPA,,,2,,FL
Belcan,HHSH230F5002,933605.69,Department of Health and Human Services,NHSC RECORDS MANAGEMENT,NARSIL – Advanced Research for System Intelligence & Learning,,,2,,MD
Belcan,2031ZA20F00125,459868.65,Department of the Treasury,SERENA APPLICATION&DATA EXPORT SUPPORT SERVICES,AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,,,2,,VA
BELCAN,H9240420F0286,58558027.52,Department of Defense,LABOR-GLOBAL FIELD SERVICE ENGINEERS,DISA Global Service Mgmt – Ops II,,,2,,DC
BELCAN,W56KGY21F0025,41023021.87,Department of Defense,TASK ORDER AWARD FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE (SETA) SUPPORT SERVICES FOR PRODUCT MANAGER (PDM) MULTI-MISSION SURVEILLANCE SYSTEMS,16th Air Force Mission IT Support,,,2,,VA
BELCAN,H9241525FE009,5828834.94,Department of Defense,GLOBAL FIELD SERVICE ENGINEERS BRIDGE TASK ORDER,DISA Global Service Mgmt – Ops II,,,2,,FL
BELCAN,47QFMA18F0027,78235164.11,General Services Administration,MISSION COMMAND SUPPORT CENTER,STRATCOM Mission Readiness Support,,,4,,MD
BELCAN,H9240420F0286,58558027.52,Department of Defense,LABOR-GLOBAL FIELD SERVICE ENGINEERS,DISA Global Service Mgmt – Ops II,,,2,,DC
BELCAN,273FCC18F0022,44894041.11,Federal Communications Commission,IT OPERATIONS SUPPORT SERVICES FOR THE FCC.,STRATCOM Mission Readiness Support,,,3,,VA
BELCAN,W56KGY21F0025,41023021.87,Department of Defense,TASK ORDER AWARD FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE (SETA) SUPPORT SERVICES FOR PRODUCT MANAGER (PDM) MULTI-MISSION SURVEILLANCE SYSTEMS,16th Air Force Mission IT Support,,,2,,VA
BELCAN,M0026418F0164,15760088.74,Department of Defense,CYBERSECURITY AND CYBERSPACE DEFENSE SUPPORT SERVICES,Air Force SAP Security Support Services,,,3,,VA
BELCAN,19FS1A18F0024,14180650.04,Department of State,OMIS IT SUPPORT SERVICES,AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,,,2,,VA
BELCAN,DU100F16T00009,6890580.5,Department of Housing and Urban Development,CYBERSECURITY FRAMEWORK PROGRAM IMPLEMENTATION IGF::OT::IGF,Air Force Cloud & Cyber Support Program,,,2,,DC
BELCAN,H9240419F0065,1541488.94,Department of Defense,CHIEF DATA OFFICE SUPPORT - LABOR,DISA Enterprise IT Support / Cloud Support BPA,,,2,,FL
BELCAN,47QFMA18F0027,78235164.11,General Services Administration,MISSION COMMAND SUPPORT CENTER,STRATCOM Mission Readiness Support,,,4,,MD
BELCAN,H9240420F0286,58558027.52,Department of Defense,LABOR-GLOBAL FIELD SERVICE ENGINEERS,DISA Global Service Mgmt – Ops II,,,2,,DC
BELCAN,273FCC18F0022,44894041.11,Federal Communications Commission,IT OPERATIONS SUPPORT SERVICES FOR THE FCC.,STRATCOM Mission Readiness Support,,,3,,VA
BELCAN,W56KGY21F0025,41023021.87,Department of Defense,TASK ORDER AWARD FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE (SETA) SUPPORT SERVICES FOR PRODUCT MANAGER (PDM) MULTI-MISSION SURVEILLANCE SYSTEMS,16th Air Force Mission IT Support,,,2,,VA
BELCAN,M0026418F0164,15760088.74,Department of Defense,CYBERSECURITY AND CYBERSPACE DEFENSE SUPPORT SERVICES,Air Force SAP Security Support Services,,,3,,VA
BELCAN,19FS1A18F0024,14180650.04,Department of State,OMIS IT SUPPORT SERVICES,AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,,,2,,VA
BELCAN,TCC17HQG0063,11197471.8,Department of the Treasury,IGF::CT::IGF SERVICE DESK SUPPORT SERVICES,AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,,,2,,DC
BELCAN,2031ZA18F00523,7020432.16,Department of the Treasury,IGF::OT::IGF  WEB APPLICATION SUPPORT SERVICES CYRBYME-C,AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,,,2,,DC
BELCAN,DU100F16T00009,6890580.5,Department of Housing and Urban Development,CYBERSECURITY FRAMEWORK PROGRAM IMPLEMENTATION IGF::OT::IGF,Air Force Cloud & Cyber Support Program,,,2,,DC
BELCAN,273FCC23F0021,5648980.33,Federal Communications Commission,"SERVICE DESK, DATACENTER, AND NETWORK OPERATIONS SUPPORT SERVICES.",STRATCOM Mission Readiness Support,,,3,,DC
BELCAN,HHS0000,3573469.2,Department of Health and Human Services,INCREMENTAL FUNDING FOR THE CONSOLIDATED ORA APPLICATION HELPDESK (CORAAH),NARSIL – Advanced Research for System Intelligence & Learning,,,2,,MD
BELCAN,47QFPA19F0080,3391460.28,General Services Administration,ANGRC INFORMATION ASSURANCE SUPPORT,STRATCOM Mission Readiness Support,,,3,,MD
BELCAN,47QFDA21F0004,2655708.03,General Services Administration,GINNIE MAE CYBE SECURITY RECOMPETE,NARSIL – Advanced Research for System Intelligence & Learning,,,2,,DC
BELCAN,H9240419F0065,1541488.94,Department of Defense,CHIEF DATA OFFICE SUPPORT - LABOR,DISA Enterprise IT Support / Cloud Support BPA,,,2,,FL
BELCAN,HHSH230F5002,933605.69,Department of Health and Human Services,NHSC RECORDS MANAGEMENT,NARSIL – Advanced Research for System Intelligence & Learning,,,2,,MD
