active,agency_name,department_name,extraction_date,first_notice_date,is_it_services,naics_code,notice_code,notice_type,office_name,opportunity_id,pop_city,pop_state,psc_code,response_deadline,sam_url,set_aside,solicitation_number,title
True,Washington Headquarters Services,Department of Defense,2026-01-21,2025-03-28T21:23:46+00:00,False,541715,r,Sources Sought,WASHINGTON HEADQUARTERS SERVICES,0ea90195-3141-4368-9834-c548a24f2544,,,1340,2025-04-30T16:00:00+00:00,https://sam.gov/opp/69582b8e37ef452490c509b3b3e204fc/view,,HQ003425RFISRMETC,Solid Rocket Motors Emerging Capabilities
True,Department of the Army,Department of Defense,2026-01-21,2025-01-15T20:39:17+00:00,False,236220,o,Solicitation,W076 ENDIST FT WORTH,4ca5e88a-5f2b-48de-b6d0-883e9dc6e29a,,,Y1GZ,2025-04-25T16:00:00+00:00,https://sam.gov/opp/ea699bb11f3343ebbf528388d4d059af/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",W9126G24R0001,B-21 LRS FUELS ADMIN/LAB AND REFUELER TRUCK YARD
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T09:36:40+00:00,False,332119,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,086025ca-d6fd-466c-a334-2bf393406408,,,5365,2025-05-12T20:30:00+00:00,https://sam.gov/opp/040b67fab67e4fad8ebe30b2c69e8ad0/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD23,HOIST RING
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T09:24:46+00:00,False,332119,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,0206e3f1-97fe-4e5d-8b70-7c7e02abda85,,,5315,2025-05-12T20:30:00+00:00,https://sam.gov/opp/09f819d3f4b341a9bb41a66433763c0d/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD24,"PIN,STRAIGHT"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-09T07:33:48+00:00,False,333998,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,c49e0587-9fc6-4591-8f89-b5a7a27f217e,,,99,2025-04-29T20:30:00+00:00,https://sam.gov/opp/c49e05879fc645918f89b5a7a27f217e/view,,N0010425QAD16,LOCK PIN
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-16T10:50:04+00:00,False,333998,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,975816d7-ea6a-4e10-8fff-7384c963faa3,,,99,2025-04-25T20:30:00+00:00,https://sam.gov/opp/0049196193154e89b0ed9a4cb756eddb/view,,N0010425QAC79,"WASHER,SEALING"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T08:29:50+00:00,False,334511,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,a49030ab-a628-4dbd-8c45-cb7d4c496e83,,,6605,2025-05-12T20:30:00+00:00,https://sam.gov/opp/6e4b819de68d4c339a71849da6647d0d/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD20,"WRENCH, TORQUE"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T09:10:15+00:00,False,332722,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,5a100471-7ff5-439c-b344-d08f468f9453,,,5305,2025-05-12T20:30:00+00:00,https://sam.gov/opp/757e26d0f09b46acbf3e808522534cd5/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD18,"SCREW,SELF-LOCKING"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T08:41:02+00:00,False,339991,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,098b1125-6e03-4b46-9479-923348195c31,,,5330,2025-05-12T20:30:00+00:00,https://sam.gov/opp/bb5ad2e3dd054d6ba2f3ece4b4119090/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD21,ELEMENT/SEAL
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T08:24:57+00:00,False,332722,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,709b7f0e-7382-4611-b27d-1aeacce31a64,,,5305,2025-04-30T20:30:00+00:00,https://sam.gov/opp/37e557ea0a1f4c8fb526d8e023ef63ff/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD17,"SCREW,TAPPING,THREA"
True,Department of the Air Force,Department of Defense,2026-01-21,2025-04-10T14:27:10+00:00,True,513210,s,Special Notice,FA5000  673 CONS LGC,b9598c76-bb12-4997-b477-e513c3581157,JBER,AK,DA01,2025-04-24T15:00:00+00:00,https://sam.gov/opp/ede4be7378e3422490c598650193341f/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",FA500025ASCOT1,"NOTICE OF INTENT TO AWARD SINGLE SOURCE to PLEXSYS Interface Products, Inc. for Advanced Simulation Combat Operations Trainer (ASCOT) and Direct Link Interface (DLI) systems software support."
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-11T15:04:09+00:00,False,533110,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,3e93556a-ec44-407b-8650-df6d828fab8c,,,5935,2025-04-18T20:30:00+00:00,https://sam.gov/opp/1fa8487477814339a8889164ad1dfe75/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAC66,FUOI CNCTR ADPTR CB
True,Department of the Navy,Department of Defense,2026-01-21,2024-05-24T07:53:10+00:00,False,333998,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,984bf854-3ba6-422a-8b2e-114a38d361a6,,,99,2024-11-15T20:30:00+00:00,https://sam.gov/opp/dbe408ed15764323bc7aba9acd1fa72a/view,,N0010424QAC54,EXPRESS CARD
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-09T08:20:38+00:00,False,333914,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,a2671a9f-94d1-48ee-a249-945c4025f848,,,4310,2025-04-30T20:00:00+00:00,https://sam.gov/opp/4066ffcb94af4339b647e61584439eed/view,,N0010425RJA65,"43--COMPRESSOR UNIT,REC, IN REPAIR/MODIFICATION OF"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-09T08:23:05+00:00,False,333914,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,f85833a3-79c1-41f1-b226-c06ca921f5ee,,,4310,2025-05-30T20:00:00+00:00,https://sam.gov/opp/77c16ef318ed48ee88e87e43456ff13a/view,,N0010425RJA70,"43--COMPRESSOR UNIT,REC"
True,Washington Headquarters Services,Department of Defense,2026-01-21,2025-04-17T19:13:13+00:00,False,522390,r,Sources Sought,WASHINGTON HEADQUARTERS SERVICES,7c6593f6-1d18-43f5-9f42-a2d9986a7927,Alexandria,,,2025-05-05T19:00:00+00:00,https://sam.gov/opp/7c6593f61d1843f59f42a2d9986a7927/view,,AM010720251343,DOD OSC Federal Credit Program Underwriting Support Services
True,Defense Health Agency,Department of Defense,2026-01-21,2025-03-27T22:06:35+00:00,False,325412,o,Solicitation,DEFENSE HEALTH AGENCY,07511346-d85f-4616-97f9-a92257d48608,San Antonio,TX,6505,2025-04-24T17:00:00+00:00,https://sam.gov/opp/73d76da370384b08ab5f2628a51432b0/view,,HT9402-25-Q-9203,Department of Defense Pharmacy Uniform Formulary Blanket Purchase Agreement/Uniform Formulary Additional Discount Program
True,Department of the Navy,Department of Defense,2026-01-21,2025-03-04T09:55:05+00:00,False,334515,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,83d93e4f-10c1-4d7f-9ac4-7fe3f1da6cf7,,,7E20,2025-05-15T20:30:00+00:00,https://sam.gov/opp/60230ad5ea09445195c75e8d0e8a2fad/view,,N0010425QNA69,"70--SERVER,AUTOMATIC DA- AND SIMILAR REPLACEMENT PARTS, IN REPAIR/MODIFICATION OF"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-17T09:44:05+00:00,False,334514,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,bb492d01-b7e3-4d93-bf4c-090ff517a28d,,,6680,2025-05-07T20:30:00+00:00,https://sam.gov/opp/bb492d01b7e34d93bf4c090ff517a28d/view,,N0010425QSB47,COMM CLEANING KIT
True,Department of the Navy,Department of Defense,2026-01-21,2025-02-14T14:32:47+00:00,False,333998,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,8db7a706-2e9d-4160-941b-282ccda7d228,,,3408,2025-04-10T20:30:00+00:00,https://sam.gov/opp/2bacef6c43b04679b94fd2d0d00949f4/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAB71,BUMPER PAD
True,Defense Logistics Agency,Department of Defense,2026-01-21,2025-04-09T08:39:19+00:00,False,333914,o,Solicitation,SPRMM1 DLA MECHANICSBURG,85c16a89-656f-42c5-8967-8027f6c5222a,,,4320,2025-05-09T20:30:00+00:00,https://sam.gov/opp/85c16a89656f42c589678027f6c5222a/view,,SPRMM125QHF73,"PUMP ASSY,CENTRFUGL"
True,Defense Health Agency,Department of Defense,2026-01-21,2025-04-10T18:18:27+00:00,False,813920,s,Special Notice,DEFENSE HEALTH AGENCY,ff1b8ca9-0173-4bdf-944d-35e9bd25f3f9,Oakbrook Terrace,IL,R420,2025-04-25T20:00:00+00:00,https://sam.gov/opp/ff1b8ca901734bdf944d35e9bd25f3f9/view,,HT001125RFI0217,Request for Information - Healthcare Facilities Accreditation Services
True,Defense Logistics Agency,Department of Defense,2026-01-21,2025-04-10T13:27:14+00:00,False,811310,r,Sources Sought,DLA DISTRIBUTION,625b9354-8dfa-43e1-bd11-622ed1ef8387,New Cumberland,PA,J039,2025-04-25T17:00:00+00:00,https://sam.gov/opp/8591a7195a5840a2b42a7f448166f66c/view,,RFI-AMHE,RFI -AMHE Enterprise Support & OT/Cybersecurity Serviceability
