competitor,fiscal_year,award_id,piid,recipient_name,award_amount,description,awarding_agency,awarding_sub_agency,start_date,end_date,pop_city,pop_state,naics_code,psc_code
TEKsystems,2022,75N94018P00522,,SIMPLY GROUP II LLC,0.0,ACUTEKSYSTEMS LLC:1247268 [18-011901],Department of Health and Human Services,National Institutes of Health,2018-08-05,2023-06-30,,FL,,
TEKsystems,2022,140F0721P0043,,SIMPLY GROUP II LLC,0.0,FORENSIC REVIEW SOFTWARE/HARDWARE PLA,Department of the Interior,U.S. Fish and Wildlife Service,2021-07-01,2021-09-01,,FL,,
TEKSYSTEMS,2022,75N94018P00522,,SIMPLY GROUP II LLC,0.0,ACUTEKSYSTEMS LLC:1247268 [18-011901],Department of Health and Human Services,National Institutes of Health,2018-08-05,2023-06-30,,FL,,
TEKSYSTEMS,2022,140F0721P0043,,SIMPLY GROUP II LLC,0.0,FORENSIC REVIEW SOFTWARE/HARDWARE PLA,Department of the Interior,U.S. Fish and Wildlife Service,2021-07-01,2021-09-01,,FL,,
Belcan,2024,H9240420F0286,,"BELCAN GOVERNMENT SOLUTIONS, INC.",58558027.52,LABOR-GLOBAL FIELD SERVICE ENGINEERS,Department of Defense,U.S. Special Operations Command,2020-09-25,2025-03-27,,DC,,
Belcan,2024,W56KGY21F0025,,"BELCAN GOVERNMENT SOLUTIONS, INC.",41023021.87,TASK ORDER AWARD FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE (SETA) SUPPORT SERVICES FOR PRODUCT MANAGER (PDM) MULTI-MISSION SURVEILLANCE SYSTEMS (M2S2).,Department of Defense,Department of the Army,2021-01-21,2025-12-20,,VA,,
Belcan,2024,H9240421F0001,,"BELCAN GOVERNMENT SOLUTIONS, INC.",17991803.02,OMEN,Department of Defense,U.S. Special Operations Command,2020-11-01,2025-10-31,,FL,,
Belcan,2024,H9240420F0215,,"BELCAN GOVERNMENT SOLUTIONS, INC.",11174849.4,USASOC HQ APP DEV LABOR,Department of Defense,U.S. Special Operations Command,2020-08-01,2023-07-31,,NC,,
Belcan,2024,H9241525FE009,,"BELCAN GOVERNMENT SOLUTIONS, INC.",5828834.94,GLOBAL FIELD SERVICE ENGINEERS BRIDGE TASK ORDER,Department of Defense,U.S. Special Operations Command,2025-03-28,2025-07-27,,FL,,
Belcan,2024,H9240420F0001,,"BELCAN GOVERNMENT SOLUTIONS, INC.",4488726.72,RDT&E - SOFTWARE SYSTEMS ENGINEER SR,Department of Defense,U.S. Special Operations Command,2019-11-05,2021-07-28,,FL,,
Belcan,2024,FA850524F0022,,"BELCAN GOVERNMENT SOLUTIONS, INC.",2409043.0,F-15 AIRCRAFT ELECTRONICS VULNERABILITY ASSESSMENT,Department of Defense,Department of the Air Force,2024-09-30,2029-09-29,,IN,,
Belcan,2023,47QFMA18F0027,,"BELCAN GOVERNMENT SOLUTIONS, INC.",78235164.11,MISSION COMMAND SUPPORT CENTER,General Services Administration,Federal Acquisition Service,2018-06-20,2023-09-28,,MD,,
Belcan,2023,H9240420F0286,,"BELCAN GOVERNMENT SOLUTIONS, INC.",58558027.52,LABOR-GLOBAL FIELD SERVICE ENGINEERS,Department of Defense,U.S. Special Operations Command,2020-09-25,2025-03-27,,DC,,
Belcan,2023,273FCC18F0022,,"BELCAN GOVERNMENT SOLUTIONS, INC.",44894041.11,IT OPERATIONS SUPPORT SERVICES FOR THE FCC.,Federal Communications Commission,Federal Communications Commission,2018-09-28,2023-01-14,,VA,,
Belcan,2023,W56KGY21F0025,,"BELCAN GOVERNMENT SOLUTIONS, INC.",41023021.87,TASK ORDER AWARD FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE (SETA) SUPPORT SERVICES FOR PRODUCT MANAGER (PDM) MULTI-MISSION SURVEILLANCE SYSTEMS (M2S2).,Department of Defense,Department of the Army,2021-01-21,2025-12-20,,VA,,
Belcan,2023,H9240421F0001,,"BELCAN GOVERNMENT SOLUTIONS, INC.",17991803.02,OMEN,Department of Defense,U.S. Special Operations Command,2020-11-01,2025-10-31,,FL,,
Belcan,2023,M0026418F0164,,"BELCAN GOVERNMENT SOLUTIONS, INC.",15760088.74,CYBERSECURITY AND CYBERSPACE DEFENSE SUPPORT SERVICES,Department of Defense,Department of the Navy,2018-05-15,2023-11-17,,VA,,
Belcan,2023,19FS1A18F0024,,"BELCAN GOVERNMENT SOLUTIONS, INC.",14180650.04,OMIS IT SUPPORT SERVICES,Department of State,Department of State,2018-05-25,2024-06-24,,VA,,
Belcan,2023,H9240420F0215,,"BELCAN GOVERNMENT SOLUTIONS, INC.",11174849.4,USASOC HQ APP DEV LABOR,Department of Defense,U.S. Special Operations Command,2020-08-01,2023-07-31,,NC,,
Belcan,2023,NGA16FSS1377,,"BELCAN GOVERNMENT SOLUTIONS, INC.",7074349.56,IGF::OT::IGF,National Gallery of Art,National Gallery of Art,2016-10-01,2024-09-04,,DC,,
Belcan,2023,NGA17FSS0756EP,,"BELCAN GOVERNMENT SOLUTIONS, INC.",7034595.98,IGF::OT::IGF,National Gallery of Art,National Gallery of Art,2017-06-19,2024-09-04,,DC,,
Belcan,2023,DU100F16T00009,,"BELCAN GOVERNMENT SOLUTIONS, INC.",6890580.5,CYBERSECURITY FRAMEWORK PROGRAM IMPLEMENTATION IGF::OT::IGF,Department of Housing and Urban Development,Department of Housing and Urban Development,2016-09-29,2020-09-28,,DC,,
Belcan,2023,H9240420F0001,,"BELCAN GOVERNMENT SOLUTIONS, INC.",4488726.72,RDT&E - SOFTWARE SYSTEMS ENGINEER SR,Department of Defense,U.S. Special Operations Command,2019-11-05,2021-07-28,,FL,,
Belcan,2023,H9222217F0188,,"BELCAN GOVERNMENT SOLUTIONS, INC.",2719047.03,IGF::CT::IGF J6 PORTAL,Department of Defense,U.S. Special Operations Command,2017-07-14,2022-07-13,,FL,,
Belcan,2023,FA850524F0022,,"BELCAN GOVERNMENT SOLUTIONS, INC.",2409043.0,F-15 AIRCRAFT ELECTRONICS VULNERABILITY ASSESSMENT,Department of Defense,Department of the Air Force,2024-09-30,2029-09-29,,IN,,
