piid,description,obligated_amount,base_and_all_options,awarding_agency,recipient_name,naics,pop_end_date,pop_potential_end_date,pop_city,pop_state,extent_competed,estimated_recompete
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,0,0,,,541512,,,,,,
70B02C26F00000035,PURCHASE OF TOWERS,0,0,,,541512,,,,,,
205AE925F00190,"INTEGRATED ENTERPRISE CONTRACT (IEP) THE IEP PROVIDES FULLY INTEGRATED CORE SERVICES,  IT INFRASTRUCTURE, OPERATIONS, SECURITY, APPLICATION INTEGRATION & SUPPORT,  PROGRAM MANAGEMENT SERVICES, SUPPORTS MULTIPLE WORKLOADS,  REFERRED TO AS PORTALS.",0,0,,,541512,,,,,,
70B02C25F00000926,AWARD,0,0,,,541512,,,,,,
47QFCA25F0033,AFRL SHADOW RAPTOR,0,0,,,541512,,,,,,
140D0425F0725,INDIAN HEALTH SERVICE ELECTRONIC HEALTH RECORD - TASK ORDER 7 - PILOT ENGAGEMENT,0,0,,,541512,,,,,,
47QFCA25F0024,THE UNITED STATES SOUTHERN COMMAND (USSOUTHCOM) CYBER INFORMATION TECHNOLOGY (IT) ENTERPRISE SERVICES 2 (SCITES 2) TASK ORDER PROVIDES COMPREHENSIVE ENTERPRISE-LEVEL CYBER AND DATA-INFORMED IT SERVICES FOR USSOUTHCOM AND MISSION PARTNERS.,0,0,,,541512,,,,,,
91003125C0013,TITLE IV FINANCIAL AID ORIGINATION AND DISBURSEMENT (TIVOD) SYSTEMS AND CUSTOMER SERVICE TRANSITION SERVICES,0,0,,,541512,,,,,,
HT003825F0007,"ENTERPRISE LEVEL SERVICES FOR MHS GENESIS INCLUDING OPERATIONAL  MANAGEMENT SERVICES, PROGRAM MANAGEMENT, ENTERPRISE SUSTAINMENT,  AND LICENSE MAINTENANCE.",0,0,,,541512,,,,,,
75FCMC25FJ065,MARKETPLACE SYSTEM INTEGRATOR (MSI) SHALL PERFORM SYSTEM INTEGRATION ACTIVITIES RELEASE AND ENVIRONMENT MANAGEMENT AND COMMUNICATION AND PARTICIPATE IN THE CHANGE CONTROL PROCESS FOR EXCHANGE ENVIRONMENTS THAT ARE HOSTED IN A CLOUD PLATFORM.,0,0,,,541512,,,,,,
19AQMM25F7037,ESTABLISH NEW CONSOLIDATION CALL ORDER UNDER ILMS ACCENTURE BPA 19AQMM23A0218 OF POOLS 1 THROUGH 8.,0,0,,,541512,,,,,,
2032H525F00053,"TCLOUD TASK ORDER 6: CLOUD APPLICATION ASSESSMENT, CLOUD IMPLEMENTATIONS, CLOUD OPS AND MAINTENANCE, CLOUD SERVICE PROVIDERS (CSPS), AND CSP TRAINING.",0,0,,,541512,,,,,,
