uei,vendor_name,legal_business_name,dba_name,physical_address,congressional_district,business_types,naics_codes,cage_code,poc_name,poc_email,poc_phone,govt_poc_name,govt_poc_email,govt_poc_phone,registration_status,activation_date,expiration_date
V9KKND8S1KJ3,MANTECH TSG-2 JOINT VENTURE,MANTECH TSG-2 JOINT VENTURE,," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}",,6YN54,,,,,,,,,
K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,MOSAIC TECHNOLOGIES GROUP LLC,MOSAIC," ,  ",,"2X, LJ",,357X1,,,,,,,,,
EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC","APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",APOGEE-SAIC CAPABILITIES INTEGRATOR LLC," ,  ",,"27, 2X, LJ",,77PX1,,,,,,,,,
XSV6AZJ6SDJ7,RAYTHEON COMPANY,RAYTHEON COMPANY,," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}, {'code': 'F', 'description': 'Business or Organization'}, {'code': 'MF', 'description': 'Manufacturer of Goods'}",,05716,,,,,,,,,
G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}, {'code': 'F', 'description': 'Business or Organization'}, {'code': 'MF', 'description': 'Manufacturer of Goods'}",,81755,,,,,,,,,
HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,LEIDOS BIOMEDICAL RESEARCH INC,," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}, {'code': 'F', 'description': 'Business or Organization'}",,96GT5,,,,,,,,,
L2TTR2QRV8H9,"CACI NSS, LLC","CACI NSS, LLC",," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}, {'code': 'F', 'description': 'Business or Organization'}, {'code': 'LJ', 'description': 'Limited Liability Company'}",,0M3L7,,,,,,,,,
GLGMWJ8EVMR9,LIBERTY IT SOLUTIONS LLC,LIBERTY IT SOLUTIONS LLC,," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}, {'code': 'LJ', 'description': 'Limited Liability Company'}",,697P4,,,,,,,,,
CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,PERATON TECHNOLOGY SERVICES INC.,," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}, {'code': 'F', 'description': 'Business or Organization'}",,6KTD1,,,,,,,,,
EPPXR2P9KYU6,"CACI-ISS, LLC","CACI-ISS, LLC",," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}",,49DW9,,,,,,,,,
F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN SYSTEMS CORPORATION,LAUNCH VEHICLES," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}, {'code': 'MF', 'description': 'Manufacturer of Goods'}",,8LM16,,,,,,,,,
N3PBJAVNKF61,"CACI, INC. - FEDERAL","CACI, INC. - FEDERAL",," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}",,1QU78,,,,,,,,,
TDJLWKKV1GJ3,TRW INC,TRW INC,," ,  ",,,,,,,,,,,,,
KC3CH2MSK7Q3,"ANDURIL INDUSTRIES, INC.","ANDURIL INDUSTRIES, INC.",ANDURIL FEDERAL," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}",,85LD7,,,,,,,,,
D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,NORTHROP GRUMMAN SYSTEMS CORP,," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}, {'code': 'F', 'description': 'Business or Organization'}, {'code': 'MF', 'description': 'Manufacturer of Goods'}",,8MQW5,,,,,,,,,
SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.","GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}, {'code': 'F', 'description': 'Business or Organization'}",,07MU1,,,,,,,,,
XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN MISSILES AND FIRE CONTROL," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}, {'code': 'MF', 'description': 'Manufacturer of Goods'}",,64059,,,,,,,,,
JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,," ,  ",,,,,,,,,,,,,
JY2BDT2K58Z6,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.","MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}, {'code': 'F', 'description': 'Business or Organization'}",,5N741,,,,,,,,,
HNN4F9JZWDY8,PALANTIR USG INC,PALANTIR USG INC,PALANTIR USG INC," ,  ",,"{'code': '2X', 'description': 'For Profit Organization'}",,51W88,,,,,,,,,
