prime_name,mention_count,contact_count,program_count,programs,contacts,usaspending_contract_count,usaspending_total_obligated,usaspending_agencies,top_contract_1_piid,top_contract_1_value,top_contract_1_description,top_contract_2_piid,top_contract_2_value,top_contract_3_piid,top_contract_3_value,enrichment_date
Leidos,5841,509,18,"AEGIS, DARPA, DIA, DISA, DTRA, EAGLE, INSCOM, ITES, MDA, NASA, NGA, NRO, NSA, OASIS, STRATCOM, Sentinel, TRANSCOM, Zero Trust","Gene Smith, Terry Woodward, Chris Lashbrook, Morgan Weinberg, Mike  Gilbert, Rich Storey, Peter Cheung, Stephanie  Bethea, Reginald  Avery, Kelsey Scholl",96,37178682257.27,General Services Administration; Department of Justice; Department of Veterans Affairs; Department of Transportation; Department of Defense; National Science Foundation; Department of the Interior; Department of Energy; Department of Health and Human Services; Department of Commerce,HHSN261200800001E,4813063024.9,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,DEAC0609RL14728,3557405197.21,NSFDACS1219442,3081207083.64,2026-01-22
General Dynamics,4546,463,29,"ABMS, Alliant, CENTCOM, DARPA, DEOS, DIA, DISA, DTRA, EAGLE, EIS, F-35, GPS OCX, INSCOM, ITES, JWCC, MDA, NASA, NGA, NRO, NSA, OASIS, SEWP, SLS, SOCOM, SOUTHCOM, SPACECOM, STRATCOM, Sentinel, Zero Trust","Thomas Gravelle, Jamie  Tudor, Michael Fuller, Ryan McKay, Melanie Springs, Wanda  Camacho, Jerome Pofi, Kenneth  Gaines, Rick  Bagwell, James Riley",91,80413371668.08,General Services Administration; Department of Veterans Affairs; Department of Transportation; Department of Defense; Department of State; Department of the Interior; Department of Health and Human Services; National Aeronautics and Space Administration; Department of Homeland Security; Securities and Exchange Commission,N0002416C2229,5812593038.64,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,N0002418C2305,5307187532.86,N0002423C2305,5025610156.0,2026-01-22
Deloitte,1500,298,19,"Alliant, CENTCOM, CYBERCOM, DIA, DISA, DTRA, ECMA, ECMO, F-35, INDOPACOM, INSCOM, ITES, JWCC, NGA, NRO, NSA, OASIS, SOCOM, SeaPort","Mike Burruss, Chris Ward, Kevin Kawasaki, Alex Monti, Jodi Hakanen, Dwight DeCarme, Sasha Dudis, John Ruff, Robet Moses, Raymond Casher",55,8280317189.67,Department of Agriculture; General Services Administration; Department of Veterans Affairs; Agency for International Development; Department of Defense; Department of the Treasury; Department of State; Department of Health and Human Services; Department of Homeland Security,HHSN31600002,468373579.16,IGF::CT::IGF R12 UPGRADE - SYSTEM INTEGRATION AND HOSTING SUPPORT,47QFCA19F0028,448599121.0,2032H521F00043,383773457.14,2026-01-22
SAIC,1415,388,24,"ABMS, AEGIS, Alliant, CENTCOM, CYBERCOM, DIA, DISA, DTRA, EAGLE, GPS OCX, INSCOM, ITES, JADC2, JLTV, MDA, NASA, NGA, NRO, NSA, OASIS, SPACECOM, SeaPort, TRANSCOM, Zero Trust","Richard Bailey, Jill  Davis, Terry  Thomas, Paul Majercik, Emily Knight, Amy  Stacevicz, Chris Dosta, Michael Burger, Trent Bunnell, Jill Davis",94,23571892020.04,General Services Administration; Department of Veterans Affairs; Department of Defense; Department of the Treasury; Department of State; Department of Energy; Department of Health and Human Services; Department of Commerce; National Aeronautics and Space Administration; Department of Homeland Security,SAQMMA11F0233,2087211597.56,"TASK ORDER TO PROVIDE PROJECT MANAGEMENT SUPPORT, TRANSITION SUPPORT, ENGINEERING AND DESIGN SUPPORT, SECURING THE INFRASTRUCTURE SUPPORT AND O&M SUPPORT FOR THE DEPARTMENT'S IT CONSOLIDATION PROGRAM.",47QFSA20F0057,1436774295.87,47QFCA21F0001,1070681053.89,2026-01-22
Microsoft,1170,489,20,"CENTCOM, DEOS, DIA, DISA, ECMA, EIS, INSCOM, ITES, JWCC, MDA, NASA, NGA, NRO, NSA, SEWP, SOCOM, SOUTHCOM, Sentinel, V-22, Zero Trust","Justin LaFemina, Dave Parkinson, Amanda Hoke, Troy Acevedo, Angelino Garcia, Jamila  Rattler , James Holtman, Robert Witzleb, Yemi Shobowale, Jacqueline (Jackie)  Hartz",50,2421689392.79,Department of Agriculture; Department of Homeland Security; Department of Defense; Department of State,HC102822F0982,220001168.23,MICROSOFT CONSULTING SERVICES (MCS) AND MICROSOFT PREMIER SUPPORT (MPS) FOR THE UNITED STATES MARINE CORPS (USMC.,HC102821F1170,172503499.89,HC102817F1569,160728592.94,2026-01-22
Lockheed Martin,769,228,18,"AEGIS, Alliant, CH-53K, DIA, DISA, F-35, INSCOM, ITES, JWCC, MDA, NASA, NGA, NGAD, NSA, Orion, SLS, Sentinel, Zero Trust","Suzanne Jacobson , Keith Haddock, John  Trowbridge, Paula  Nichter, BRANDEN GERMER, Mark  Kohart , Adrian Marshall, Jonathon  Beckerman, Josh Talbott, Keith Wells",66,275727289318.27,Department of Energy; Department of Defense; National Aeronautics and Space Administration,DEAC0494AL85000,48066473048.89,,DEAC0584OR21400,20646113720.09,NNJ06TA25C,15502629330.37,2026-01-22
Northrop Grumman,543,174,13,"AEGIS, B-21, DARPA, DIA, DISA, F-35, ITES, MDA, NGA, NRO, NSA, SOCOM, Sentinel","Robert Akers, Mark  Kohart , Justin Sniesak, Josh Talbott, Megan Lipps, Ryne Osborne, Michael  Montgomery, Fred  Hall , John  Wehner , Michael Hinckley",51,97907361567.55,Social Security Administration; Department of Defense; National Aeronautics and Space Administration,FA821920C0006,10801259923.19,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),F4261098C0001,10009419769.13,N0001918C1037,8447894780.67,2026-01-22
CACI,441,154,15,"Alliant, CENTCOM, DIA, DISA, EAGLE, INSCOM, ITES, MDA, NGA, NSA, OASIS, SOCOM, SOUTHCOM, SeaPort, TRANSCOM","Raphael Akhagba, Steve  Held, Robert Goetz, Kathy O'Shaughnessy, John Harris, Fred Creamer, Craig Juer  , Rich Covert, Tina Talbott, Hunter Dronette",97,20828391232.79,General Services Administration; Department of Justice; Department of Veterans Affairs; Department of Defense; Department of the Interior; Department of Health and Human Services; National Aeronautics and Space Administration; Department of Homeland Security; Securities and Exchange Commission,GSQ0017AJ0006,960038373.03,"AWARD MADE TO CACI, INC.-FEDERAL FOR JIDA FS/DE TASK ORDER, IN THE AMOUNT NOT TO EXCEED $1,773,158,264.00. IGF::CL::IGF",47QFCA19F0006,920798653.11,140D0422C0009,917343861.03,2026-01-22
Raytheon,370,115,14,"AEGIS, DIA, DISA, EAGLE, F-35, GPS OCX, ITES, JWCC, MDA, NASA, NGA, NRO, NSA, Sentinel","Todd Hylton, Tony Cucciardo, Cathy Stieglitz, James Mckenzie, Jonathon  Beckerman, Josh Talbott, Tina Harvey , Trent Bunnell, Thomas Owen, Jason Bunting",62,127830315552.67,Department of Defense; National Aeronautics and Space Administration,N0001918C1021,8688654906.89,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,N0001920C0011,7498943172.37,N0002405C5346,5668542889.12,2026-01-22
Booz Allen Hamilton,353,154,7,"DIA, DISA, F-35, GPS OCX, ITES, NGA, Zero Trust","Rachel  Nagle , Dru McGinley, Mike Burruss, Robert Ruvalcaba, Summit Sampat, Amy Howe, James Mckenzie, Todd Burnett, Tess Pereira, Carolyn Batey",50,22911953457.61,General Services Administration; Department of Veterans Affairs; Department of the Treasury; Department of Defense; National Science Foundation; Department of the Interior; Department of Health and Human Services; Securities and Exchange Commission,47QFCA21F0018,1379603153.12,"TASK ORDER (TO) 47QFCA21F0018 IS HEREBY AWARDED TO BOOZ ALLEN HAMILTON, INC. (BAH) TO PROVIDE ENTERPRISE LEVEL DATA TO THE OUSD(C), AND ITS STRATEGIC PARTNERS (I.E., DOD FOURTH ESTATE, DOD DEPARTMENTS",36C10B21N10070021,1326434448.87,GSQ0015AJ0047,1173611155.42,2026-01-22
Jacobs,286,82,17,"AEGIS, Alliant, CENTCOM, DIA, ECMA, F-35, INSCOM, ITES, JWCC, MDA, NASA, NGA, NSA, SLS, SOCOM, SOUTHCOM, SPACECOM","Herman  Hewitt, Kevin Kawasaki, Chris  Tech , Josh Talbott, Patrick  Moon , James Wiles, Robert  Shanks, Timothy  Ryan , Eric  Rasmussen , Dennis  Miller ",65,15306646830.55,Department of Education; General Services Administration; Department of Defense; National Science Foundation; Department of the Interior; Department of Health and Human Services; National Aeronautics and Space Administration; Department of Homeland Security; Environmental Protection Agency,NNK13MA14C,2099373524.58,IGF::OT::IGF THE TEST AND OPERATIONS SUPPORT CONTRACT (TOSC) IS A COST-PLUS-AWARD-FEE CONTRACT WITH AN INDEFINITE DELIVERY INDEFINITE QUANTITY TASK ORDERING PROVISION. TOSC PROVIDES A PROCESSING CONTR,80MSFC18C0011,1847867312.48,H9222217F0069,979192262.73,2026-01-22
Amazon Web Services,281,150,16,"AEGIS, Alliant, CYBERCOM, DEOS, DIA, DISA, ECMA, INSCOM, ITES, JWCC, NASA, NGA, NRO, NSA, OASIS, Sentinel","Rikesh Tuladhar, Katie Somadelis, Don Thornton, James Riley, Michael Passaretti, JJ Williams, Dennis Skrtic, Mark Clarke, Allen Walters, Adam Hesch",100,1693106514.81,Department of Agriculture; General Services Administration; Department of Justice; National Gallery of Art; Department of Veterans Affairs; Department of Defense; Department of the Treasury; Department of Energy; Department of Homeland Security,12SAD223F0014,215783340.32,"NDMS SAMPLE TASK ORDER FOR NON-PERSONAL SERVICES TO PROVIDE NATIONWIDE POST ACCELERATION DEFAULT, PROPERTY PRESERVATION AND REAL ESTATE OWNED (REO) SERVICES ON THE RD SINGLE FAMILY DIRECT LOAN PORTFOL",N6523624F0453,94751464.0,47QDCB21F0015,92869741.14,2026-01-22
Boeing,249,141,13,"DIA, DISA, E-7, ITES, JWCC, MDA, MQ-25, NASA, NGA, NRO, NSA, SLS, VC-25B","Samantha Lampe, Stacia  Graham, Tina  Kwong-To, Ernest Anzaldua, Steven Noojin, Shannon Cummins, Stephen Caskey, Rachel Broadbear, Rene Meza, Edina Gabeljic",74,269087616821.95,Department of Defense; National Aeronautics and Space Administration,FA862511C6600,29485980901.28,KC-X MODERNIZATION PROGRAM,NAS1510000,22318527196.99,HQ000601C0001,18762686627.49,2026-01-22
BAE Systems,208,68,6,"DIA, DISA, GBSD, ITES, Sentinel, Zero Trust","Kimberley  Chatto, Matthew Eccles, Bryan Barber, Thomas Jefferson, John  Loftus, Jeremy Pankoski, John Dunk, John Hundley, Ryan Rossignol, Alex  Kenney",48,56020893498.71,Department of Defense; National Aeronautics and Space Administration,DAAE0703CS023,7052768924.82,200502!000833!2100!W56HZV!TACOM - WARREN                  !DAAE0703CS023  !A!N! !N!             !P00031!20041101!20081115!557414000!557414000!007932783!N!STEWART & STEVENSON TACTICAL V!5000 INTERSTATE,W56HZV08C0460,4067162785.79,M6785416C0006,3355990689.81,2026-01-22
VMware,200,75,7,"DIA, DTRA, INSCOM, ITES, JWCC, NGA, NRO","Thomas Gravelle, Richard Wicher, Aaron Christian, Mike Ware, David Bachrach, Richard Gregor, Duncan Erb, Josh Talbott, James Tyndall, Justin Kraynie ",5,282978.85,Environmental Protection Agency; Department of Defense; Department of Justice; Department of State,FA861223CB008,228760.0,ABMS: SOFTWARE DEFINED WIDE AREA NETWORK,68HERD21P0034,36490.85,19C02020P0965,17728.0,2026-01-22
Perspecta,185,142,14,"CIO-SP3, CYBERCOM, DARPA, DIA, DISA, ECMA, ECMO, ITES, NGA, NRO, NSA, SOUTHCOM, SPACECOM, SeaPort","Robert Herman, Don Napasindayao, Ernest Anzaldua, Tina Harvey , Chrisa Bowser, Linda  Champion, Luis Perez, Patricia Gully, Pratap Chilukuri, Randy Ireland",58,4026341657.39,General Services Administration; Department of Justice; Department of Defense; Department of Health and Human Services; National Aeronautics and Space Administration; Department of Homeland Security,NNX11AA01C,769166010.07,"THE AGENCY CONSOLIDATED END-USER SERVICES (ACES)CONTRACT  WILL PROVIDE AND MANAGE NASA'S PERSONAL COMPUTING HARDWARE, AGENCY STANDARD SOFTWARE, MOBILE IT SERVICES, PERIPHERALS AND ACCESSORIES, ASSOCIA",NNG08CA01C,321401725.27,FA460016C0008,318108897.3,2026-01-22
