award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
1824077667.02,CONT_AWD_N0001920C0032_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; IT Services; $1B+; 100 subs; Very active prime; Staffing indicators,120,N0001920C0032,"SUPPORT EQUIPMENT, AUTONOMIC LOGISTICS INFORMATION SYSTEM HARDWARE, TRAINING SYSTEMS, SITE ACTIVATIONS, INTEGRATED CONTRACTOR SUPPORT, AND THE RELIABILITY AND MAINTAINABILITY IMPROVEMENT PROGRAM FOR THE F-35 LIGHTNING II.",2029-12-30,2026-01-21,True,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,BILLION ($1B-5B),2020-07-17,1,100,0.0,87
1331626815.0,CONT_AWD_N0002420C4312_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; IT Services; $1B+; 100 subs; Very active prime; Staffing indicators,120,N0002420C4312,PLANNING&MATERIAL (O&MN),2027-11-01,2026-01-21,True,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,BILLION ($1B-5B),2020-08-14,1,100,0.0,28
1122756810.74,CONT_AWD_W56HZV07C0046_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $1B+; 60 subs; Very active prime; Staffing indicators,120,W56HZV07C0046,SYSTEM TEWCHNICAL SUPPORT (STS)/SYSTEM SUSTAINMENT TECHNICAL SUPPORT FOR THE ABRAMS TANK PROGRAM,2013-06-30,2026-01-21,True,,,,HIGH,,GENERAL DYNAMICS LAND SYSTEMS INC.,HAWKSQF848W7,BILLION ($1B-5B),2006-12-20,1,60,0.0,35
1052810807.48,CONT_AWD_W56HZV22C0012_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $1B+; 60 subs; Very active prime; Staffing indicators,120,W56HZV22C0012,"PURPOSE OF THIS AWARD IS A NEW OPTION CONTRACT TO GENERAL DYNAMICS LAND SYSTEMS (GDLS) FOR 5,940,169 HOURS OF SYSTEM TECHNICAL SUPPORT (STS)/SUSTAINMENT SYSTEM TECHNICAL SUPPORT (SSTS).",2027-08-26,2026-01-21,True,,,,HIGH,,GENERAL DYNAMICS LAND SYSTEMS INC.,HAWKSQF848W7,BILLION ($1B-5B),2022-02-28,1,60,0.0,35
4996841729.22,CONT_AWD_FA862507C6471_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $1B+; 100 subs; Very active prime,95,FA862507C6471,ADVANCE PROCUREMENT OF LONG LEAD FOR LRIP FOR C-5M RERP,2019-01-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORP,SJDEB3MKJEW5,BILLION ($1B-5B),2007-04-30,1,100,0.0,23
4993929468.3,CONT_AWD_N0001910C0002_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 100 subs; Very active prime,95,N0001910C0002,LOW RATE INTITIAL PRODUCTION (LRIP) LOT 5 ADVANCED ACQUISITION CONTRACT.,2022-05-04,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,BILLION ($1B-5B),2010-07-06,1,100,0.0,87
4960017500.0,CONT_AWD_N0002424C2110_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 100 subs; Very active prime,95,N0002424C2110,SSN 814 & SSN 815 LONG LEAD TIME MATERIAL,2035-09-30,2026-01-21,False,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,BILLION ($1B-5B),2023-10-13,1,100,0.0,28
4904473850.56,CONT_AWD_N0002413C2305_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 53 subs; Very active prime,95,N0002413C2305,FY13-FY17 DDG 51 CLASS SHIP CONSTRUCTION.,2026-12-01,2026-01-21,False,,,,HIGH,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,BILLION ($1B-5B),2013-06-03,1,53,0.0,12
4865962075.84,CONT_AWD_N0001921C0011_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 100 subs; Very active prime,95,N0001921C0011,FY21 PBL2,2030-02-28,2026-01-21,False,,,,HIGH,,RTX CORPORATION,QN1BCFY7JDJ5,BILLION ($1B-5B),2020-12-01,1,100,0.0,41
4864238445.89,CONT_AWD_W58RGZ13C0002_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 100 subs; Very active prime,95,W58RGZ13C0002,CH-47F CARGO HELICOPTER MULTIYEAR II.  34 NEW BUILD HELICOPTERS AND 121 RENEW HELICOPTERS.,2022-09-30,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,E466BXU4KJH8,BILLION ($1B-5B),2013-06-10,1,100,0.0,14
