budget_program_name,budget_amount,fiscal_year,budget_type
Deployable JT Cmd & Control,3262000.0,2014,R-1
High Performance Computing Modernization Program,23000000.0,2014,R-1
Non-System Training Devices - Eng Dev,18980000.0,2014,R-1
C2ISR Tactical Data Link,1431000.0,2014,R-1
CHEMICAL/BIOLOGICAL DEFENSE (APPLIED RESEARCH),227065000.0,2014,R-1
(U)RQ-21A,11122000.0,2014,R-1
B-2 Defensive Management System,303500000.0,2014,R-1
Army Space Systems Integration,13592000.0,2014,R-1
Manned Destructive Suppression,13138000.0,2014,R-1
Advanced Medium Range Air-to-Air Missile (AMRAAM),84172000.0,2014,R-1
Financing for Cancelled Account Adjustments,657000.0,2014,R-1
SOF Surface Craft,8573000.0,2014,R-1
Warfighter Sustainment Advd Tech,68955000.0,2014,R-1
Information Technology Development,69659000.0,2014,R-1
Warfighter Rapid Acquisition Process (WRAP) Rapid Transition Fund,3844000.0,2014,R-1
Advanced Nuclear Power Systems,428933000.0,2014,R-1
Joint DOD/DOE Munitions Technology Development,19305000.0,2014,R-1
Development Test & Evaluation,15451000.0,2014,R-1
SENSOR TECHNOLOGY,286364000.0,2014,R-1
Large Aircraft IR Countermeasures (LAIRCM),4115999.9999999995,2014,R-1
Hard and Deeply Buried Target Defeat System (HDBTDS) Program,103000.0,2014,R-1
Common Picture Advanced Technology,46530000.0,2014,R-1
Security and Intelligence Activities,7600000.0,2014,R-1
Three Dimensional Long-Range Radar (3DELRR),70160000.0,2014,R-1
Information Warfare Support,7159000.0,2014,R-1
Air-Launched Cruise Missile (ALCM),450000.0,2014,R-1
Weather Service,24667000.0,2014,R-1
Patriot Product Improvement,70053000.0,2014,R-1
Sirius,15369000.0,2014,R-1
CSAR HH-60 Recapitalization,393558000.0,2014,R-1
Joint Systems Architecture Development,2479000.0,2014,R-1
Small Business Innovation Research/Small Business Technology Transfer (SBIR/STTR),47755000.0,2014,R-1
SOF Munitions,1515000.0,2014,R-1
F-35 Squadrons,33000000.0,2014,R-1
Surface Combatant Cmbt Sys Eng,240298000.0,2014,R-1
MQ-1 Gray Eagle - Army UAV (MIP),10901000.0,2014,R-1
(U)Joint Strike Fighter (JSF) - EMD,512631000.0,2014,R-1
Aerial Common Sensor - SDD,10382000.0,2014,R-1
Carrier Systems Development,83902000.0,2014,R-1
Airborne Reconnaissance Sys,20000000.0,2014,R-1
Logistics and Engineer Equipment - Eng Dev,41703000.0,2014,R-1
Facilities Sustainment - Test and Evaluation Support,27643000.0,2014,R-1
AVIATION TECHNOLOGY,55615000.0,2014,R-1
Operationally Responsive Space,108014000.0,2014,R-1
Materials,116846000.0,2014,R-1
F/A-18 Squadrons,131118000.0,2014,R-1
Land Based SM-3 (LBSM3),129374000.0,2014,R-1
Advanced Tactical Computer Science and Sensor Technology,33012000.0,2014,R-1
INFORMATION & COMMUNICATIONS TECHNOLOGY,413260000.0,2014,R-1
Spacelift Range System  (SPACE),13345000.0,2014,R-1
Combat Air Intelligence System Activities,4471000.0,2014,R-1
"Air Traffic Control, Approach, and Landing System (ATCALS)",35674000.0,2014,R-1
SOF Tactical Radio Systems,3036000.0,2014,R-1
Distributed Common Ground/Surface Systems,3348000.0,2014,R-1
WARRIOR SYSTEMS,17970000.0,2014,R-1
Wargaming and Simulation Centers,5512000.0,2014,R-1
THREAT SIMULATOR DEVELOPMENT,16934000.0,2014,R-1
RDTEN 3,723000.0,2014,R-1
Special Applications Program,22800000.0,2014,R-1
Electronic Warfare Development,1971000.0,2014,R-1
Survivability/Lethality Analysis,43280000.0,2014,R-1
Long Endurance Multi-Intelligence Vehicle (LEMV),28991000.0,2014,R-1
ADVANCED AEROSPACE SYSTEMS,149804000.0,2014,R-1
Combat Vehicle and Automotive Advanced Technology,97043000.0,2014,R-1
MEDIUM TACTICAL VEHICLES,2140000.0,2014,R-1
Aviation Survivability,5591000.0,2014,R-1
Agile Transportation for the 21st Century (AT21) Theater Capability,7565000.0,2014,R-1
Historically Black Colleges and Universities and Minority Institutions (HBCU/MI),35245000.0,2014,R-1
DEFENSE RESEARCH SCIENCES,221901000.0,2014,R-1
GPS III Space Segment,221276000.0,2014,R-1
Israeli Cooperative Programs,95782000.0,2014,R-1
Combating Terrorism - Technology Development,15054000.0,2014,R-1
Medical Development,9458000.0,2014,R-1
Quick Reactions Special Projects (QRSP),78532000.0,2014,R-1
Joint Systems Integration Command,12671000.0,2014,R-1
DoD Modeling and Simulation Management Office,41370000.0,2014,R-1
Intelligence Equipment,803000.0,2014,R-1
Ballistic Missile Defense System Space Programs,6515000.0,2014,R-1
Rocket Systems Launch Program (SPACE),14203000.0,2014,R-1
General Skill Training,315000.0,2014,R-1
Logistics Research and Development Technology (Log R&D),20000000.0,2014,R-1
Wide Area Surveillance,5000000.0,2014,R-1
CHEMICAL/BIOLOGICAL DEFENSE (BASIC RESEARCH),51426000.0,2014,R-1
NETWORK-CENTRIC WARFARE TECHNOLOGY,259005999.99999997,2014,R-1
International Intelligence Technology and Architectures,4372000.0,2014,R-1
EXPLOITATION OF FOREIGN ITEMS,5941000.0,2014,R-1
JT Service EOD,8897000.0,2014,R-1
EA-18 Squadrons,11138000.0,2014,R-1
JT Strike Fighter (JSF) - EMD,534187000.0,2014,R-1
DoD Cyber Crime Center,288000.0,2014,R-1
Rapid Cyber Acquisition,2218000.0,2014,R-1
NAVSTAR Global Positioning System (Space and Control Segments),14335000.0,2014,R-1
MQ-8 UAV,5000000.0,2014,R-1
Ballistic Missile Defense Targets,495257000.0,2014,R-1
Military Engineering Advanced Technology,23717000.0,2014,R-1
Joint Integrated Air & Missle Defense Organization (JIAMDO),47462000.0,2014,R-1
Biometrics Enabled Intelligence,12449000.0,2014,R-1
Electronic Warfare Development - MIP,153000.0,2014,R-1
Foreign Materiel Acquisition and Exploitation,54311000.0,2014,R-1
Biometrics Science and Technology,10342000.0,2014,R-1
DEFENSE RESEARCH SCIENCES,315033000.0,2014,R-1
Specialized Undergraduate Flight Training,3601000.0,2014,R-1
