clearance_level,job_count,pct_of_jobs,prime_contractor,program_acronym,program_name
Top Secret,4,50.0,Multi (SAIC supports parts),ABMS,Advanced Battle Management System
Secret,2,25.0,Multi (SAIC supports parts),ABMS,Advanced Battle Management System
Unknown,2,25.0,Multi (SAIC supports parts),ABMS,Advanced Battle Management System
Unknown,1,100.0,Raytheon,AMRAAM,Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment
Secret,2,40.0,Lockheed Martin,Aegis,Aegis Ballistic Missile Defense / Aegis Program
Top Secret,2,40.0,Lockheed Martin,Aegis,Aegis Ballistic Missile Defense / Aegis Program
TS/SCI Poly,1,20.0,Lockheed Martin,Aegis,Aegis Ballistic Missile Defense / Aegis Program
Secret,1,100.0,CACI,SCORPION,AFCENT SCORPION Cyber Task (ISSO/ISSM Support)
Secret,3,42.9,"Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System
Unknown,2,28.6,"Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System
Top Secret,2,28.6,"Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System
Top Secret,2,100.0,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Platform One / Cyber Portfolio,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio
Unknown,1,100.0,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),ARCYBER,ARCYBER Information Advantage / Mission Support (general)
Top Secret,4,80.0,SAIC,AESD,Army AESD Enterprise Service Desk
Unknown,1,20.0,SAIC,AESD,Army AESD Enterprise Service Desk
Public Trust,1,100.0,CACI,BIM TO2,Army Backbone Infrastructure Modernization – Task Order 2
Unknown,3,42.9,SAIC,AESMF,Army Enterprise Service Management Framework
Secret,2,28.6,SAIC,AESMF,Army Enterprise Service Management Framework
Top Secret,1,14.3,SAIC,AESMF,Army Enterprise Service Management Framework
TS/SCI Poly,1,14.3,SAIC,AESMF,Army Enterprise Service Management Framework
Secret,1,100.0,Northrop Grumman,IBCS,Army Integrated Battle Command System
Top Secret,2,100.0,Northrop Grumman (prime); CACI (support),IBCS,Army Integrated Battle Command System Support
Secret,3,42.9,CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution
Unknown,2,28.6,CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution
Top Secret,2,28.6,CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution
Secret,1,100.0,Dynetics; Northrop teams,,Army Missile & Space R&D Support (Huntsville)
Secret,5,50.0,GDIT,BICES,Battlefield Information Collection & Exploitation System
Top Secret,4,40.0,GDIT,BICES,Battlefield Information Collection & Exploitation System
Unknown,1,10.0,GDIT,BICES,Battlefield Information Collection & Exploitation System
TS/SCI Poly,2,66.7,CACI + Leidos + Peraton + SAIC (various subs),BICES,BICES Defense Intelligence Agency Variant
Secret,1,33.3,CACI + Leidos + Peraton + SAIC (various subs),BICES,BICES Defense Intelligence Agency Variant
Secret,2,100.0,Scale AI,Donovan,CDAO Advanced AI Tools (Scale AI OTA)
Unknown,1,100.0,SAIC,Cloud One,Cloud One (USAF Cloud Program)
Secret,3,42.9,Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services
Top Secret,3,42.9,Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services
TS/SCI Poly,1,14.3,Peraton / SAIC (indicative),ECIS,CMS Enterprise Cloud Infrastructure Services
Secret,1,100.0,Northrop Grumman,C2BMC,"Command and Control, Battle Management & Communications (MDA)"
Unknown,1,25.0,Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization
TS/SCI Poly,1,25.0,Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization
Secret,1,25.0,Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization
Top Secret,1,25.0,Peraton / Leidos (indicative),DCCO,Data Center & Cloud Optimization
Unknown,1,100.0,Leidos,DES,Defense Enclave Services
Unknown,2,100.0,Microsoft,DOD365,Defense Enterprise Office 365 Migration / DoD365
