program_name,program_acronym,location_type,city,state,zip_code,site_name,team_function,headcount_estimate,prime_contractor,subcontractors,data_sources,confidence_level,extraction_date
DIA Information Systems Engineering Office,ISEO,Project Site,North Charleston,SC,,ISEO - North Charleston,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Elkridge,MD,,ISEO - Elkridge,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Niskayuna,NEW YORK,,ISEO - Niskayuna,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Sterling Heights,MICHIGAN,,ISEO - Sterling Heights,Cybersecurity,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Wilmington,MASSACHUSETTS,,ISEO - Wilmington,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Beavercreek,OHIO,,ISEO - Beavercreek,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Salt Lake City,UTAH,,ISEO - Salt Lake City,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Dayton,OHIO,,ISEO - Dayton,Engineering; Network/Infrastructure,2,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Berkeley,MISSOURI,,ISEO - Berkeley,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Kings Bay,GEORGIA,,ISEO - Kings Bay,Other,2,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Huntsville,ALABAMA,,ISEO - Huntsville,Other,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Camden,NEW JERSEY,,ISEO - Camden,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Hanover,MARYLAND,,ISEO - Hanover,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Scott Air Force Base,ILLINOIS,,ISEO - Scott Air Force Base,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Frederick,MARYLAND,,ISEO - Frederick,PMO/Leadership,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Madison,ALABAMA,,ISEO - Madison,PMO/Leadership,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Wailuku,HAWAII,,ISEO - Wailuku,Other,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Cleveland,OHIO,,ISEO - Cleveland,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
DIA Information Systems Engineering Office,ISEO,Project Site,Grand Forks,NORTH DAKOTA,,ISEO - Grand Forks,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,Huntsville,ALABAMA,,GSM-O II - Huntsville,Engineering; Other; PMO/Leadership,3,Leidos,,Job Postings,Medium,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,Tarpon Springs,FLORIDA,,GSM-O II - Tarpon Springs,Cybersecurity,1,Leidos,,Job Postings,Low,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,Dayton,OHIO,,GSM-O II - Dayton,Network/Infrastructure,1,Leidos,,Job Postings,Low,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,Wilmington,DELAWARE,,GSM-O II - Wilmington,Data/Analytics,1,Leidos,,Job Postings,Low,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,Kings Bay,GEORGIA,,GSM-O II - Kings Bay,Data/Analytics; Other,3,Leidos,,Job Postings,Medium,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,Albuquerque,NEW MEXICO,,GSM-O II - Albuquerque,Cybersecurity,1,Leidos,,Job Postings,Low,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,Suffolk,VIRGINIA,,GSM-O II - Suffolk,Other,1,Leidos,,Job Postings,Low,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,Hampton,VIRGINIA,,GSM-O II - Hampton,Cybersecurity,2,Leidos,,Job Postings,Low,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,Woburn,MASSACHUSETTS,,GSM-O II - Woburn,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,Chambersburg,PENNSYLVANIA,,GSM-O II - Chambersburg,PMO/Leadership,1,Leidos,,Job Postings,Low,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,Sterling Heights,MICHIGAN,,GSM-O II - Sterling Heights,Cybersecurity,1,Leidos,,Job Postings,Low,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,O'fallon,ILLINOIS,,GSM-O II - O'fallon,Data/Analytics,1,Leidos,,Job Postings,Low,2026-01-21
Global Service Management – Operations II,GSM-O II,Project Site,New York,NEW YORK,,GSM-O II - New York,Engineering,1,Leidos,,Job Postings,Low,2026-01-21
GBS (Global Broadcast Service),GBS,Project Site,San Diego,CALIFORNIA,,GBS - San Diego,Data/Analytics; Network/Infrastructure; Other; Technical Writing,4,L3Harris (historical),,Job Postings,Medium,2026-01-21
GBS (Global Broadcast Service),GBS,Project Site,Vista,CALIFORNIA,,GBS - Vista,Network/Infrastructure,1,L3Harris (historical),,Job Postings,Low,2026-01-21
GBS (Global Broadcast Service),GBS,Project Site,Palmdale,CALIFORNIA,,GBS - Palmdale,Other,1,L3Harris (historical),,Job Postings,Low,2026-01-21
GBS (Global Broadcast Service),GBS,Project Site,Anaheim,CALIFORNIA,,GBS - Anaheim,Engineering,1,L3Harris (historical),,Job Postings,Low,2026-01-21
GBS (Global Broadcast Service),GBS,Project Site,Beale AFB,CALIFORNIA,,GBS - Beale AFB,Network/Infrastructure,1,L3Harris (historical),,Job Postings,Low,2026-01-21
GBS (Global Broadcast Service),GBS,Project Site,El Segundo,CALIFORNIA,,GBS - El Segundo,Engineering,1,L3Harris (historical),,Job Postings,Low,2026-01-21
GBS (Global Broadcast Service),GBS,Project Site,Santa Cruz,CALIFORNIA,,GBS - Santa Cruz,Help Desk/Service Desk,1,L3Harris (historical),,Job Postings,Low,2026-01-21
GBS (Global Broadcast Service),GBS,Project Site,Solana Beach,CALIFORNIA,,GBS - Solana Beach,Engineering,1,L3Harris (historical),,Job Postings,Low,2026-01-21
GBS (Global Broadcast Service),GBS,Project Site,Jacksonville,NORTH CAROLINA,,GBS - Jacksonville,Data/Analytics,1,L3Harris (historical),,Job Postings,Low,2026-01-21
GBS (Global Broadcast Service),GBS,Project Site,Hanahan,SOUTH CAROLINA,,GBS - Hanahan,Engineering,1,L3Harris (historical),,Job Postings,Low,2026-01-21
