program_name,program_acronym,role_level,role_title,role_function,company_name,location,clearance_required,data_source
DIA Information Systems Engineering Office,ISEO,Junior,Software Developer,Software,Leidos,"North Charleston, SC",,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,(VMS) Engineering Writer and Instructor,Engineering,Leidos,"Elkridge, MD",Secret Clearance Required,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED,Engineering,Leidos,"Niskayuna, New York",,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER,Engineering,Leidos,"Wilmington, Massachusetts",TS/SCI,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,TS/SCI SOFTWARE ENGINEER (AFSIM),Engineering,Leidos,"Beavercreek, Ohio",TS/SCI,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,SECRET RF SYSTEM ENGINEER,Engineering,Leidos,"Salt Lake City, Utah",Secret,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,SOFTWARE ENGINEER (C++),Engineering,Leidos,"Dayton, Ohio",,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,NONDESTRUCTIVE EVALUATION ENGINEER (NDE),Engineering,Leidos,"Berkeley, Missouri",,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,TS/SCI SYSTEMS ADMINISTRATOR,Engineering,Leidos,"Dayton, Ohio",TS/SCI,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,RUST DEVELOPER,Software,Leidos,"Camden, New Jersey",Secret,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,TS/SCI + POLY CLEARED LINUX ADMIN/TEST ENGINEER,Engineering,Leidos,"Hanover, Maryland",TS/SCI Poly,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,DATA ENGINEER,Engineering,Leidos,"Scott Air Force Base, Illinois",Top Secret,Job Postings
DIA Information Systems Engineering Office,ISEO,Mid,PRE-DEPLOYMENT MANAGER,General,Leidos,"Frederick, Maryland",,Job Postings
DIA Information Systems Engineering Office,ISEO,Senior,PROJECT MANAGER,Program Management,Leidos,"Madison, Alabama",,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I,General,Leidos,"Wailuku, Hawaii",Top Secret,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,QUALITY ENGINEER,Engineering,Leidos,"Cleveland, Ohio",,Job Postings
DIA Information Systems Engineering Office,ISEO,Junior,SECRET SATELLITE SYSTEMS ENGINEER,Engineering,Leidos,"Grand Forks, North Dakota",Secret,Job Postings
Global Service Management – Operations II,GSM-O II,Junior,DEVSECOPS ENGINEER - SECRET CLEARANCE,Engineering,Leidos,"Huntsville, Alabama",Secret,Job Postings
Global Service Management – Operations II,GSM-O II,Junior,KUBERNETES ADMINISTRATOR,HR/Admin,Leidos,"Dayton, Ohio",TS/SCI,Job Postings
Global Service Management – Operations II,GSM-O II,Junior,SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA,Cybersecurity,Leidos,"Wilmington, Delaware",,Job Postings
