program_name,program_acronym,org_level,role_title,company_name,company_uei,business_size,certifications,reports_to,location,contract_value,relationship_type,data_source,extraction_date
DIA Information Systems Engineering Office,ISEO,0,Prime Contractor,Leidos,,Unknown,,,,0,Prime,Contracts,2026-01-21
Global Service Management – Operations II,GSM-O II,0,Prime Contractor,Leidos,,Unknown,,,,0,Prime,Contracts,2026-01-21
GBS (Global Broadcast Service),GBS,0,Prime Contractor,L3Harris (historical),,Unknown,,,,0,Prime,Contracts,2026-01-21
Battlefield Information Collection & Exploitation System,BICES,0,Prime Contractor,GDIT,,Unknown,,,,0,Prime,Contracts,2026-01-21
Project Convergence (JADC2 Experiments),PC,0,Prime Contractor,SAIC,,Unknown,,,,0,Prime,Contracts,2026-01-21
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,0,Prime Contractor,SAIC,,Unknown,,,,0,Prime,Contracts,2026-01-21
Advanced Battle Management System,ABMS,0,Prime Contractor,Multi (SAIC supports parts),,Unknown,,,,0,Prime,Contracts,2026-01-21
Integrated Base Defense Security System,IBDS,0,Prime Contractor,Leidos,,Unknown,,,,0,Prime,Contracts,2026-01-21
Air Force Advanced Battle Management System,ABMS,0,Prime Contractor,"Multiple: SAIC, Leidos, Booz Allen Hamilton",,Unknown,,,,0,Prime,Contracts,2026-01-21
Army Enterprise Service Management Framework,AESMF,0,Prime Contractor,SAIC,,Unknown,,,,0,Prime,Contracts,2026-01-21
Army IT Enterprise Mgmt Systems Solution,ITEMSS,0,Prime Contractor,CACI,,Unknown,,,,0,Prime,Contracts,2026-01-21
CMS Enterprise Cloud Infrastructure Services,ECIS,0,Prime Contractor,Peraton / SAIC (indicative),,Unknown,,,,0,Prime,Contracts,2026-01-21
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,0,Prime Contractor,Leidos,,Unknown,,,,0,Prime,Contracts,2026-01-21
Aegis Ballistic Missile Defense / Aegis Program,Aegis,0,Prime Contractor,Lockheed Martin,,Unknown,,,,0,Prime,Contracts,2026-01-21
Army AESD Enterprise Service Desk,AESD,0,Prime Contractor,SAIC,,Unknown,,,,0,Prime,Contracts,2026-01-21
DISA Global Service Mgmt – Ops II,GSM-O II,0,Prime Contractor,Leidos,,Unknown,,,,0,Prime,Contracts,2026-01-21
Data Center & Cloud Optimization,DCCO,0,Prime Contractor,Peraton / Leidos (indicative),,Unknown,,,,0,Prime,Contracts,2026-01-21
BICES Defense Intelligence Agency Variant,BICES,0,Prime Contractor,CACI + Leidos + Peraton + SAIC (various subs),,Unknown,,,,0,Prime,Contracts,2026-01-21
Global Network Operations (DISA GSM-O II),GSM-O II,0,Prime Contractor,Leidos,,Unknown,,,,0,Prime,Contracts,2026-01-21
GPS Next-Gen Operational Control System,GPS OCX,0,Prime Contractor,Raytheon Intelligence & Space,,Unknown,,,,0,Prime,Contracts,2026-01-21
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,0,Prime Contractor,Peraton,,Unknown,,,,0,Prime,Contracts,2026-01-21
SITEC III – Enterprise Operations & Maintenance,SITEC III,0,Prime Contractor,Peraton,,Unknown,,,,0,Prime,Contracts,2026-01-21
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,0,Prime Contractor,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),,Unknown,,,,0,Prime,Contracts,2026-01-21
Army Integrated Battle Command System Support,IBCS,0,Prime Contractor,Northrop Grumman (prime); CACI (support),,Unknown,,,,0,Prime,Contracts,2026-01-21
CDAO Advanced AI Tools (Scale AI OTA),Donovan,0,Prime Contractor,Scale AI,,Unknown,,,,0,Prime,Contracts,2026-01-21
Defense Enterprise Office 365 Migration / DoD365,DOD365,0,Prime Contractor,Microsoft,,Unknown,,,,0,Prime,Contracts,2026-01-21
Defense Enterprise Office Solutions,DEOS,0,Prime Contractor,CSRA / Leidos (team),,Unknown,,,,0,Prime,Contracts,2026-01-21
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,0,Prime Contractor,Amazon; Microsoft; Google; Oracle,,Unknown,,,,0,Prime,Contracts,2026-01-21
Global Command and Control System – Joint,GCCS-J,0,Prime Contractor,Northrop Grumman,,Unknown,,,,0,Prime,Contracts,2026-01-21
Global Command and Control System – Joint (Variant),GCCS-J,0,Prime Contractor,Leidos,,Unknown,,,,0,Prime,Contracts,2026-01-21
Global Solutions Management – Operations II,GSMO II,0,Prime Contractor,Leidos,,Unknown,,,,0,Prime,Contracts,2026-01-21
GRASP (Raytheon/Peraton),GRASP,0,Prime Contractor,Peraton,,Unknown,,,,0,Prime,Contracts,2026-01-21
Ground-Based Midcourse Defense,GMD,0,Prime Contractor,Boeing (prime); Northrop & Raytheon (NGI),,Unknown,,,,0,Prime,Contracts,2026-01-21
Intelligence Systems Enterprise Operations,ISEO,0,Prime Contractor,Leidos,,Unknown,,,,0,Prime,Contracts,2026-01-21
SPICE (Space Payload Integration & Cyber Eng),SPICE,0,Prime Contractor,SAIC / LinQuest (indicative),,Unknown,,,,0,Prime,Contracts,2026-01-21
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,0,Prime Contractor,Raytheon,,Unknown,,,,0,Prime,Contracts,2026-01-21
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,0,Prime Contractor,CACI,,Unknown,,,,0,Prime,Contracts,2026-01-21
ARCYBER Information Advantage / Mission Support (general),ARCYBER,0,Prime Contractor,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),,Unknown,,,,0,Prime,Contracts,2026-01-21
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,0,Prime Contractor,CACI,,Unknown,,,,0,Prime,Contracts,2026-01-21
Army Integrated Battle Command System,IBCS,0,Prime Contractor,Northrop Grumman,,Unknown,,,,0,Prime,Contracts,2026-01-21
Army Missile & Space R&D Support (Huntsville),,0,Prime Contractor,Dynetics; Northrop teams,,Unknown,,,,0,Prime,Contracts,2026-01-21
Cloud One (USAF Cloud Program),Cloud One,0,Prime Contractor,SAIC,,Unknown,,,,0,Prime,Contracts,2026-01-21
"Command and Control, Battle Management & Communications (MDA)",C2BMC,0,Prime Contractor,Northrop Grumman,,Unknown,,,,0,Prime,Contracts,2026-01-21
Defense Enclave Services,DES,0,Prime Contractor,Leidos,,Unknown,,,,0,Prime,Contracts,2026-01-21
Distributed Common Ground System (AF),DCGS,0,Prime Contractor,BAE; multiple,,Unknown,,,,0,Prime,Contracts,2026-01-21
DTRA IAC-MAC Research & Analysis,IAC-MAC,0,Prime Contractor,CACI,,Unknown,,,,0,Prime,Contracts,2026-01-21
GMD Weapon System (Ground C2),GWS (GMD),0,Prime Contractor,Northrop Grumman,,Unknown,,,,0,Prime,Contracts,2026-01-21
GPS Operational Control System (sustainment),GPS OCX,0,Prime Contractor,Raytheon,,Unknown,,,,0,Prime,Contracts,2026-01-21
HHS Advanced Secure Data Repository,ASDR,0,Prime Contractor,GDIT / SAIC (indicative),,Unknown,,,,0,Prime,Contracts,2026-01-21
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,0,Prime Contractor,Northrop & L3Harris (co-primes),,Unknown,,,,0,Prime,Contracts,2026-01-21
Integrated Air & Missile Defense,IAMD,0,Prime Contractor,Raytheon,,Unknown,,,,0,Prime,Contracts,2026-01-21
Integrated Digital Engineering Environment,IDEE,0,Prime Contractor,Northrop Grumman,,Unknown,,,,0,Prime,Contracts,2026-01-21
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,0,Prime Contractor,Northrop Grumman,,Unknown,,,,0,Prime,Contracts,2026-01-21
MDA Tactical Embedded Systems,,0,Prime Contractor,Northrop Grumman,,Unknown,,,,0,Prime,Contracts,2026-01-21
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,0,Prime Contractor,GDIT,,Unknown,,,,0,Prime,Contracts,2026-01-21
MSS Smart Systems (Palantir contract),MSS,0,Prime Contractor,Palantir,,Unknown,,,,0,Prime,Contracts,2026-01-21
NASA SENSE (Space Comms & Tracking),SENSE,0,Prime Contractor,Peraton,,Unknown,,,,0,Prime,Contracts,2026-01-21
Navy Aegis Combat System Modernization,AEGIS,0,Prime Contractor,Lockheed Martin,,Unknown,,,,0,Prime,Contracts,2026-01-21
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,0,Prime Contractor,Northrop Grumman,,Unknown,,,,0,Prime,Contracts,2026-01-21
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),0,Prime Contractor,Northrop Grumman,,Unknown,,,,0,Prime,Contracts,2026-01-21
Peraton ARCYBER Information Advantage Enterprise,IAE,0,Prime Contractor,Peraton,,Unknown,,,,0,Prime,Contracts,2026-01-21
PRISM Support Services (Consolidated),PRISM,0,Prime Contractor,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",,Unknown,,,,0,Prime,Contracts,2026-01-21
