Jul-25,,,,,,,,,,,,,
correction_delete_ind,istransferred,isoutdatedduplicate,n_rows,,,,,,,,,,
NULL,0,0,517042,,,,,,,,,,
NULL,1,0,221712,,,,,,,,,,
C,0,0,1970964,,,,,,,,,,
D,0,0,1031,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
award_id_piid,parent_award_id_piid,ccidcauCCID,PIIDCCID,IsParentCSIScontractID,,,,,,,,,
MDA22098D3001,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,,,,,,,,,
DSWA0198D0076,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,,,,,,,,,
MDA21099A0001,NULL,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,,,,,,,,,
F6550183D0029,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,,,,,,,,,
MDA90898A2026,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,,,,,,,,,
N0017895D2015,NULL,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,,,,,,,,,
MDA90898A2025,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
contract_award_unique_key,Error,AgencyID,awarding_agency_code,award_id_piid,parent_award_id_piid,parent_award_agency_id,award_or_idv_flag,CSIScontractID,CSISidvpiidID,parent_contract_award_unique_key,manual_parent_contract_award_unique_key,manual_award_or_idv_flag,IsParentCSIScontractID
CONT_AWD_222952010_7524_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,222952010,,,AWARD,100481015,23356,NULL,NULL,NULL,1
CONT_AWD_240940035_7526_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,240940035,,,AWARD,100481053,23356,NULL,NULL,NULL,1
CONT_AWD_240940036_7526_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,240940036,,,AWARD,104958174,23356,NULL,NULL,NULL,1
CONT_AWD_500960003_7530_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,500960003,,,AWARD,91400810,23356,NULL,NULL,NULL,1
CONT_AWD_500960006_7530_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,500960006,,,AWARD,91400813,23356,NULL,NULL,NULL,1
CONT_AWD_500960016_7530_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,500960016,,,AWARD,91400817,23356,NULL,NULL,NULL,1
CONT_AWD_50ABNE700002_1330_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,50ABNE700002,,,AWARD,118540,23356,NULL,NULL,NULL,1
CONT_AWD_72026722S00002_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,NULL,72026722S00002,,,AWARD,92999196,23356,NULL,NULL,NULL,1
CONT_AWD_72026722S00003_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,00:00.0,00:00.0,72026722S00003,,,AWARD,92999197,23356,NULL,NULL,NULL,1
