Job Title,Location,Clearance,Program,Match Score,Match Confidence,Job URL,BD Talking Points,Target Contact Titles,LinkedIn Search
EVMS Lead Program Control Consultant,"Herndon, VA",,Air Force Advanced Battle Management System,10,High,https://www.apexsystems.com/job/3014010_usa/evms-lead-program-control-consultant,"PTS has strong Leidos relationships. For Air Force Advanced Battle Mana, we specialize in  talent in Herndon.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Herndon"
.NET Developer - Placement,"Washington, VA",,Integrated Base Defense Security System,7,Medium,https://www.apexsystems.com/job/3013295_usa/net-developer---placement,"PTS has strong Leidos relationships. For Integrated Base Defense Securi, we specialize in  talent in Washington.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Washington"
Ops Tech II,"St. Louis, MO",,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",6,Medium,https://www.apexsystems.com/job/3014403_usa/ops-tech-ii,"PTS has strong Leidos relationships. For NGEN-R SMIT – Navy Next Genera, we specialize in  talent in St. Louis.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND St. Louis"
Sr Systems Administrator,"Reston, VA",,Integrated Base Defense Security System,12,High,https://www.apexsystems.com/job/3015532_usa/sr-systems-administrator,"PTS has strong Leidos relationships. For Integrated Base Defense Securi, we specialize in  talent in Reston.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Reston"
Communications Network Engineer Mid (Norfolk),"Norfolk, VA",,Integrated Base Defense Security System,9,Medium,https://www.apexsystems.com/job/3016673_usa/communications-network-engineer-mid-norfolk,"PTS has strong Leidos relationships. For Integrated Base Defense Securi, we specialize in  talent in Norfolk.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Norfolk"
Network Security Engineer,"Arlington, VA",,Data Center & Cloud Optimization,11,High,https://www.apexsystems.com/job/3016779_usa/network-security-engineer,"PTS has strong Leidos relationships. For Data Center & Cloud Optimizati, we specialize in  talent in Arlington.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Arlington"
Siemens OpsCenter Solutions Architect,"Norfolk, VA",,Integrated Base Defense Security System,9,Medium,https://www.apexsystems.com/job/3017458_usa/siemens-opscenter-solutions-architect,"PTS has strong Leidos relationships. For Integrated Base Defense Securi, we specialize in  talent in Norfolk.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Norfolk"
Network Switching Design Engineer Sr-Camp Lejeune,"Jacksonville, NC",,Integrated Base Defense Security System,8,Medium,https://www.apexsystems.com/job/3017552_usa/network-switching-design-engineer-sr-camp-lejeune,"PTS has strong Leidos relationships. For Integrated Base Defense Securi, we specialize in  talent in Jacksonville.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Jacksonville"
Microsoft Systems Engineer,"North Charleston, SC",,Defense Enterprise Office Solutions,6,Medium,https://www.apexsystems.com/job/3018016_usa/microsoft-systems-engineer,"PTS has strong Leidos relationships. For Defense Enterprise Office Solu, we specialize in  talent in North Charleston.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND North Charleston"
Software Developer,"North Charleston, SC",,DIA Information Systems Engineering Office,6,Medium,https://www.apexsystems.com/job/3018245_usa/software-developer,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in  talent in North Charleston.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND North Charleston"
