"Type","FullName","Length","LastWriteTime"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\economic\ProdServPlatformNAICS.csv","39309262","1/19/2026 2:15:27 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\economic\ProdServPlatformNAICS.csv","39309262","1/19/2026 2:04:59 PM"
"JSON","C:\N8N Builder\output\intelligence\bullhorn\contacts_humint_full.json","33064929","1/21/2026 4:48:19 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\Contract_LargeVendorLabeledAsSmallBusiness.csv","25788998","1/19/2026 2:04:55 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\Contract_LargeVendorLabeledAsSmallBusiness.csv","25788998","1/19/2026 2:15:23 PM"
"CSV","C:\N8N Builder\output\intelligence\bullhorn\notes_deep_analysis\all_notes_combined.csv","20125215","1/22/2026 5:28:26 PM"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\budget_authority\quarterly\1203932157.xls","18415616","1/21/2026 10:03:02 AM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\output\Archives\2025_07_23_SP_Automated_CTU_Updates.csv","15762342","1/19/2026 2:15:34 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\output\Archives\2025_07_23_SP_Automated_CTU_Updates.csv","15762342","1/19/2026 2:05:06 PM"
"JSON","C:\N8N Builder\knowledge-base\processed_docs.json","15697851","1/24/2026 6:18:58 PM"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\budget_authority\quarterly\1203932150.xls","13856768","1/21/2026 10:03:02 AM"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\budget_authority\quarterly\1203932149.xls","13014528","1/21/2026 10:03:01 AM"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\budget_authority\quarterly\1203932154.xls","11548672","1/21/2026 10:03:02 AM"
"JSON","C:\N8N Builder\data\contacts_databases\Prime_Contacts\Master_All_Contacts.json","10551740","1/23/2026 1:44:12 PM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\Empties_Investigation.xlsx","9519214","1/19/2026 2:04:55 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\Empties_Investigation.xlsx","9519214","1/19/2026 2:15:23 PM"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\budget_authority\quarterly\1203932160.xls","9403392","1/21/2026 10:03:02 AM"
"EXCEL","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\output\CTU_idc_blank_code.xlsx","7709382","1/19/2026 2:05:08 PM"
"EXCEL","C:\N8N Builder\data\reference\Lookup-Tables\output\CTU_idc_blank_code.xlsx","7709382","1/19/2026 2:15:37 PM"
"CSV","C:\N8N Builder\data\reference\DIIG-CSIS-Lookup-Tables\economic\commodity_translations_merge.csv","7635713","1/19/2026 2:05:00 PM"
"CSV","C:\N8N Builder\data\reference\Lookup-Tables\economic\commodity_translations_merge.csv","7635713","1/19/2026 2:15:28 PM"
"EXCEL","C:\N8N Builder\external\usaspending-api\usaspending_api\data\budget_authority\quarterly\1203932148.xls","7356416","1/21/2026 10:03:01 AM"
