"piid","generated_internal_id","prime_contractor","contract_amount","agency","description","search_prime","subaward_count","total_subaward_amount","unique_subcontractors","qualifies","qualification_reason"
"EDFSA15C0006","CONT_AWD_EDFSA15C0006_9100_-NONE-_-NONE-","ACCENTURE FEDERAL SERVICES LLC","1507684723.07","Department of Education","IGF::CL::IGF - TIVOD SUPPORTS THE ORIGINATION, DISBURSEMENT, AND REPORTING OF TITLE IV FEDERAL STUDENT AID PROGRAMS, INCLUDING - BUT NOT LIMITED TO - DIRECT LOANS, PELL GRANTS, AND THE TEACHER EDUCATION ASSISTANCE FOR COLLEGE AND HIGHER EDUCATION GRANTS. THE TITLE IV SOLUTION SHALL ALSO PROVIDE ONGOING SUPPORT FOR THE DISCONTINUED TITLE IV FEDERAL STUDENT AID PROGRAMS, INCLUDING - BUT NOT LIMITED TO - ACADEMIC COMPETITIVENESS GRANTS AND NATIONAL SCIENCE AND MATHEMATICS ACCESS TO RETAIN TALENT GR","Accenture","447","185206852.94","92","True","185.2M in subawards"
"HHSM500201500246C","CONT_AWD_HHSM500201500246C_7530_-NONE-_-NONE-","ACCENTURE FEDERAL SERVICES LLC","829577336.92","Department of Health and Human Services","FFM","Accenture","736","198704536.06","56","True","198.7M in subawards"
"W52P1J20C0005","CONT_AWD_W52P1J20C0005_9700_-NONE-_-NONE-","ACCENTURE FEDERAL SERVICES LLC","820300745.72","Department of Defense","AWARD FOR UNIFIED ENTERPRISE RESOURCE PLANNING CAPABILITY SUPPORT SERVICES","Accenture","129","127244023.08","29","True","127.2M in subawards"
"91003119F0003","CONT_AWD_91003119F0003_9100_HHSN316201200002W_7529","ACCENTURE FEDERAL SERVICES LLC","798926352.93","Department of Education","THIS TASK ORDER IS FOR AN ENTERPRISE-WIDE DIGITAL AND CUSTOMER CARE PLATFORMS AND SERVICES SOLUTION (ENTERPRISE-WIDE DIGITAL AND CUSTOMER CARE SOLUTION, AKA EWDCCPS, AKA DCC) THAT WILL ENABLE AN FSA-BRANDED OMNI-CHANNEL ENGAGEMENT APPROACH LED BY A MOBILE-FIRST, MOBILE-COMPLETE, AND MOBILE-CONTINUOUS DIGITAL PLATFORM SUPPORTING THE COMPLETE LIFECYCLE OF STUDENT FINANCING.","Accenture","483","155081483.43","78","True","155.1M in subawards"
"75FCMC21F0002","CONT_AWD_75FCMC21F0002_7530_HHSM500201600003I_7530","ACCENTURE FEDERAL SERVICES LLC","791036926.38","Department of Health and Human Services","FEDERALLY FACILITATED EXCHANGE (FFE)","Accenture","212","118474622.01","32","True","118.5M in subawards"
"D003","CONT_AWD_D003_9700_N0010404AZF12_9700","ACCENTURE LLP","675858853.69","Department of Defense","COMMERCIAL OFF-THE SHELF ENTERPRISE RESOURCE PLANNING (ERP) APPLICATION - AN ARMY-WIDE ENTERPRISE FINANCIAL SYSTEM","Accenture","160","151923108.24","44","True","151.9M in subawards"
"36C10D21N0007","CONT_AWD_36C10D21N0007_3600_VA11816D1013_3600","ACCENTURE FEDERAL SERVICES LLC","501461284.43","Department of Veterans Affairs","DIGITAL GI BILL DELIVERY SERVICES","Accenture","492","233089917.53","38","True","233.1M in subawards"
"47QFCA21F0018","CONT_AWD_47QFCA21F0018_4732_47QTCK18D0004_4732","BOOZ ALLEN HAMILTON INC","1379603153.12","General Services Administration","TASK ORDER (TO) 47QFCA21F0018 IS HEREBY AWARDED TO BOOZ ALLEN HAMILTON, INC. (BAH) TO PROVIDE ENTERPRISE LEVEL DATA TO THE OUSD(C), AND ITS STRATEGIC PARTNERS (I.E., DOD FOURTH ESTATE, DOD DEPARTMENTS, AND IC COMMUNITY).","Booz Allen Hamilton","615","474995822.14","70","True","475M in subawards"
"36C10B21N10070021","CONT_AWD_36C10B21N10070021_3600_VA11816D1007_3600","BOOZ ALLEN HAMILTON INC","1326434448.87","Department of Veterans Affairs","TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) TASK ORDER - BENEFITS INTEGRATED DELIVERY","Booz Allen Hamilton","15","268476623.18","12","True","268.5M in subawards"
"36C10B21N10150056","CONT_AWD_36C10B21N10150056_3600_VA11816D1015_3600","BOOZ ALLEN HAMILTON INC","1139008033.13","Department of Veterans Affairs","PRODUCT AND TECHNOLOGY ECOSYSTEM MANAGEMENT SERVICES (PTEMS)WHICH INCLUDES PRODUCT DELIVERY AND LIFECYCLE MANAGEMENT TO TRANSFORM VA BY TAPPING INTO EMERGING TECHNOLOGIES, CONNECTING DEVELOPERS WITH VA DATA, AND MAKING HUMAN CENTERED DESIGN (HCD).","Booz Allen Hamilton","75","110834704.9","34","True","110.8M in subawards"
