Job Title,BD Priority,BD Score,Clearance,Confidence,DCGS Relevance,Job URL,Location,Prime Contractor,Program,Scraped Date,State,Task Order / Site
TS/SCI Automation Engineer,🔥 Critical,90,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-automation-engineer/job-425546/,"Montgomery, Alabama",GDIT,DISA N-JRSS / CENTCOM IT,"December 19, 2025",AL,Maxwell AFB / Gunter Annex
TS/SCI Network Administrator III (WAN (N-JRSS)),🔥 Critical,100,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-n-jrss-/job-434238/,"Montgomery, Alabama",GDIT,DISA N-JRSS / CENTCOM IT,"December 19, 2025",AL,Maxwell AFB / Gunter Annex
CI Poly Digital Network Exploitation Analyst,🔥 Critical,100,TS/SCI with Polygraph,High,Related Intel,https://insightglobal.com/jobs/find_a_job/maryland/fort-george-g-meade/ci-poly-digital-network-exploitation-analyst/job-476373/,"Fort George G Meade, Maryland",Multiple (GDIT/Northrop/SAIC),NSA / USCYBERCOM,"December 19, 2025",MD,Cyber Operations
TS/SCI with Poly Cyber Network Defense and Exploitation Analyst,🔥 Critical,95,TS/SCI,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/reston/ts-sci-with-poly-cyber-network-defense-and-exploitation-analyst/job-421667/,"Reston, Virginia",Multiple,IC Enterprise Programs,"December 19, 2025",VA,IC IT Support
TS/SCI Network Administrator III (WAN) (Afternoon),🔥 Critical,100,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/texas/jbsa-lackland/ts-sci-network-administrator-iii-wan-afternoon-/job-449170/,"Jbsa Lackland, Texas",GDIT / Peraton,AF 16th Air Force / Cyber,"December 19, 2025",TX,JBSA Lackland Cyber
TSSCI Intel Analyst,🔥 Critical,95,TS/SCI,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/mc-lean/tssci-intel-analyst/job-452989/,"Mc Lean, Virginia",Multiple,IC Support (NGA/CIA/ODNI),"December 19, 2025",VA,IC Enterprise IT
TS/SCI Network Administrator III (WAN) (Afternoon),🔥 Critical,100,TS/SCI,High,Related Intel,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-afternoon-/job-455774/,"Montgomery, Alabama",GDIT,DISA N-JRSS / CENTCOM IT,"December 19, 2025",AL,Maxwell AFB / Gunter Annex
Secret Network Administrator II (WAN) (Afternoons),🔥 Critical,90,Secret,High,Related Intel,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-wan-afternoons-/job-456010/,"Montgomery, Alabama",GDIT,DISA N-JRSS / CENTCOM IT,"December 19, 2025",AL,Maxwell AFB / Gunter Annex
(CI Poly) Network Engineer,🔥 Critical,95,TS/SCI with Polygraph,Low,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/dranesville/-ci-poly-network-engineer/job-469001/,"Dranesville, Virginia",Unknown,Unknown - Requires Research,"December 19, 2025",VA,TBD
TS/SCI High Band System Software Support Engineer,🔥 Critical,90,TS/SCI,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/california/beale-afb/ts-sci-high-band-system-software-support-engineer/job-447581/,"Beale Afb, California",BAE Systems / GDIT (Sub),AF DCGS (548th ISR Group),"December 19, 2025",CA,Beale AFB - DGS-2
