Priority,Program,Prime,Location,LinkedIn_Search_Query,ZoomInfo_Query,Target_Titles,Weekly_Goal
1,IRES,Leidos,Colorado Springs,"Leidos AND Colorado Springs AND (Program Manager OR Engineering Manager OR Task Order Manager OR Technical Director)","Company: Leidos | Location: Colorado Springs 25mi | Title: Program Manager; Engineering Manager | Keywords: IRES OR Missile Defense",Program Manager; Task Order Manager; Technical Director,20 connections
2,JADC2,"Lockheed; Northrop; Boeing",El Segundo CA,"(Lockheed OR Northrop OR Boeing) AND El Segundo AND (Program Manager OR Deputy PM OR Technical Director)","Company: Lockheed; Northrop; Boeing | Location: El Segundo 25mi | Title: Program Manager; Deputy PM | Keywords: JADC2 OR all-domain",Program Manager; Deputy PM; Engineering Manager,20 connections
3,ABMS,"Boeing; Lockheed; Northrop",Colorado Springs,"(Boeing OR Lockheed OR Northrop) AND Colorado Springs AND (Program Manager OR Engineering Manager OR Systems Engineer)","Company: Boeing; Lockheed; Northrop | Location: Colorado Springs 25mi | Title: Program Manager; Systems Engineer | Keywords: ABMS OR battle management",Program Manager; Engineering Manager; Systems Engineer,15 connections
4,NETCENTS,"GDIT; SAIC; Leidos",Scott AFB IL,"(GDIT OR SAIC OR Leidos) AND Scott AFB AND (Program Manager OR Task Order Manager OR Operations Manager)","Company: GDIT; SAIC; Leidos | Location: Scott AFB IL 25mi | Title: Program Manager; Task Order Manager | Keywords: NETCENTS OR Air Force IT",Program Manager; Task Order Manager; Delivery Manager,20 connections
5,ENCORE,"Leidos; CACI; SAIC",Reston VA,"(Leidos OR CACI OR SAIC) AND Reston AND (Program Manager OR Task Order Manager OR DIA)","Company: Leidos; CACI; SAIC | Location: Reston VA 20mi | Title: Program Manager; Task Order Manager | Keywords: ENCORE OR DIA",Program Manager; Task Order Manager; Technical Lead,15 connections
6,OASIS,"Booz Allen; Deloitte; CACI",Washington DC,"(Booz Allen OR Deloitte OR CACI) AND Washington DC AND (Program Manager OR Engagement Manager OR Task Order Lead)","Company: Booz Allen; Deloitte; CACI | Location: DC 30mi | Title: Program Manager; Engagement Manager | Keywords: OASIS OR GSA",Program Manager; Engagement Manager; Delivery Manager,15 connections
7,SEWP,"CACI; SAIC; Leidos; GDIT",Greenbelt MD,"(CACI OR SAIC OR Leidos) AND Greenbelt AND (Program Manager OR Account Manager OR Federal Sales)","Company: CACI; SAIC; Leidos; GDIT | Location: Greenbelt MD 20mi | Title: Program Manager; Account Manager | Keywords: SEWP OR NASA IT",Program Manager; Account Manager; Sales Manager,12 connections
8,ALLIANT,"GDIT; Leidos; SAIC",Fairfax VA,"(GDIT OR Leidos OR SAIC) AND Fairfax AND (Program Manager OR Task Order Manager OR Delivery Manager)","Company: GDIT; Leidos; SAIC | Location: Fairfax VA 20mi | Title: Program Manager; Task Order Manager | Keywords: ALLIANT OR GSA IT",Program Manager; Task Order Manager; Operations Manager,12 connections
9,CIO-SP3,"Leidos; CACI; GDIT",Bethesda MD,"(Leidos OR CACI OR GDIT) AND Bethesda AND (Program Manager OR Health IT Manager OR Task Order Manager)","Company: Leidos; CACI; GDIT | Location: Bethesda MD 15mi | Title: Program Manager; Health IT Manager | Keywords: CIO-SP3 OR NIH",Program Manager; Health IT Manager; Delivery Manager,12 connections
10,SETA,"Booz Allen; SAIC; Leidos",Huntsville AL,"(Booz Allen OR SAIC OR Leidos) AND Huntsville AND (Systems Engineering Manager OR SETA Lead OR Technical Director)","Company: Booz Allen; SAIC; Leidos | Location: Huntsville 25mi | Title: Systems Engineering Manager; SETA Lead | Keywords: SETA OR systems engineering",Systems Engineering Manager; SETA Lead; Technical Director,12 connections
11,DISA_IT,"GDIT; Leidos; SAIC",Colorado Springs,"(GDIT OR Leidos OR SAIC) AND Colorado Springs AND (Program Manager OR Team Lead OR Engineering Manager)","Company: GDIT; Leidos; SAIC | Location: Colorado Springs 25mi | Title: Program Manager; Team Lead | Keywords: DISA IT",Program Manager; Team Lead; Engineering Manager,15 connections
12,NSA_IT,Multiple,Ft. Meade MD,"NSA AND Fort Meade AND (Program Manager OR Technical Lead OR Engineering Manager)","Company: Leidos; GDIT; Booz Allen | Location: Fort Meade 15mi | Title: Program Manager; Technical Lead | Keywords: NSA IT",Program Manager; Technical Lead; Engineering Manager,10 connections
