Job Title,Program,Prime,Location,Hiring Manager Search,Program Manager Search,Recruiter Search,Subcontracts Search,HR BP Search
Software Developer Advisor,DTRA IAC-MAC Research & Analysis,CACI,"Bossier City, LA","""Hiring Manager"" AND ""CACI"" AND ""Bossier City""","""Program Manager"" AND ""CACI"" AND ""Bossier City""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI"" AND ""Bossier City""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI""","""HR Business Partner"" AND ""CACI"" AND ""Bossier City"""
Information Systems Security Officer,AFCENT SCORPION Cyber Task (ISSO/ISSM Su,CACI,"Tyndall Air Force Base, FL","""Hiring Manager"" AND ""CACI"" AND ""Tyndall Air Force Base""","""Program Manager"" AND ""CACI"" AND ""Tyndall Air Force Base""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI"" AND ""Tyndall Air Force Base""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI""","""HR Business Partner"" AND ""CACI"" AND ""Tyndall Air Force Base"""
Security Control Assessor,Army IT Enterprise Mgmt Systems Solution,CACI,"Arlington, VA","""Hiring Manager"" AND ""CACI"" AND ""Arlington""","""Program Manager"" AND ""CACI"" AND ""Arlington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI"" AND ""Arlington""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI""","""HR Business Partner"" AND ""CACI"" AND ""Arlington"""
EVMS Lead Program Control Consultant,Air Force Advanced Battle Management Sys,"Multiple: SAIC, Leidos, B","Herndon, VA","""Hiring Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Herndon""","""Program Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Herndon""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Herndon""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton""","""HR Business Partner"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Herndon"""
Project Management Consultant-Level 3 - Senior (11 - 15 Years),SITEC III – Enterprise Operations & Main,Peraton,"Juno Beach, FL","""Hiring Manager"" AND ""Peraton"" AND ""Juno Beach""","""Program Manager"" AND ""Peraton"" AND ""Juno Beach""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton"" AND ""Juno Beach""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton""","""HR Business Partner"" AND ""Peraton"" AND ""Juno Beach"""
.NET Developer - Placement,Integrated Base Defense Security System,Leidos,"Washington, VA","""Hiring Manager"" AND ""Leidos"" AND ""Washington""","""Program Manager"" AND ""Leidos"" AND ""Washington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Washington""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Washington"""
Sr Business Systems Analyst (PPBE),HHS Advanced Secure Data Repository,GDIT / SAIC,"Washington, VA","""Hiring Manager"" AND ""GDIT / SAIC"" AND ""Washington""","""Program Manager"" AND ""GDIT / SAIC"" AND ""Washington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT / SAIC"" AND ""Washington""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT / SAIC""","""HR Business Partner"" AND ""GDIT / SAIC"" AND ""Washington"""
Ops Tech II,NGEN-R SMIT – Navy Next Generation Enter,Leidos,"St. Louis, MO","""Hiring Manager"" AND ""Leidos"" AND ""St. Louis""","""Program Manager"" AND ""Leidos"" AND ""St. Louis""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""St. Louis""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""St. Louis"""
Sr Systems Administrator,Integrated Base Defense Security System,Leidos,"Reston, VA","""Hiring Manager"" AND ""Leidos"" AND ""Reston""","""Program Manager"" AND ""Leidos"" AND ""Reston""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Reston""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Reston"""
Communications Network Engineer Mid (Norfolk),Integrated Base Defense Security System,Leidos,"Norfolk, VA","""Hiring Manager"" AND ""Leidos"" AND ""Norfolk""","""Program Manager"" AND ""Leidos"" AND ""Norfolk""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Norfolk""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Norfolk"""
Network Security Engineer,Data Center & Cloud Optimization,Peraton / Leidos,"Arlington, VA","""Hiring Manager"" AND ""Peraton / Leidos"" AND ""Arlington""","""Program Manager"" AND ""Peraton / Leidos"" AND ""Arlington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / Leidos"" AND ""Arlington""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / Leidos""","""HR Business Partner"" AND ""Peraton / Leidos"" AND ""Arlington"""
Siemens OpsCenter Solutions Architect,Integrated Base Defense Security System,Leidos,"Norfolk, VA","""Hiring Manager"" AND ""Leidos"" AND ""Norfolk""","""Program Manager"" AND ""Leidos"" AND ""Norfolk""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Norfolk""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Norfolk"""
Network Switching Design Engineer Sr-Camp Lejeune,Integrated Base Defense Security System,Leidos,"Jacksonville, NC","""Hiring Manager"" AND ""Leidos"" AND ""Jacksonville""","""Program Manager"" AND ""Leidos"" AND ""Jacksonville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Jacksonville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Jacksonville"""
Microsoft Systems Engineer,Defense Enterprise Office Solutions,CSRA / Leidos,"North Charleston, SC","""Hiring Manager"" AND ""CSRA / Leidos"" AND ""North Charleston""","""Program Manager"" AND ""CSRA / Leidos"" AND ""North Charleston""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CSRA / Leidos"" AND ""North Charleston""","(""Subcontracts"" OR ""Supplier Management"") AND ""CSRA / Leidos""","""HR Business Partner"" AND ""CSRA / Leidos"" AND ""North Charleston"""
Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am),Peraton ARCYBER Information Advantage En,Peraton,"Fort George G Meade, MD","""Hiring Manager"" AND ""Peraton"" AND ""Fort George G Meade""","""Program Manager"" AND ""Peraton"" AND ""Fort George G Meade""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton"" AND ""Fort George G Meade""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton""","""HR Business Partner"" AND ""Peraton"" AND ""Fort George G Meade"""
Software Developer,DIA Information Systems Engineering Offi,Leidos,"North Charleston, SC","""Hiring Manager"" AND ""Leidos"" AND ""North Charleston""","""Program Manager"" AND ""Leidos"" AND ""North Charleston""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""North Charleston""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""North Charleston"""
Tier 1 Network Monitor,Distributed Common Ground System (AF),BAE,"Hampton, VA","""Hiring Manager"" AND ""BAE"" AND ""Hampton""","""Program Manager"" AND ""BAE"" AND ""Hampton""","(""Recruiter"" OR ""Talent Acquisition"") AND ""BAE"" AND ""Hampton""","(""Subcontracts"" OR ""Supplier Management"") AND ""BAE""","""HR Business Partner"" AND ""BAE"" AND ""Hampton"""
Software Developer,GRASP (Raytheon/Peraton),Peraton,"North Charleston, SC","""Hiring Manager"" AND ""Peraton"" AND ""North Charleston""","""Program Manager"" AND ""Peraton"" AND ""North Charleston""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton"" AND ""North Charleston""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton""","""HR Business Partner"" AND ""Peraton"" AND ""North Charleston"""
Structural Mechanical/Professional Engineer,GPS Next-Gen Operational Control System,Raytheon Intelligence & S,"Orlando, FL","""Hiring Manager"" AND ""Raytheon Intelligence & Space"" AND ""Orlando""","""Program Manager"" AND ""Raytheon Intelligence & Space"" AND ""Orlando""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Raytheon Intelligence & Space"" AND ""Orlando""","(""Subcontracts"" OR ""Supplier Management"") AND ""Raytheon Intelligence & Space""","""HR Business Partner"" AND ""Raytheon Intelligence & Space"" AND ""Orlando"""
Senior Cyber Security Specialist,Army IT Enterprise Mgmt Systems Solution,CACI,"Fort Belvoir, VA","""Hiring Manager"" AND ""CACI"" AND ""Fort Belvoir""","""Program Manager"" AND ""CACI"" AND ""Fort Belvoir""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI"" AND ""Fort Belvoir""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI""","""HR Business Partner"" AND ""CACI"" AND ""Fort Belvoir"""
Engineering Manager,Intelligence Systems Infrastructure Tool,Northrop Grumman,"San Diego, CA","""Hiring Manager"" AND ""Northrop Grumman"" AND ""San Diego""","""Program Manager"" AND ""Northrop Grumman"" AND ""San Diego""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""San Diego""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""San Diego"""
(VMS) Guidance Navigation &amp; Control Engineer,MDA Tactical Embedded Systems,Northrop Grumman,"Chandler, AZ","""Hiring Manager"" AND ""Northrop Grumman"" AND ""Chandler""","""Program Manager"" AND ""Northrop Grumman"" AND ""Chandler""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""Chandler""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""Chandler"""
Software Packager/Technician - Security Tools,Army Integrated Battle Command System,Northrop Grumman,"Hazelwood, MO","""Hiring Manager"" AND ""Northrop Grumman"" AND ""Hazelwood""","""Program Manager"" AND ""Northrop Grumman"" AND ""Hazelwood""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""Hazelwood""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""Hazelwood"""
Install Specialist / IT Certified Professional,Project Convergence (JADC2 Experiments),SAIC,"Charlottesville, VA","""Hiring Manager"" AND ""SAIC"" AND ""Charlottesville""","""Program Manager"" AND ""SAIC"" AND ""Charlottesville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Charlottesville""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Charlottesville"""
Data Entry Specialist,Ground-Based Midcourse Defense,Boeing,"Tucson, AZ","""Hiring Manager"" AND ""Boeing"" AND ""Tucson""","""Program Manager"" AND ""Boeing"" AND ""Tucson""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Boeing"" AND ""Tucson""","(""Subcontracts"" OR ""Supplier Management"") AND ""Boeing""","""HR Business Partner"" AND ""Boeing"" AND ""Tucson"""
Software Developer,Army IT Enterprise Mgmt Systems Solution,CACI,"Bossier City, LA","""Hiring Manager"" AND ""CACI"" AND ""Bossier City""","""Program Manager"" AND ""CACI"" AND ""Bossier City""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI"" AND ""Bossier City""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI""","""HR Business Partner"" AND ""CACI"" AND ""Bossier City"""
Oracle DBA,NASA SENSE (Space Comms & Tracking),Peraton,"Washington, VA","""Hiring Manager"" AND ""Peraton"" AND ""Washington""","""Program Manager"" AND ""Peraton"" AND ""Washington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton"" AND ""Washington""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton""","""HR Business Partner"" AND ""Peraton"" AND ""Washington"""
Microsoft Copilot Studio AI SME,PRISM Support Services (Consolidated),11 MA-IDIQ primes,"Milford Mill, MD","""Hiring Manager"" AND ""11 MA-IDIQ primes"" AND ""Milford Mill""","""Program Manager"" AND ""11 MA-IDIQ primes"" AND ""Milford Mill""","(""Recruiter"" OR ""Talent Acquisition"") AND ""11 MA-IDIQ primes"" AND ""Milford Mill""","(""Subcontracts"" OR ""Supplier Management"") AND ""11 MA-IDIQ primes""","""HR Business Partner"" AND ""11 MA-IDIQ primes"" AND ""Milford Mill"""
SQL Developer/Administrator,"Command and Control, Battle Management &",Northrop Grumman,"Redstone Arsenal, AL","""Hiring Manager"" AND ""Northrop Grumman"" AND ""Redstone Arsenal""","""Program Manager"" AND ""Northrop Grumman"" AND ""Redstone Arsenal""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""Redstone Arsenal""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""Redstone Arsenal"""
Sr Elastic Engineer (EDR/Defend Focus),BICES Defense Intelligence Agency Varian,CACI + Leidos + Peraton +,"Colorado Springs, CO","""Hiring Manager"" AND ""CACI + Leidos + Peraton + SAIC"" AND ""Colorado Springs""","""Program Manager"" AND ""CACI + Leidos + Peraton + SAIC"" AND ""Colorado Springs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI + Leidos + Peraton + SAIC"" AND ""Colorado Springs""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI + Leidos + Peraton + SAIC""","""HR Business Partner"" AND ""CACI + Leidos + Peraton + SAIC"" AND ""Colorado Springs"""
Software Engineer - ENG05 - Cleared On-Site,GPS Next-Gen Operational Control System,Raytheon Intelligence & S,"Aurora, CO","""Hiring Manager"" AND ""Raytheon Intelligence & Space"" AND ""Aurora""","""Program Manager"" AND ""Raytheon Intelligence & Space"" AND ""Aurora""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Raytheon Intelligence & Space"" AND ""Aurora""","(""Subcontracts"" OR ""Supplier Management"") AND ""Raytheon Intelligence & Space""","""HR Business Partner"" AND ""Raytheon Intelligence & Space"" AND ""Aurora"""
Data Center Engineer - RTP (TS/SCI with Full Scope Poly),Data Center & Cloud Optimization,Peraton / Leidos,"Research Triangle Park, NC","""Hiring Manager"" AND ""Peraton / Leidos"" AND ""Research Triangle Park""","""Program Manager"" AND ""Peraton / Leidos"" AND ""Research Triangle Park""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / Leidos"" AND ""Research Triangle Park""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / Leidos""","""HR Business Partner"" AND ""Peraton / Leidos"" AND ""Research Triangle Park"""
Technicians &amp; Engineers,GPS Operational Control System (sustainm,Raytheon,"Vandenberg Space Force Base, CA","""Hiring Manager"" AND ""Raytheon"" AND ""Vandenberg Space Force Base""","""Program Manager"" AND ""Raytheon"" AND ""Vandenberg Space Force Base""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Raytheon"" AND ""Vandenberg Space Force Base""","(""Subcontracts"" OR ""Supplier Management"") AND ""Raytheon""","""HR Business Partner"" AND ""Raytheon"" AND ""Vandenberg Space Force Base"""
VDI Systems Administrator,Advanced Battle Management System,Multi,"Savannah, GA","""Hiring Manager"" AND ""Multi"" AND ""Savannah""","""Program Manager"" AND ""Multi"" AND ""Savannah""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multi"" AND ""Savannah""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multi""","""HR Business Partner"" AND ""Multi"" AND ""Savannah"""
Systems Administrator,Integrated Base Defense Security System,Leidos,"Fort Belvoir, VA","""Hiring Manager"" AND ""Leidos"" AND ""Fort Belvoir""","""Program Manager"" AND ""Leidos"" AND ""Fort Belvoir""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Fort Belvoir""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Fort Belvoir"""
(VMS) NDT Test Examiner 2,CDAO Advanced AI Tools (Scale AI OTA),Scale AI,"Emerado, ND","""Hiring Manager"" AND ""Scale AI"" AND ""Emerado""","""Program Manager"" AND ""Scale AI"" AND ""Emerado""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Scale AI"" AND ""Emerado""","(""Subcontracts"" OR ""Supplier Management"") AND ""Scale AI""","""HR Business Partner"" AND ""Scale AI"" AND ""Emerado"""
(VMS) Engineering Writer and Instructor,DIA Information Systems Engineering Offi,Leidos,"Elkridge, MD","""Hiring Manager"" AND ""Leidos"" AND ""Elkridge""","""Program Manager"" AND ""Leidos"" AND ""Elkridge""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Elkridge""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Elkridge"""
Client Support / Sys Admin - Site D,Defense Enterprise Office Solutions,CSRA / Leidos,"Fayetteville, NC","""Hiring Manager"" AND ""CSRA / Leidos"" AND ""Fayetteville""","""Program Manager"" AND ""CSRA / Leidos"" AND ""Fayetteville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CSRA / Leidos"" AND ""Fayetteville""","(""Subcontracts"" OR ""Supplier Management"") AND ""CSRA / Leidos""","""HR Business Partner"" AND ""CSRA / Leidos"" AND ""Fayetteville"""
IT Specialist Senior,Air Force Advanced Battle Management Sys,"Multiple: SAIC, Leidos, B","Quantico, VA","""Hiring Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Quantico""","""Program Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Quantico""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Quantico""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton""","""HR Business Partner"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Quantico"""
Secure Enterprise Engineer,NGEN-R SMIT – Navy Next Generation Enter,Leidos,"Carlsbad, CA","""Hiring Manager"" AND ""Leidos"" AND ""Carlsbad""","""Program Manager"" AND ""Leidos"" AND ""Carlsbad""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Carlsbad""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Carlsbad"""
JAVA/REACT Developer,Integrated Air & Missile Defense,Raytheon,"Andover, MA","""Hiring Manager"" AND ""Raytheon"" AND ""Andover""","""Program Manager"" AND ""Raytheon"" AND ""Andover""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Raytheon"" AND ""Andover""","(""Subcontracts"" OR ""Supplier Management"") AND ""Raytheon""","""HR Business Partner"" AND ""Raytheon"" AND ""Andover"""
Cloud Engineer,CMS Enterprise Cloud Infrastructure Serv,Peraton / SAIC,"Fayetteville, NC","""Hiring Manager"" AND ""Peraton / SAIC"" AND ""Fayetteville""","""Program Manager"" AND ""Peraton / SAIC"" AND ""Fayetteville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / SAIC"" AND ""Fayetteville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / SAIC""","""HR Business Partner"" AND ""Peraton / SAIC"" AND ""Fayetteville"""
