Rank,Program_Name,Prime_Contractor,Contract_Value,Est_Subaward_Potential,Key_Locations,Clearance,PTS_Status,Program_Type,Tier,Top_Roles,Contract_IDs,Action_Priority
1,F-35 Lightning II JSF,Lockheed Martin,$35.1B,$8-12B+,"Fort Worth TX, Marietta GA, Palmdale CA","Secret, TS/SCI",NOT WORKED,Aircraft,MEGA,"Systems Engineers, Software Engineers, Avionics, Flight Test, Sustainment","N0001917C0001, N0001920C0009, N0001923C0003",HIGH
2,Virginia-Class Submarine,Electric Boat (GD),$34.6B,$5-8B+,"Groton CT, Newport News VA","Secret, Q Clearance",NOT WORKED,Naval,MEGA,"Naval Architects, Systems Engineers, Electrical Engineers, Nuclear Engineers","N0002417C2100, N0002412C2115",HIGH
3,Columbia-Class Submarine,Electric Boat (GD),$24.3B,$4-6B+,Groton CT,"Secret, Q/L Clearance",NOT WORKED,Naval,MEGA,"Nuclear Engineers, Systems Engineers, Software, Cybersecurity",N0002417C2117,HIGH
4,TRICARE South Region,Humana,$51.2B,$2-5B+,"Louisville KY, Nationwide",Public Trust,NOT WORKED,Healthcare IT,MEGA,"Healthcare IT, Claims Processing, Analytics","HT940216C0001, HT940211C0003",HIGH
5,TRICARE West Region,Health Net,$23.5B,$1-3B+,"Sacramento CA, Nationwide",Public Trust,NOT WORKED,Healthcare IT,MEGA,"Healthcare IT, Customer Service, Data Analytics",HT940216C0002,HIGH
6,TRICARE North Region,UnitedHealth,$13.2B,$500M-1B+,"Virginia, Nationwide",Public Trust,NOT WORKED,Healthcare IT,MEGA,"Healthcare IT, Customer Service, Analytics",HT940212C0001,MEDIUM
7,KC-46 Tanker,Boeing,$29.5B,$4-7B+,"Everett WA, Wichita KS, Oklahoma City OK",Secret,NOT WORKED,Aircraft,MEGA,"Avionics Engineers, Software, Flight Test, Sustainment",FA862511C6600,HIGH
8,Ground-Based Strategic Deterrent,Northrop Grumman,$10.8B,$2-4B+,"Roy UT, Colorado Springs CO, Hill AFB UT","TS/SCI, Q Clearance",PARTIAL (BOA only),Nuclear/Missile,MEGA,"Systems Engineers, Software (C2), Nuclear Systems, Test",FA821920C0006,HIGH
9,DDG-51 Destroyer (HII),Huntington Ingalls,$6.9B,$1.5-2B+,Pascagoula MS,Secret,NOT WORKED,Naval,MAJOR,"Naval Systems Engineers, Electrical, Combat Systems, Software",N0002423C2307,MEDIUM
10,DDG-51 Destroyer (BIW),Bath Iron Works,$5.3B,$1-1.5B+,Bath ME,Secret,NOT WORKED,Naval,MAJOR,"Naval Systems Engineers, Combat Systems, Software",N0002418C2305,MEDIUM
11,PAC-3 Patriot Missile,Lockheed Martin,$18.2B,$3-5B+,"Grand Prairie TX, Camden AR, Huntsville AL",Secret,NOT WORKED,Missile,MEGA,"Missile Systems Engineers, Guidance/Control, Test, Production","W31P4Q20C0023, W31P4Q24C0022",HIGH
12,Naval Nuclear Laboratory,Fluor Marine Propulsion,$12.6B,$1.5-3B+,"West Mifflin PA, Schenectady NY","Q/L Clearance",NOT WORKED,Nuclear,MEGA,"Nuclear Engineers, Software, Safety, Cybersecurity",N0002418C2130,MEDIUM
13,P-8A Poseidon,Boeing,$18.1B,$3-5B+,"Seattle WA, Jacksonville FL","Secret, TS/SCI",NOT WORKED,Aircraft,MEGA,"Avionics, Mission Systems, Software, Flight Test","N0001914C0067, N0001912C0112",HIGH
14,THAAD Missile Defense,Lockheed Martin,$8.7B,$1.5-2B+,"Huntsville AL, Sunnyvale CA",Secret,NOT WORKED,Missile Defense,MAJOR,"Missile Systems Engineers, Radar Engineers, Software","HQ014717C0032, DASG6000C0072",MEDIUM
15,E-2D Advanced Hawkeye,Northrop Grumman,$8.4B,$1-2B+,"Melbourne FL, St. Augustine FL",Secret,NOT WORKED,Aircraft,MAJOR,"Avionics, Radar Systems, Software, Flight Test","N0001918C1037, N0001913C9999",MEDIUM
16,F-35 Propulsion (F135),RTX (Pratt & Whitney),$16.2B,$2-3B+,"East Hartford CT, West Palm Beach FL",Secret,NOT WORKED,Aircraft Engine,MAJOR,"Propulsion Engineers, Test, Software","N0001918C1021, N0001920C0011",MEDIUM
17,GMD Missile Defense,Boeing,$6.5B,$1-2B+,"Huntsville AL, Colorado Springs CO","TS/SCI",NOT WORKED,Missile Defense,MAJOR,"Systems Engineers, Software, Test, Integration",HQ014712C0004,MEDIUM
18,Black Hawk Helicopter,Sikorsky,$17.2B,$2-4B+,"Stratford CT, West Palm Beach FL",Secret,NOT WORKED,Aircraft,MEGA,"Rotorcraft Engineers, Avionics, Software, Test","W58RGZ12C0008, W58RGZ17C0009",HIGH
19,V-22 Osprey,Bell Boeing JV,$17.6B,$2-4B+,"Amarillo TX, Philadelphia PA",Secret,NOT WORKED,Aircraft,MEGA,"Systems Engineers, Avionics, Software, Test","N0001907C0001, N0001917C0015",MEDIUM
20,CVN-80 Aircraft Carrier,Huntington Ingalls,$11B,$1.5-2.5B+,Newport News VA,Secret,NOT WORKED,Naval,MEGA,"Naval Architects, Systems Engineers, Electrical",N0002416C2116,MEDIUM
