award_id,piid,recipient_name,recipient_uei,award_amount,description,awarding_agency,sub_agency,start_date,end_date,pop_city,pop_state,naics_code,psc_code,fiscal_year
HT940216C0001,,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,51242733558.09,IGF::OT::IGF,Department of Defense,Defense Health Agency,2016-08-01,2025-12-31,,KY,,,2024
N0001917C0001,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,35135514910.2,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,Department of Defense,Department of the Navy,2017-11-17,2031-03-31,,TX,,,2024
N0002417C2100,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,34650315216.0,SSN 802 AND 803 LONG LEAD TIME MATERIAL,Department of Defense,Department of the Navy,2017-02-14,2036-06-02,,CT,,,2024
N0001902C3002,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,34173959111.96,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!,Department of Defense,Defense Contract Management Agency,2001-10-26,2022-12-16,,TX,,,2024
N0001920C0009,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,30113035808.93,THE PURPOSE OF THIS MODIFICATION IS TO AWARD F-35A LRIP 15 USAF  AIRCRAFT* LONG LEAD FUNDING,Department of Defense,Defense Contract Management Agency,2019-11-26,2027-12-31,,TX,,,2024
FA862511C6600,,THE BOEING COMPANY,WZWRLY4G3PL8,29485980901.28,KC-X MODERNIZATION PROGRAM,Department of Defense,Department of the Air Force,2011-02-24,2027-07-31,,WA,,,2024
N0001923C0003,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,24499534829.0,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS",Department of Defense,Department of the Navy,2022-12-23,2030-09-30,,TX,,,2024
N0002417C2117,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,24313811834.0,COLUMBIA CLASS DESIGN COMPLETION,Department of Defense,Department of the Navy,2017-09-21,2031-12-31,,CT,,,2024
HT940216C0002,,"HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,23493303927.12,IGF::OT::IGF  MANAGED CARE SUPPORT SERVICES IN SUPPORT OF THE TRICARE PROGRAM,Department of Defense,Defense Health Agency,2016-08-01,2025-12-31,,CA,,,2024
HT940211C0003,,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,20451127096.53,T3 MANAGED CARE SUPPORT CONTRACT FOR SOUTH REGION,Department of Defense,Defense Health Agency,2011-03-03,2019-03-27,,KY,,,2024
