Program Name,Acronym,Agency,BD Priority,Prime Contractor,Contract Value,Recompete Date,Period of Performance,Key Locations,Contract Number
16th Air Force Mission IT Support,16AF Mission IT,Air Force,,ManTech,$261M,,,Lackland TX; Eglin/Tyndall FL; Nellis NV; Hill UT,FA807519FA029
53rd Air Wing IT/EW Support,53rd Air Wing,Air Force,Medium,"SAIC / Leidos (indicative, not confirmed)","$39,874,973.53",,,"Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, Test & Evaluation)",FA877319FA023
Advanced Battle Management System,ABMS,Air Force,Medium,Multi (SAIC supports parts),"$2,893,647.82",,,"Eglin AFB, FL; Hanscom AFB, MA",FA251822F0034
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,,Raytheon,Multi-$B,,,Tucson AZ (Raytheon missile facilities); additional supplier sites across U.S. and allied nations,W31P4Q15C0022
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,,Lockheed Martin,"$35,135,514,910.20",,,"Aegis ashore and afloat sites; e.g., Aurora CO; Huntsville AL; shipyards",N0001917C0001
AF National Capital Region IT Support (AFNCR),AFNCR IT,Air Force,,Leidos (historical incumbent),$450M,,,Pentagon; Joint Base Andrews (JBA),HHSN261200800001E
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,,CACI,"$600,725,818.08",,,,FA882316C0004
Air Force Advanced Battle Management System,ABMS,Air Force,,"Multiple: SAIC, Leidos, Booz Allen Hamilton","$1,139,008,033.13",,,"Eglin AFB, FL; Hanscom AFB, MA",36C10B21N10150056
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),$1B,,,San Antonio TX; Colorado Springs CO; remote DevSecOps hubs,FA882316C0004
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,,Lockheed Martin,"$34,173,959,111.96",,,AFLCMC (multiple program offices),N0001902C3002
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,🟠 High,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),$889M,,,"Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders",47QFCA19F0033
Army “Project Convergence”,,Army,,SAIC,"$39,320,458.07",,,Secret,W15QKN19F1290
Army AESD Enterprise Service Desk,AESD,Army,,SAIC,$757M,,,Fort Liberty NC; Fort Sam Houston TX,FA877319FA023
